cid,talk_id,premise
配表id,所属口上id,前提id
str,str,str
0,0,0
口上前提表,,
0,0,sys_2
1,0,sys_5
2,0,sys_0
3,0,80
4,0,126
5,1,sys_2
6,1,sys_5
7,1,sys_0
8,1,27
9,1,120
10,1,80
11,1,126
12,2,sys_2
13,2,sys_5
14,2,sys_0
15,2,20
16,2,101
17,2,89
18,2,28
19,2,120
20,2,126
21,3,sys_2
22,3,sys_5
23,3,sys_0
24,3,29
25,3,80
26,3,87
27,3,126
28,4,sys_2
29,4,sys_5
30,4,sys_0
31,4,72
32,4,88
33,4,104
34,4,117
35,4,126
36,5,sys_2
37,5,sys_5
38,5,sys_0
39,5,72
40,5,121
41,5,126
42,6,sys_2
43,6,sys_5
44,6,sys_0
45,6,72
46,6,121
47,6,117
48,6,126
49,7,sys_2
50,7,sys_4
51,7,41
52,7,72
