cid,talk_id,premise
配表id,所属口上id,前提id
str,str,str
0,0,0
口上前提表,,
0,0,sys_0
1,0,80
2,0,126
3,1,sys_0
4,1,80
5,1,126
6,2,sys_0
7,2,76
8,2,80
9,2,126
10,3,sys_0
11,3,sex_0
12,3,25
13,3,80
14,3,126
15,4,sys_0
16,5,sys_0
18,5,126
19,6,sys_0
20,6,47
21,6,126
22,7,sys_0
23,7,47
24,7,25
25,7,126
26,8,sys_0
27,8,47
28,8,75
29,8,126
30,9,sys_0
31,9,80
32,9,126
33,10,sys_0
34,10,47
35,10,25
36,10,126
37,11,sys_0
38,11,79
39,11,80
40,11,126
41,12,sys_0
42,12,47
43,12,126
44,13,sys_0
45,13,47
46,13,72
47,13,47
48,13,126
49,14,sys_4
50,14,sys_1
51,15,sys_4
52,15,sys_1
53,15,46
54,15,26
55,15,sex_0
56,16,sys_4
57,16,sys_1
58,17,sys_4
59,17,sys_1
60,17,75
61,18,sys_4
62,18,sys_1
63,18,43
64,19,sys_0
65,19,47
66,19,25
67,19,72
68,19,126
69,20,sys_0
70,21,sys_1
71,21,sys_4
72,22,sys_4
73,22,sys_1
74,23,sys_0
75,23,25
76,23,46
77,23,47
78,24,26
79,24,sys_0
80,24,46
81,24,47
82,25,90
83,25,85
84,25,sys_1
85,25,sys_4
86,25,46
87,26,sex_1
88,26,sys_1
89,26,46
90,26,sys_4
