cid,talk_id,premise
配表id,所属口上id,前提id
str,str,str
0,0,0
口上前提表,,
0,0,sys_0
1,0,sys_2
2,0,sys_5
3,0,80
4,0,126
5,1,sys_2
6,1,sys_5
7,1,sys_0
8,1,80
9,1,sex_0
10,1,29
11,1,126
12,2,sys_2
13,2,sys_5
14,2,sex_0
15,2,29
16,2,sys_0
17,2,80
18,2,126
19,3,sys_2
20,3,sys_5
21,3,25
22,3,sex_1
23,3,sys_0
25,3,126
26,4,sys_2
27,4,sys_5
28,4,25
29,4,sex_0
30,4,sys_0
31,4,47
32,4,71
33,5,sys_2
34,5,sys_5
35,5,25
36,5,sex_0
37,5,sys_0
38,5,47
39,5,71
40,5,126
41,6,sys_2
42,6,sys_5
43,6,sys_0
44,6,47
45,7,sys_2
46,7,sys_5
47,7,sys_0
49,7,126
50,8,sys_2
51,8,sys_5
52,8,sys_0
54,8,47
55,8,126
56,9,sys_2
57,9,sys_4
58,9,sys_1
59,9,80
60,9,126
61,10,sys_2
62,10,sys_4
63,10,sys_1
65,10,sex_1
66,10,88
67,11,sys_2
68,11,sys_4
69,11,sys_1
70,12,sys_2
71,12,sys_4
72,12,sys_1
73,13,sys_0
74,13,sys_2
75,13,sys_5
76,13,80
77,14,sys_1
78,14,sys_4
79,14,42
80,15,sys_1
81,15,sys_4
82,15,42
83,16,sys_4
84,16,sys_1
85,16,41
86,17,sys_5
87,17,sex_0
88,17,25
89,17,sys_0
90,17,47
91,18,sys_5
92,18,25
93,18,sex_0
94,18,sys_0
95,18,47
97,18,71
98,19,sys_5
99,19,25
100,19,sex_0
101,19,sys_0
102,19,72
103,19,71
104,19,126
105,20,sys_5
106,20,25
107,20,sex_0
108,20,sys_0
109,20,72
110,20,71
111,20,126
