cid,talk_id,premise
配表id,所属口上id,前提id
str,str,str
0,0,0
口上前提表,,
0,0,sys_0
1,0,126
2,1,sys_0
3,2,sys_0
4,3,sys_0
5,4,sys_0
6,4,45
7,4,126
8,5,47
9,5,sys_0
10,5,126
11,6,33
12,6,38
13,6,39
14,7,33
15,7,38
16,7,39
17,8,33
18,8,38
19,8,39
20,9,sys_0
21,9,sys_2
22,9,71
23,9,25
24,9,47
25,10,sys_0
26,10,41
27,10,71
28,10,72
29,10,126
30,11,sys_0
31,11,139
32,12,sys_0
33,12,45
34,12,46
35,12,47
36,13,28
37,13,33
38,13,38
39,13,46
40,13,47
41,13,126
42,13,139
43,13,140
44,13,141
45,14,10
46,14,28
47,14,33
48,14,46
49,14,139
50,14,141
51,14,142
52,14,143
53,15,sys_0
54,15,139
55,15,144
56,15,145
57,15,146
58,15,147
59,16,sys_0
60,16,118
61,16,126
62,16,136
63,16,120
64,17,sys_0
65,17,80
66,17,126
67,17,136
68,18,25
69,18,sys_0
70,18,80
71,18,126
72,18,136
73,19,26
74,19,33
75,19,38
76,19,46
77,19,78
78,19,85
79,19,118
80,19,126
81,19,139
82,19,148
83,19,149
84,20,sys_0
85,20,47
86,20,126
87,20,150
88,20,151
89,21,33
90,21,38
91,21,152
92,22,9
93,22,sys_0
94,22,89
95,22,126
96,23,sys_0
97,24,sys_0
98,25,sys_0
99,25,86
100,25,90
101,26,sys_0
102,26,46
103,26,79
104,26,139
105,27,33
106,27,38
107,27,46
108,27,90
109,27,143
110,27,153
111,28,sys_0
112,28,47
113,28,126
114,28,148
115,28,154
116,29,sys_0
117,29,72
118,29,104
119,29,148
120,29,155
