cid,remark
行为id,备注
int,str
0,0
参考用行为id表,

0,发呆
1,移动
101,聊天
102,聊天失败
103,身体接触
104,泡咖啡
105,泡咖啡（加料）
106,让对方泡咖啡
107,做饭
108,进食
109,购买食物
110,休息
111,睡觉
115,邀请同行
116,结束同行
121,告白
122,告白失败
123,戴上项圈
124,戴上项圈失败
125,邀请H
126,结束H
201,处理公务
301,摸头
302,摸胸
303,摸屁股
304,摸耳朵
305,摸角
306,摸尾巴
307,摸光环
308,摸光翼
309,摸触手
310,摸小车
311,牵手
312,拥抱
313,亲吻
314,膝枕
315,掀起裙子
317,阴蒂爱抚
318,手指插入（V）
319,手指插入（A）
397,亲吻失败
398,重度猥亵失败
399,轻度猥亵失败
401,身体爱抚
402,接吻
403,胸爱抚
404,玩弄乳头
405,舔吸乳头
406,阴蒂爱抚
407,掰开阴唇观察
408,掰开肛门观察
409,舔阴
410,舔肛
411,手指插入（V）
412,手指插入（A）
413,命令对方自慰
414,命令对方舔自己肛门
415,什么也不做
416,诱惑对方
420,手交
421,口交
422,乳交
423,足交
424,发交
425,腋交
426,素股
427,手交口交
428,乳交口交
429,真空口交
430,深喉插入
431,六九式
501,正常位
502,背后位
503,骑乘位
504,对面座位
505,背面座位
506,对面立位
507,背面立位
511,刺激G点
512,玩弄子宫口
513,插入子宫
1000,N小绝顶
1001,N普绝顶
1002,N强绝顶
1003,B小绝顶
1004,B普绝顶
1005,B强绝顶
1006,C小绝顶
1007,C普绝顶
1008,C强绝顶
1009,射精
1010,大量射精
1011,超大量射精
1012,V小绝顶
1013,V普绝顶
1014,V强绝顶
1015,A小绝顶
1016,A普绝顶
1017,A强绝顶
1018,U小绝顶
1019,U普绝顶
1020,U强绝顶
1021,W小绝顶
1022,W普绝顶
1023,W强绝顶
