cid,name,country_id,level,type,people,time,demand,reward,related_id,special,description
委托id,委托名字,国家id(-1为通用),委托等级,委托类型,派遣人数,耗时天数,具体需求,具体奖励(a能力、e经验、j宝珠、t_素质编号_0为取消1为获得、r资源、c_角色adv编号_0不包含1包含、招募_adv编号_0未招募1已招募、攻略_adv编号_程度0~4、m_委托编号_-1不可完成0可以进行1已完成、声望_0为当地其他为对应势力id_加值为小数点后两位),关联的委托id,特殊委托,委托介绍
int,str,int,int,str,int,int,str,str,int,int,str
0,1,0,0,0,0,0,0,0,0,0,1
委托任务表,,,,,,,,,,,
1,招募模板_单委托,17,1,角色,1,3,招募_999_0&r_1_10000,c_999_1,-1,1,"接受条件：没有招募id为999的角色，罗德岛当前位置在炎，消耗10000龙门币
奖励：获得id为999的角色
委托介绍：如去了什么地方，发生了什么事，于是招募到了该角色，单委托就招募到就用该例子，多个委托才招募到就用下面的委托链例子"
2,招募模板_委托链1,17,1,角色,1,3,招募_999_0&r_1_10000,r_3_1,-1,1,"接受条件：没有招募id为999的角色，罗德岛当前位置在炎，消耗10000龙门币
奖励：获得1至纯源石，解锁后续委托(id=3)
委托介绍：如去了什么地方，发生了什么事，于是招募到了该角色，多个委托才招募到就用该例子，单委托就招募到就用上面的单委托例子"
3,招募模板_委托链2,17,1,角色,1,3,c_1_1,c_999_1,2,1,"接受条件：已完成了前置委托(id=2)，派出了id=1的角色出勤
奖励：获得id为999的角色
委托介绍：如去了什么地方，发生了什么事，于是招募到了该角色，多个委托才招募到就用该例子，单委托就招募到就用上面的单委托例子"
10,增加角色好感与信赖,-1,2,角色,3,7,c_999_1&a_42_4,好感_999_100&信赖_999_5,-1,1,"接受条件：需要派出999号角色，派出干员的战斗能力总和至少为4
委托奖励：给999号角色增加一定的好感与信赖
委托说明：帮该角色解决一些个人背景里的心结"
11,增加角色经验与宝珠,-1,1,角色,1,7,c_999_1,e_80_5&j_9_100,-1,1,"接受条件：需要派出999号角色
委托奖励：给999号角色增加一定的对话经验与习得珠
委托说明：让该角色去某个地方锻炼自己"
12,获得一定资源,-1,1,角色,1,7,c_999_1&攻略_999_3,r_3_5&特产_17_5,-1,1,"接受条件：需要派出999号角色，该角色的攻略至少为3级
委托奖励：获得一定的资源
委托说明：让该角色去某个地方带某些资源回来"
