key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,222,0,干员编号
Name,str,风笛,1,姓名
Sex,int,1,0,女
Profession,int,1,0,先锋
Race,int,27,0,瓦伊凡
Hp,int,1800,0,初始体力
Mp,int,1600,0,初始气力
Dormitory,str,无,1,初始宿舍
Token,str,一把红麦。大地孕育生命，生命反哺大地。
Introduce_1,str,维多利亚皇家近卫学校毕业，在维多利亚军队中服役满3年后，退役并经由陈警司介绍加入罗德岛。接受过系统训练的职业军人，经过一段时间的磨合，在罗德岛的各类任务中体现出了专业的战斗技巧与战术素养。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|62,int,1,0,少女
T|71,int,1,0,兽角
T|83,int,1,0,巨乳
T|87,int,1,0,巨尻
T|89,int,1,0,肉腿
T|90,int,1,0,小足
C|351,int,1,0,罗德岛干员胸牌
C|5001,int,1,0,黑白拼色高领带扣披肩
C|5002,int,1,0,深绿色长袖外套
C|5002,int,1,0,白色衬衫
C|709,int,1,0,黑色分指手套
C|828,int,1,0,格子百褶短裙
C|1052,int,1,0,黑色过膝袜
C|1123,int,1,0,深绿色高帮翻边运动鞋
C|1218,int,1,0,维多利亚破城矛
