key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,248,0,干员编号
Name,str,麦哲伦,1,姓名
Sex,int,1,0,女
Age,int,14,0,少女
Profession,int,7,0,辅助
Race,int,19,0,黎博利
Hp,int,1400,0,初始体力
Mp,int,1100,0,初始气力
Dormitory,str,宿舍103房,1,初始宿舍
Token,str,一根冰雪覆盖的树枝化石。曾经根植于大地的苍天巨树，如今只剩下这短短一枝，细细诉说着往昔的故事。
Introduce_1,str,麦哲伦，莱茵生命实验室外勤专员，在合作协议的作用下，暂计划以罗德岛为据点，开始新一轮的探索活动。擅长操控高度模块化无人机，因地制宜进行攻击或支援友军。,1,人物介绍_1
A|0,int,1,0,N感觉
E|82,int,100,0,学识经验
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|62,int,1,0,少女
T|83,int,1,0,巨乳
T|89,int,1,0,肉腿
T|101,int,1,0,回复慢
T|113,int,1,0,B敏感
T|202,int,1,0,热情
