key,type,value,get_text,info
键,类型,值,多语言化处理,备注
AdvNpc,int,204,0,干员编号
Name,str,白金,1,姓名
Sex,int,1,0,女
Age,int,20,0,成年
Profession,int,2,0,狙击
Race,int,18,0,库兰塔
Hp,int,1600,0,初始体力
Mp,int,1400,0,初始气力
Dormitory,str,宿舍102房,1,初始宿舍
Token,str,两张游乐园的门票。这个周末一起去吧。
Introduce_1,str,白金，卡西米尔无胄盟刺客，其他履历缺失。在机动作战、歼灭战与巷战中皆表现出极高的战斗技巧与特殊的战术素养。 现于凯尔希医生的指导下，作为狙击干员为罗德岛提供服务。 ,1,人物介绍_1
A|2,int,2,0,C感觉
A|19,int,1,0,技巧
A|20,int,1,0,顺从
A|21,int,2,0,亲密
A|22,int,1,0,欲望
A|26,int,3,0,指挥技能
A|27,int,4,0,战斗技能
A|30,int,3,0,指技
A|32,int,2,0,足技
E|2,int,50,0,C经验
E|12,int,10,0,C绝顶经验
E|46,int,50,0,自慰经验
E|81,int,600,0,战斗经验
E|82,int,600,0,学习经验
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|63,int,1,0,成年
T|70,int,1,0,兽耳
T|72,int,1,0,兽尾
T|81,int,1,0,贫乳
T|86,int,1,0,普尻
T|88,int,1,0,细腿
T|90,int,1,0,小足
T|101,int,1,0,回复快
T|102,int,1,0,酒量差
T|106,int,1,0,容易湿
T|115,int,1,0,C敏感
T|120,int,1,0,A钝感
T|130,int,1,0,周期性发情
T|201,int,1,0,懒散
T|225,int,1,0,献身
T|300,int,1,0,灵活手指
C|513,int,1,0,白色左单肩瓣裂大袖护肩
C|514,int,1,0,白色右单肩羽裂塑制斗篷
C|515,int,1,0,白色三片式短斗篷
C|604,int,1,0,黑色运动背心
C|702,int,1,0,黑丝长手套
C|803,int,1,0,白色运动短裤
C|808,int,1,0,黑色安全裤
C|951,int,1,0,纯白色内裤
C|1002,int,1,0,黑衬口长筒袜
C|1103,int,1,0,黑色圆头皮靴
C|1201,int,1,0,无胄盟源石复合弓
C|1302,int,1,0,肩背式箭袋
