key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,128,0,干员编号
Name,str,白面鸮,1,姓名
Sex,int,1,0,女
Profession,int,3,0,医疗
Race,int,19,0,黎博利
Hp,int,1200,0,初始体力
Mp,int,1100,0,初始气力
Dormitory,str,无,1,初始宿舍
Token,str,论证源石技艺如何识别与执行的工具书。大部分干员都读不懂。
Introduce_1,str,已在20593个搜索结果中，为您选择了相对精准的答案。\n干员白面鸮，前莱茵生命公司，数据维护专员。在医疗类源石技艺领域取得不菲成就，于医疗数据维护，常规医疗方案应用，多项目医疗行为等相关领域，拥有丰富经验。\n现于罗德岛担任医疗干员，亦就职于医疗部门，某临床实验小组，项目领头人：赫默医生。同时，为罗德岛提供若干项医疗项目的相关辅助工作。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|62,int,1,0,少女
T|70,int,1,0,兽耳
T|72,int,1,0,兽尾
T|82,int,1,0,普乳
T|85,int,1,0,小尻
T|88,int,1,0,细腿
T|90,int,1,0,小足
T|150,int,1,0,源石病感染者
T|151,int,1,0,嗜睡
C|016,int,1,0,蓝白色蝴蝶结
C|549,int,1,0,拉链长摆外套
C|550,int,1,0,交叉绑带短连衣裙
C|713,int,1,0,黑白色防护手套
C|827,int,1,0,交叉绑带短连衣裙
C|1013,int,1,0,黄色短袜
C|1120,int,1,0,黑色无跟低筒皮靴
C|1251,int,1,0,源石法杖
