key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,1051,0,角色编号
Name,str,怒潮凛冬,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,5,0,角色职业为近卫
Race,int,29,0,角色种族为乌萨斯
Nation,int,142,0,角色势力为乌萨斯学生自治团
Birthplace,int,14,0,角色出身地为乌萨斯
Hp,int,1500,0,角色初始体力
Mp,int,1000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一块碎石，似乎曾是某座雕像的一部分。凛冬说，她在这块石头上押注了许多，她相信这会是一个时代的开端。,1,角色信物
Introduce_1,str,凛冬，乌萨斯学生自治团团长，加入罗德岛后长期担任作战小队队长，并在近期协助罗德岛于圣骏堡建立办事处，作出重要贡献。凛冬在长期训练和高频次战斗中精进自身实力，形成了独特且成熟的战斗风格，现作为近卫干员参与罗德岛在乌萨斯的行动。,1,角色介绍
A|40,int,2,0,角色话术技能为2
A|41,int,3,0,角色指挥技能为3
A|42,int,3,0,角色战斗技能为3
A|45,int,3,0,角色学识技能为3
E|81,int,100,0,角色战斗经验为100
T|0,int,1,0,角色有阴道处女素质
T|1,int,1,0,角色有肛门处女素质
T|2,int,1,0,角色有尿道处女素质
T|3,int,1,0,角色有子宫处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|111,int,1,0,角色有兽耳素质
T|123,int,1,0,角色有普乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
C|0,str,黑红呢料贝雷帽,1,角色帽子为黑红呢料贝雷帽
C|3,str,红色三角领巾,1,角色脖饰为红色三角领巾
C|5-0,str,深蓝色厚重大衣,1,角色上衣为深蓝色厚重大衣
C|5-1,str,深棕色毛领短夹克,1,角色上衣为深棕色毛领短夹克
C|5-2,str,米灰色百褶连衣短裙,1,角色上衣为米灰色百褶连衣短裙
C|10-0,str,米灰色百褶连衣短裙,1,角色袜子为米灰色百褶连衣短裙
C|10-1,str,暗红色针织长筒袜,1,角色袜子为暗红色针织长筒袜
C|11,str,米灰色毛边中筒靴,1,角色鞋子为米灰色毛边中筒靴
C|12,str,重型乌萨斯锤斧,1,角色武器为重型乌萨斯锤斧
