key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,163,0,干员编号
Name,str,火神,1,姓名
Sex,int,1,0,女
Profession,int,6,0,重装
Race,int,14,0,丰蹄
Nation,int,101,0,米诺斯
Birthplace,int,10,0,米诺斯
Hp,int,1700,0,初始体力
Mp,int,1400,0,初始气力
Dormitory,str,无,1,初始宿舍
Token,str,花纹优美的钢胚。无论是何等品质的原料，都必须经过锤炼打磨才能够成型。
Introduce_1,str,来自米诺斯的铁匠，感染矿石病后，来到罗德岛求医，在与罗德岛达成协议后，成为罗德岛的一份子。平日主要负责其他干员的武器维护与打造，必要时亲自出动。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|104,int,1,0,少女
T|112,int,1,0,兽角
T|121,int,1,0,绝壁
T|127,int,1,0,普臀
T|129,int,1,0,细腿
T|131,int,1,0,小足
T|150,int,1,0,源石病感染者
T|162,int,1,0,体表源石结晶
T|163,int,1,0,义肢
A|41,int,2,0,指挥技能level:2
A|42,int,3,0,战斗技能level:3
C|5004,int,1,0,黑色风衣外套
C|5003,int,1,0,白色连帽衬衫
C|5005,int,1,0,黑色吊带背心
C|829,int,1,0,黑色百褶短裙
C|1014,int,1,0,黑色小腿袜
C|1124,int,1,0,黑色尖头乐福鞋
C|1215,int,1,0,锻锤
