key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0,str则为1),备注
AdvNpc,int,298,0,干员编号
Name,str,苏苏洛,1,姓名
Sex,int,1,0,女
Age,int,15,0,猜测年龄
Profession,int,3,0,医疗
Race,int,28,0,沃尔珀
Hp,int,1100,0,初始体力
Mp,int,900,0,初始气力
Dormitory,str,宿舍101房,1,初始宿舍
Token,str,一本纸质柔和的日记本。无论过去还是未来的记忆，只要得以记录，就永远不会再消失了吧？
Introduce_1,str,苏苏洛，正式入职前为叙拉古帕勒莫市立医科学院毕业生。具备基础医疗方面的充足学识。现于罗德岛担任医疗干员，是总部后勤医疗体系内的坚实力量。,1,人物介绍_1
T|0,int,1,0,处女
T|1,int,1,0,A处女
T|4,int,1,0,无接吻经验
T|61,int,1,0,萝莉
T|70,int,1,0,兽耳
T|81,int,1,0,贫乳
T|85,int,1,0,小尻
T|88,int,1,0,细腿
T|90,int,1,0,小足
C|304,int,1,0,颈环
C|537,int,1,0,连帽披肩
C|538,int,1,0,假两件前拉链无袖直筒超短连衣裙
C|819,int,1,0,假两件前拉链无袖直筒超短连衣裙
C|1052,int,1,0,黑色连裤袜
C|1082,int,1,0,战术腿带
C|1116,int,1,0,白色高帮运动鞋
C|1251,int,1,0,源石法杖
C|1307,int,1,0,战术挎包
