key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,494,0,角色编号
Name,str,刺玫,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,3,0,角色职业为医疗
Race,int,13,0,角色种族为菲林
Nation,int,161,0,角色势力为维多利亚
Birthplace,int,13,0,角色出身地为维多利亚
Hp,int,2000,0,角色初始体力
Mp,int,2000,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一枝枯萎的白玫瑰，米黄色花瓣上浸染了无法抹去的暗红痕迹，记录着她过去生活的某段回忆。过往已逝，她能攥住的并不多。,1,角色信物
Introduce_1,str,玛格达尔·肖，布伦特伍德镇上血魔大君仪式的幸存者，小镇近乎大半被夷为废墟，她所珍爱的家传温室也被彻底摧毁。\n受伦蒂尼姆市民自救军成员洛洛与费斯特的邀请，玛格达尔加入自救军，以后勤人员的身份提供帮助，后加入罗德岛。伦蒂尼姆事件结束之后，玛格达尔主动申请回到维多利亚重建家乡，并担任当地罗德岛办事处的联络员。,1,角色介绍
A|0,int,1,0,角色Ｎ感觉为1
E|81,int,100,0,角色战斗经验为100
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|111,int,1,0,角色有兽耳素质
T|113,int,1,0,角色有兽尾素质
T|123,int,1,0,角色有普乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
C|0,str,黑色冠状头饰,1,角色帽子为黑色冠状头饰
C|5,str,制式夹克,1,角色上衣为制式夹克
C|8,str,白色荷叶边裙,1,角色下衣为白色荷叶边裙
C|10,str,黑色长筒袜,1,角色袜子为黑色长筒袜
C|11,str,亮铜色高跟鞋,1,角色鞋子为亮铜色高跟鞋
