key,type,value,get_text,info
键,类型,值,多语言化处理(前面的类型里int则为0，str则为1),备注
AdvNpc,int,365,0,角色编号
Name,str,四月,1,角色姓名
Sex,int,1,0,角色性别
Profession,int,2,0,角色职业为狙击
Race,int,17,0,角色种族为卡特斯
Nation,int,91,0,角色势力为雷姆必拓
Birthplace,int,9,0,角色出身地为雷姆必拓
Hp,int,1800,0,角色初始体力
Mp,int,1600,0,角色初始气力
Dormitory,str,无,1,角色初始宿舍
Token,str,一张全新包装的收录了《四月》这首歌的专辑，上面用缎带绑了一个蝴蝶结。,1,角色信物
Introduce_1,str,原雷姆必拓猎人，因感染矿石病而失业，辗转加入罗德岛。没有接受过专业训练，各项指标平均，由于过往职业原因在狙击方向的培训上展现出较高接受度，现作为狙击干员活跃在各种任务中。,1,角色介绍
TextColor,str,#ffa5ab,1,角色字体颜色为#ffa5ab
A|42,int,2,0,角色战斗技能为2
A|40,int,3,0,角色话术技能为3
A|43,int,1,0,角色料理技能为1
A|44,int,3,0,角色音乐技能为3
E|80,int,80,0,角色对话经验为80
E|85,int,80,0,角色音乐经验为80
E|54,int,10,0,角色自慰经验为10
E|83,int,20,0,角色料理经验为20
T|0,int,1,0,角色有处女素质
T|1,int,1,0,角色有Ａ处女素质
T|4,int,1,0,角色有无接吻经验素质
T|104,int,1,0,角色有少女素质
T|111,int,1,0,角色有兽耳素质
T|113,int,1,0,角色有兽尾素质
T|124,int,1,0,角色有巨乳素质
T|127,int,1,0,角色有普臀素质
T|129,int,1,0,角色有细腿素质
T|131,int,1,0,角色有小足素质
T|150,int,1,0,角色有源石病感染者素质
T|162,int,1,0,角色有体表源石结晶素质
T|224,int,1,0,角色有难以与越过的底线素质
C|2,str,头戴式耳机,1,角色耳饰为头戴式耳机
C|5,str,白色不对称衬衫,1,角色上衣为白色不对称衬衫
C|7,str,黑色露指手套,1,角色手套为黑色露指手套
C|8,str,白色短裙,1,角色下衣为白色短裙
C|10,str,白色短袜,1,角色袜子为白色短袜
C|11,str,红白色绳系运动鞋,1,角色鞋子为红白色绳系运动鞋
C|12-0,str,复合弓,1,角色武器为复合弓
C|12-1,str,箭袋,1,角色武器为箭袋
C|13-0,str,四月的随身听,1,角色附属物为四月的随身听
C|13-1,str,四月的通行证,1,角色附属物为四月的通行证
