cid,name,info,option
选项id,选项名,选项介绍,各个选项
int,str,str,str
0,1,1,1
角色设置,,,
1,是否使用本功能,总开关,否|是
2,根据指令类型的全年龄与R18的切换开关,仅生成全年龄的指令会极大的减少使用风险，对R18的指令也进行生成的话可能会导致OpenAi的警告或停止服务等制裁措施,仅生成全年龄的指令的文本|对包含R18类型在内的所有指令都进行生成
3,当原文本是在什么情况下才进行AI生成,本功能只会在触发地文（即通用文本）的时候进行生成，如果触发的是角色专属的口上的话则不会进行生成,仅当文本为"触发了XXX的地文"时进行生成|对所有地文都进行生成
4,在生成文本后是否不显示原文本,如果只想看到AI生成的文本的话可以设为是，如果在意原文本的话可以选否,否，仍然显示原文本|是，将不显示原文本
5,AI模型的选择,不同的模型有不同的价格和性能，具体的差别请查阅官网的说明,GPT-3.5 Turbo|GPT-4|GPT-4-turbo|GPT-4o|GPT-4o mini
6,将哪些数据作为提示信息发送给AI进行辅助生成,理论上来讲，发送的数据越多，生成的效果会越好，但是花费也越高，同时也有可能因为发送的数据过多，生成的质量下降,小数据：仅好感、信赖、攻略程度、地点、基础状态（即<>里的那些）|中数据：小数据+角色详细状态+角色人物卡|大数据：能发的都发过去
7,将生成的内容自动保存为口上文件(未实装),选是的话，会在data/talk/ai的目录下生成ai_talk.csv的文件，将ai生成的条目转化为符合游戏口上文本的格式，然后加到文件中并保存,否|是
8,是否输出正在进行文本生成的提示,选是的话，会在开始生成前输出一句提示信息,是|否
9,要生成多少句文本,生成的文本越多，描述的就越详细，但是花费会越高，也可能会生成出更多和主题无关的内容,1|2|3|4|5|6|7|8|9|10
