cid,name,type,info
效果id,设施名字,设施类型-1区块，-2通用，否则为cid归属下的小房间,介绍信息
int,str,int,str
0,1,0,1
基建系统内全设施一览,,,

000,控制中枢,-1,罗德岛的核心，升级可以提高其他所有区块的等级上限
001,动力区,-1,提供电力，升级可以提高供电量
002,工程部,-1,进行工程建设的场所，升级可以解锁新的工程设施
003,仓储区,-1,存放物资，升级可增加存储量上限
004,宿舍区,-1,干员们睡觉的场所，升级可以提高最大人数和提高恢复效率
005,生活娱乐区,-1,干员们日常生活的场所，升级可以解锁更多的娱乐设施
006,医疗部,-1,治疗源石病患者的场所，升级可以解锁新的治疗设施，提高可收治患者数量上限
007,文职部,-1,人事部、后勤部等文职人员办公的场所，升级可以解锁新的招募方式，降低招募成本
008,科研部,-1,进行科研的场所，升级可以解锁新的研究设施
009,训练场,-1,供干员们进行锻炼和训练的场所，升级可以解锁更多设施和提高锻炼效率
010,图书馆,-1,存放和阅读书籍的场所，升级可以提高学习效率
011,贸易区,-1,开设商店街和贸易站的场所，升级可以解锁更多的商店，降低买入价格，提升卖出价格
012,制造加工区,-1,生产和加工药品、装备的场所，升级可以解锁更多的设施和提高生产效率
013,访客区,-1,和其他势力进行外交事宜的场所，升级可以解锁更多的外交指令
014,机库,-1,停放、修理和派出载具的场所，升级可以扩大容纳空间和解锁新的载具
015,教育区,-1,培养、教育学生，以及学生们游玩的场所，升级可以解锁更多的设施
016,疗养庭院,-1,农业的相关场所，升级可以解锁更多的农业设施和提高生产效率
017,大浴场,-1,干员们洗浴放松的场所，升级可以解锁更多的洗浴设施
018,甲板,-1,宽敞的室外空间，升级可以解锁新的设施
019,关押区,-1,囚禁、惩罚和调教干员的地方，升级可以提高关押人数和解锁新的惩罚功能
020,保卫科,-1,监视岛内的安全情况，并在出现意外时进行处理，升级可以解锁更多的意外事件
021,指挥室,0,指挥干员进行作战的场所，升级可增加同时派出的干员数量
022,博士办公室,0,博士办公的场所，升级可以提高工作效率
023,博士房间,0,博士休息的场所，升级可以加装新的功能
031,休息室,-2,遍布岛内各处的休息室，升级可以提升在这里休息时的恢复效率
041,药田,16,种植药用植物的地方，升级可以增加药田的线数量上限
