cid,type,count,effect_1,effect_2,effect_3,info
奖励id,收藏物类型,解锁所需的收藏数量,奖励数据1,奖励数据2,奖励数据3,奖励信息
int,str,int,int,int,int,str
0,1,0,0,0,0,1
收藏物的奖励解锁,,,,,,

001,信物,1,1,1,0,获得1至纯源石，可以用来获得或升级源石技艺
002,信物,5,3,3,0,获得3至纯源石，装备信物上限提升至3个
003,信物,10,5,5,0,获得5至纯源石，装备信物上限提升至5个
004,信物,15,5,7,0,获得5至纯源石，装备信物上限提升至7个
005,信物,20,10,10,0,获得10至纯源石，装备信物上限提升至10个
006,信物,50,100,15,0,获得100至纯源石，装备信物上限提升至15个
007,信物,100,9999,20,0,获得9999至纯源石，装备信物上限提升至20个

101,内裤,10,1,0,0,获得1至纯源石，可以用来获得或升级源石技艺
102,内裤,30,0,0,0,解锁猥亵指令：【索要内裤】，可以在日常生活中让干员把内裤脱下来给你
103,内裤,100,0,0,0,解锁服装类型：【情趣内衣】（未实装），攻略阶段达到二级及以上的干员会开始尝试穿情趣内衣

201,袜子,10,1,0,0,获得1至纯源石，可以用来获得或升级源石技艺
202,袜子,30,0,0,0,解锁猥亵类型：【索要袜子】，可以在日常生活中让干员把袜子脱下来给你
203,袜子,100,0,0,0,解锁服装类型：【袜子风潮】（未实装），所有不穿袜子的干员也会开始穿起袜子（类型随机）
