cid,name,type
经验id,经验名,经验类型
int,str,int
0,1,0
经验名字,经验类型名,
0,皮肤经验,1
1,胸部经验,1
2,阴蒂经验,1
3,阴茎经验,1
4,阴道经验,1
5,肛肠经验,1
6,尿道经验,1
7,子宫经验,1

10,皮肤绝顶经验,2
11,胸部绝顶经验,2
12,阴蒂绝顶经验,2
13,阴茎绝顶经验,2
14,阴道绝顶经验,2
15,肛肠绝顶经验,2
16,尿道绝顶经验,2
17,子宫绝顶经验,2

20,绝顶经验,6
21,射精经验,6
22,喷乳经验,6
23,放尿经验,6
24,精液经验,6
25,饮精经验,6
26,膣射经验,6
27,肛射经验,6

30,奉仕经验,7
31,爱情经验,7
32,苦痛快乐经验,7
33,嗜虐快乐经验,7
34,露出经验,7
35,隐奸经验,7

40,接吻经验,3
41,手交经验,3
42,口交经验,3
43,乳交经验,3
44,足交经验,3
45,发交经验,3
46,腋交经验,3
47,服装交经验,3
48,兽部交经验,3

50,异常经验,0
51,道具使用经验,0
52,紧缚经验,0
53,灌肠经验,0
54,自慰经验,0
55,调教自慰经验,0
56,群交经验,0
57,助手经验,0

60,插入经验,3
61,阴道性交经验,3
62,肛肠性交经验,3
63,尿道性交经验,3
64,子宫性交经验,3
65,阴道扩张经验,5
66,肛肠扩张经验,5
67,尿道扩张经验,5
68,子宫扩张经验,5

70,无意识皮肤经验,4
71,无意识胸部经验,4
72,无意识阴蒂经验,4
73,无意识阴茎经验,4
74,无意识阴道经验,4
75,无意识肛肠经验,4
76,无意识尿道经验,4
77,无意识子宫经验,4
78,无意识绝顶经验,4
79,无意识性交经验,4

80,对话经验,11
81,战斗经验,11
82,学识经验,11
83,料理经验,11
84,约会经验,11
85,音乐经验,11
86,妊娠经验,11
87,指挥经验,11
88,医疗经验,11
89,农业经验,11
90,制造经验,11
91,绘画经验,11
92,阅读经验,11
93,H书阅读经验,11

111,饮精绝顶经验,2

120,睡姦经验,9
121,被睡姦经验,9
122,催眠经验,9
123,被催眠经验,9
124,时姦经验,9
125,被时姦经验,9
126,催眠姦经验,9
127,被催眠姦经验,9

141,正常位经验,8
142,後背位经验,8
143,对面骑乘位经验,8
144,背面骑乘位经验,8
145,对面座位经验,8
146,背面座位经验,8
147,对面立位经验,8
148,背面立位经验,8
149,对面抱位经验,8
150,背面抱位经验,8
151,对面卧位经验,8
152,背面卧位经验,8

153,口喉经验,1
154,兽部经验,1
155,心理经验,1
156,口喉绝顶经验,2
157,兽部绝顶经验,2
158,心理绝顶经验,2
159,无意识口喉经验,4
160,无意识兽部经验,4
161,无意识心理经验,4
