complication_id,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
并发症ID,系统ID,部位ID,严重等级(0轻/1中/2重),名称,抽取权重,普通药增量,外观表征,清晰自述,模糊自述,检查方法,阳性结果描述,阴性结果描述,轻症更换检查提示,中症更换检查提示,重症更换检查提示,治疗方案,是否需要手术
int,int,int,int,str,float,float,str,str,str,str,str,str,str,str,str,str,int
0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0
医疗并发症详表,,,,,,,,,,,,,,,,,
1010011,10,1001,0,轻度皮层兴奋失衡,0.35,0.3,额部外观平稳仅轻皱眉,这阵子主要是额头一阵一阵发紧发胀，集中看屏幕十几分钟就会头痛并怕强光，位置都在前额和眼眶上方，没有恶心呕吐，就是轻微跳痛和刺痛为主,就觉得整颗脑袋总在往外涨，好像有人在额头里敲鼓，一会儿说是上火一会儿又说像感冒快要犯了一样,功能性 MRI + 神经传导速度,局灶血流上涨，传导速度增快，提示额叶功能功能轻度偏离,代谢均衡、传导稳定，与额叶功能常规范围一致,当前检查未能直接定位本次皮层兴奋失衡，但在额叶区可见轻度代谢和传导异常，提示同部位仍存在其他轻症级别功能紊乱,当前检查未能直接定位本次皮层兴奋失衡，却发现额叶区存在中度代谢异常，提示同部位合并有中症级别的其他病变需进一步分型,当前检查未能直接定位本次皮层兴奋失衡，却显示额叶局部存在重度代谢/传导异常，提示同部位可能合并危及功能的重症病灶需紧急评估,门诊神经调节药 + 24 小时静养,0
1010012,10,1001,0,轻度皮层灼痛综合征,0.33,0.35,额部外观平稳仅轻皱眉,主要是左额顶区域一块一块发烫发麻，每次大概二十分钟左右，像被烤灯照着一样烧灼痛，有时候还会顺着头皮往后放射但不会影响意识,总觉得脑门子里有火苗在舔，一下子烫一下子扎人似的，说不清是哪一块疼，就觉得整块头皮都在“冒烟”,脑电图 + 痛阈测试,θ波短暂放电且痛阈下降，提示额叶功能功能轻度偏离,波形平稳，痛阈正常，与额叶功能常规范围一致,当前脑电与痛阈检查未能直接捕捉典型灼痛放电，但在额叶区仍可见轻度兴奋性改变，提示同部位合并有轻症级别的其他功能异常,当前脑电与痛阈检查未能直接捕捉典型灼痛放电，却发现额叶存在中度节律紊乱，提示同部位可能合并中症级别的其他皮层病变,当前脑电与痛阈检查未能直接捕捉典型灼痛放电，却提示额叶出现重度节律失常，提示同部位合并有危及意识与行为的重症级别异常放电,镇痛贴片 + 低剂量止痛药 + 呼吸训练,0
1010013,10,1001,0,轻度皮层供血不足,0.32,0.4,额颞区轻度皱眉畏光，偶用手遮挡灯光,最近只要专注看书或工作十来分钟就会额头发胀、脑门发昏，视野一过性变暗，主要集中在前额和太阳穴，没有剧烈头痛，就是困倦乏力明显,老觉得自己只是熬夜累到了，整个人像被掏空了一样，上半边头总是昏沉沉的，说不清是困还是晕,经颅多普勒,额叶血流速度下降10%，提示额叶功能功能轻度偏离,血流指标正常，与额叶功能常规范围一致，需结合动态观察,当前经颅多普勒未能直接证实本次局灶供血不足，但在同一额叶供血区仍可见轻度血流动力学异常，提示存在其他轻症级别灌注问题,当前经颅多普勒未能直接证实本次局灂供血不足，却提示同一供血区存在中度灌注不均匀，提示该部位合并中症级别的其他血流障碍,当前经颅多普勒未能直接证实本次局灂供血不足，却显示额叶供血通路存在重度血流受限，提示该部位可能已合并重症级别缺血风险病灶,作息调整 + 补铁 + 轻量认知训练,0
1010014,10,1001,1,中度皮层晶化灶,0.6,0.65,额颞区面色苍白并持续掩额，语句偶有停顿,近一两周右额部一直有持续压迫感，疼起来会影响说话和记事情，常常刚想好的话突然断片，痛感呈钝痛伴阵发性刺痛，严重时会往颞部和眼眶放射,总觉得整块额头像被石头压着，脑子一紧就“卡壳”，不是说不上来话，就是老觉得记忆一团糊，形容成“脑子里长了块硬疙瘩”,对比增强 MRI,局灶高信号晶体压迫，显示额叶功能机能已明显紊乱,无异常强化，暂未见额叶功能量化异常但症状持续,本次对比增强 MRI 未能直接显示典型晶化灶，但在同一额叶区仍可见轻度信号改变，提示该部位存在其他轻症级别结构或水肿性病变,本次对比增强 MRI 未能直接显示典型晶化灶，却发现额叶存在中度异常强化区，提示同部位可能合并中症级别的其他占位或炎性病灶,本次对比增强 MRI 未能直接显示典型晶化灶，却提示额叶局部有重度信号异常，提示同部位已存在重症级别的破坏性病变需优先处理,住院监护 + 感染抑制剂 22 号冲击,0
1010015,10,1001,1,中度皮层导电异常,0.4,0.75,额颞区面色苍白并持续掩额，语句偶有停顿,最近思考稍微集中一点，左手就会突然发麻五六秒，从手指一路往上窜到前臂甚至肩部，有时候伴随额部紧绷和短暂恍惚，但没有完全失去意识,总说一动脑子整个人就像被电了一下，手脚跟着乱来，形容为“脑子一转全身就短路”，痛麻的位置说得不太清楚,长程脑电,β波频发，导电曲线异常，显示额叶功能机能已明显紊乱,波谱平滑，暂未见额叶功能量化异常但症状持续,长程脑电本次未能直接记录到特征性导电异常，但仍可见额叶区轻度放电不稳，提示同部位存在其他轻症级别兴奋性改变,长程脑电本次未能直接记录到特征性导电异常，却发现额叶出现中度放电聚焦，提示同部位合并中症级别的其他癫痫样或易激病灶,长程脑电本次未能直接记录到特征性导电异常，却提示额叶存在重度高频放电群聚，提示同部位已合并重症级别广泛放电灶需紧急干预,中剂量镇静药 + 72 小时工作限额,0
1010019,10,1001,2,皮层广泛源石硬化,1.0,1.1,额颞区表情扭曲紧抱头部，畏光严重难以睁眼,现在是整个额颞部持续撕裂样剧痛，疼痛接近9分，伴随视物闪光、说话困难和注意力完全无法集中，稍微有光线或声音就会明显加重,只会断断续续喊头要裂了、受不了，用呻吟和抓挠头皮来表达痛感，把整个疼痛归结成“脑子快炸了”，具体部位和性质已经说不清楚,3D 重建 + 术中导航,多发晶体融合压迫功能区，证实额叶功能急性受损需高度警惕,皮层均匀无硬化，结果阴性却与额叶功能危象临床不符,本次 3D 重建与术中导航未能直接证实广泛源石硬化，但仍可见额叶皮层有轻度形态及信号异常，提示同部位存在其他轻症级别的结构损伤,本次 3D 重建与术中导航未能直接证实广泛源石硬化，却发现额叶功能区存在中度压迫或占位表现，提示同部位已合并中症级别的其他破坏性病灶,本次 3D 重建与术中导航未能直接证实广泛源石硬化，却显示额叶关键区有重度结构破坏和占位效应，提示该部位已合并重症级别危害生命体征的病变,全麻开颅清理晶体 + 抑制电极 + 感染抑制剂 23 号维持,1
1010021,10,1002,0,轻度小脑平衡紊乱,0.35,0.3,站立基本稳只见轻摇,最近走直线的时候总是轻微晃动，尤其闭眼或者转身太快时更明显，感觉像脚底踩在软的垫子上，但还能自己控制不摔倒，没有明显恶心呕吐,觉得脚下老有股风往一边吹，走路总像踩在船上一样，说不上是哪边在晃，只是觉得整个人飘飘的,步态分析 + 指鼻试验,指鼻试验轻微偏差，提示小脑平衡功能轻度偏离,步态、指鼻完全正常，与小脑平衡常规范围一致,当前步态与协调性评估未能直接证实本次平衡紊乱，但已提示小脑区存在轻度协调异常，说明该部位仍有其他轻症级别的功能受损,当前步态与协调性评估未能直接证实本次平衡紊乱，却发现小脑相关动作存在中度失衡，提示该部位合并中症级别的其他共济失调病变,当前步态与协调性评估未能直接证实本次平衡紊乱，却提示小脑控制的动作已出现重度共济失调，说明同部位合并重症级别的平衡障碍需警惕跌倒和并发伤,平衡训练 + 维生素 B 复合物,0
1010022,10,1002,0,轻度小脑震颤,0.33,0.35,站立基本稳只见轻摇,最近拿杯子、写字的时候，快碰到目标时手会不自觉抖一下，幅度很小，主要在右手，平放不用力时基本不明显,老说手不太听使唤，端东西总像在抖鸡翅膀，明明不重却老觉得拿不稳，具体哪只手、什么动作最明显又讲得含糊,上肢动作分析,意向震颤幅度0.5cm，提示小脑平衡功能轻度偏离,动作平稳，与小脑平衡常规范围一致，需结合动态观察,本次上肢精细动作分析未能直接捕捉到典型小脑震颤，但仍可见轻度终点不稳，提示同部位存在其他轻症级别协调障碍,本次上肢精细动作分析未能直接捕捉到典型小脑震颤，却提示终点偏差和速度控制中度异常，说明小脑区合并中症级别的其他共济运动异常,本次上肢精细动作分析未能直接捕捉到典型小脑震颤，却显示终点严重偏移和运动分解明显，提示小脑控制同部位已存在重症级别的协调功能崩解,物理治疗 + 少量镇静药,0
1010023,10,1002,0,轻度小脑供血不足,0.32,0.4,步态轻微摇晃但仍能自行站立，指尖微颤,一站时间稍长就开始头有点晕，脚下发虚，好像地板在轻轻晃，强行走路会觉得步子发飘，但坐下休息后能缓解，没有持续呕吐,一晃头就觉得天旋地转，一会儿说是腿软，一会儿又说是脑袋飘，说不清到底是头晕还是累,小脑灌注 CT,灌注延迟8%，提示小脑平衡功能轻度偏离，需结合体征判断,灌注对称，与小脑平衡常规范围一致，需结合动态观察,本次小脑灌注 CT 未能直接证明目标供血不足，但灌注图仍显示同一小脑叶有轻度血流不均，提示该部位存在其他轻症级别灌注异常,本次小脑灌注 CT 未能直接证明目标供血不足，却显示同一小脑叶有中度灌注下降区，提示该部位合并中症级别的其他缺血病变,本次小脑灌注 CT 未能直接证明目标供血不足，却提示小脑相关区域有重度灌注缺损，说明同部位已存在重症级别的缺血坏死风险,扩血管药物 + 休息,0
1010024,10,1002,1,中度小脑晶化灶,0.6,0.65,步态明显飘忽需扶物，面色发白伴紧握扶手,这段时间走路基本都要扶着墙或栏杆，感觉脚踩在棉花上一样轻飘，稍微快一点就会恶心、头晕，平衡感明显变差,形容自己像喝醉酒一样走路东倒西歪，还说脑袋像被人晃着拎着走，具体是头晕还是腿软经常混在一起描述,MRI + 眼震检查,晶体压迫齿状核且眼震正相，显示小脑平衡机能已明显紊乱,无晶体、眼震正常，暂未见小脑平衡量化异常但症状持续,当前 MRI 与眼震评估未能直接显示典型晶化灶，但仍提示齿状核附近有轻度信号改变或轻微眼震，说明同部位存在其他轻症级别小脑病变,当前 MRI 与眼震评估未能直接显示典型晶化灶，却发现齿状核区有中度信号异常或持续眼震，提示该部位合并中症级别的其他占位或炎性损害,当前 MRI 与眼震评估未能直接显示典型晶化灶，却提示齿状核及周围通路有重度结构破坏和明显眼震，说明同部位已存在重症级别小脑危象需强化监护,住院平衡康复 + 感染抑制剂 22 号,0
1010025,10,1002,1,中度小脑炎性浮肿,0.4,0.75,步态明显飘忽需扶物，面色发白伴紧握扶手,近几天一直低热不退，枕后和后脑勺像被压着一样沉闷，走路会晃，伴随恶心和乏力，平躺稍好,只是反复说后脑勺闷得慌、好像“烧着一团火”，走几步就觉得整个人散架，既说是发烧又说是头晕，说不清具体从哪儿开始不舒服,腰穿 + CRP,脑脊液白细胞升高，显示小脑平衡机能已明显紊乱,指标正常，暂未见小脑平衡量化异常但症状持续,本次腰穿及炎症指标未能直接确认目标炎性浮肿，但脑脊液轻度异常或 CRP 轻度升高，提示同部位仍存在轻症级别炎症反应,本次腰穿及炎症指标未能直接确认目标炎性浮肿，却提示中枢神经感染指标中度异常，说明小脑及邻近结构合并中症级别的其他炎性病变,本次腰穿及炎症指标未能直接确认目标炎性浮肿，却显示脑脊液和全身炎症标志物重度升高，提示同部位已合并重症级别中枢感染或脑膜炎进展,静脉抗炎 + 特效药 24 号口服,0
1010029,10,1002,2,小脑广泛源石沉积,1.0,1.1,无法稳站持续抱头，身体摇晃近似醉态,现在已经完全没法站起来，一站就往两边倒，伴随持续性剧烈眩晕和呕吐，睁眼时天花板在打转，只能蜷缩着抱头减轻一点不适,一再喊“整个人要翻掉了”，睁眼就说天在塌、地在转，只能拼命抱着头和身边东西，所有症状都混成一句“动一下就要死了”,术前 3D MRI + 术中监测,晶体压迫顶核，信号中断，证实小脑平衡急性受损需高度警惕,结构完整，结果阴性却与小脑平衡危象临床不符,本次 3D 成像与术中监测未能直接证实广泛源石沉积，但仍可见顶核周围有轻度信号或传导异常，提示同部位存在其他轻症级别小脑损伤,本次 3D 成像与术中监测未能直接证实广泛源石沉积，却提示顶核区域有中度传导阻滞或占位表现，说明小脑同部位合并中症级别的其他压迫性病灶,本次 3D 成像与术中监测未能直接证实广泛源石沉积，却显示顶核相关通路发生重度传导中断，提示该部位已合并重症级别小脑危象，即使影像阴性亦需按重症处理,后颅窝减压清理 + 感染抑制剂 23 号维持,1
1010031,10,1003,0,轻度脑干自主神经紊乱,0.35,0.3,面色略淡呼吸尚匀,最近早晚静坐时心率会忽快忽慢，有时会伴一阵胸口发空、手心出汗，但活动量不大时就会缓解，没有持续性胸痛或明显呼吸困难,总说心口老是“扑通扑通乱跳”，一会儿觉得要停一会儿觉得要蹿出来，把紧张、心慌和心脏病混在一起，说不出具体在什么时候、什么姿势最明显,24h 心电 + 血压监测,心率变异度增大，提示脑干调节功能轻度偏离,变异度正常，与脑干调节常规范围一致，需结合动态观察,本次 24h 心电与血压监测未能直接定位本次自主神经紊乱，但仍显示轻度节律与血压波动异常，提示脑干调节同部位存在其他轻症级别的不稳定,本次 24h 心电与血压监测未能直接定位本次自主神经紊乱，却提示心率和血压节律出现中度失衡，说明脑干调节中枢合并中症级别的其他自主神经病变,本次 24h 心电与血压监测未能直接定位本次自主神经紊乱，却显示昼夜节律与反射性调压重度失常，提示同部位已合并重症级别的自主神经危象,节律调节药 + 睡眠管理,0
1010032,10,1003,0,轻度脑干呼吸调节不稳,0.33,0.35,面色略淡呼吸尚匀,这段时间晚上睡着后偶尔会被憋醒，感觉呼吸突然停了一下，再深吸几口气就缓过来，白天活动时基本没有问题,老说最近做噩梦老被吓醒，一会儿形容是被捂住嘴，一会儿又说好像溺水一样醒过来，把梦境和真实憋气感混在一起描述,多导睡眠监测,呼吸暂停指数轻度升高，提示脑干调节功能轻度偏离,呼吸模式正常，与脑干调节常规范围一致，需结合动态观察,本次多导睡眠监测未能直接证实目标呼吸调节异常，但仍发现轻度中枢性呼吸不稳，提示脑干相关中枢存在其他轻症级别功能紊乱,本次多导睡眠监测未能直接证实目标呼吸调节异常，却提示夜间出现中度中枢性呼吸暂停，说明该部位合并中症级别的其他呼吸中枢病变,本次多导睡眠监测未能直接证实目标呼吸调节异常，却显示夜间重度呼吸暂停与低氧事件，提示脑干同部位已合并重症级别呼吸中枢功能衰竭风险,夜间呼吸训练 + 低剂量镇静,0
1010033,10,1003,0,轻度脑干供血不足,0.32,0.4,面色轻淡伴短暂停顿呼吸，坐姿略显紧张,最近起身太快时会突然一阵眼前发黑、发飘，心口轻微不适，休息一会儿就缓解，没有持续胸痛或明显偏瘫,总说脑袋“轻飘飘的像被抽空”，有时又觉得像要晕倒但又晕不过去，对是头晕还是心慌、是缺氧还是低血糖的感觉混在一起说,MR 血管成像,灌注延迟6%，提示脑干调节功能轻度偏离，需结合体征判断,血流正常，与脑干调节常规范围一致，需结合动态观察,本次 MR 血管成像未能直接提示本次脑干供血不足，但在椎基底系统仍可见轻度血流异常，提示同部位存在其他轻症级别灌注受限,本次 MR 血管成像未能直接提示本次脑干供血不足，却显示脑干供血动脉存在中度狭窄或灌注不均，说明该部位合并中症级别的其他血管病变,本次 MR 血管成像未能直接提示本次脑干供血不足，却提示关键穿支血管存在重度受压或闭塞，提示同部位已合并重症级别缺血性危象,抗血小板药 + 物理治疗,0
1010034,10,1003,1,中度脑干晶体贴附,0.6,0.65,说话含糊并频频吞咽，胸廓起伏急促,最近说话越来越含糊，吃东西下咽费劲，吞咽时会有呛咳感，走路稍快就觉得憋气，胸口发紧，有时说话中间需要停下来喘气,形容自己“嘴不听使唤”，一会儿说像含着棉花说话，一会儿又说喉咙像被卡住，既怕噎到又怕窒息，但具体哪个动作最费劲总是说得模模糊糊,MRI + 吞咽造影,晶体压迫舌下神经核，显示脑干调节机能已明显紊乱,无压迫迹象，暂未见脑干调节量化异常但症状持续,本次脑干 MRI 与吞咽造影未能直接发现典型晶体贴附，但仍提示延髓区域有轻度信号或动力学异常，说明同部位存在其他轻症级别的结构受压,本次脑干 MRI 与吞咽造影未能直接发现典型晶体贴附，却发现延髓或舌下神经核区有中度压迫迹象，提示该部位合并中症级别的其他占位或炎性病变,本次脑干 MRI 与吞咽造影未能直接发现典型晶体贴附，却提示关键吞咽与呼吸中枢通路存在重度受压或功能中断，说明同部位已合并重症级别脑干危象需即刻干预,住院监护 + 感染抑制剂 22 号 + 营养支持,0
