type_id,type_name,description
经验类型id,经验类型名,经验类型具体说明
int,str,str
0,1,1
经验类型,,
0,其他经验,不属于特定部位的各种经验类型，包括异常经验、道具使用、紧缚等特殊经验
1,部位快感经验,针对身体特定部位的基础快感经验，包括皮肤、胸部、阴蒂、阴茎、阴道、肛肠、尿道、子宫、口喉、兽部、心理等部位的基本感受经验
2,部位绝顶经验,各个身体部位达到绝顶状态的经验，是部位快感经验的升华和极致表现，包括各部位的绝顶体验
3,部位性交经验,涉及性器官插入和性交行为的经验，包括阴道、肛肠、尿道、子宫等部位的性交体验，以及各种交媾方式的经验
4,部位无意识经验,在无意识状态下获得的各种部位经验，包括睡眠、昏迷等状态下的身体感受和反应经验
5,部位扩张经验,针对特定部位进行扩张训练或体验的经验，主要涉及阴道、肛肠、尿道、子宫等部位的扩张适应性训练
6,液体放出经验,身体的自然生理反应和分泌物相关的经验，包括绝顶、射精、喷乳、放尿等生理现象的体验
7,心理快感经验,涉及情感交流和心理层面的经验，包括奉仕、爱情、苦痛快乐、嗜虐等情感和心理状态的体验
8,体位经验,各种性交体位和技巧方面的经验，包括正常位、骑乘位、立位等不同体位的熟练度和技巧掌握
9,无意识类型经验,在特殊心理或生理状态下的经验，包括睡姦、催眠、时姦等非常规状态下的体验
10,未定义类型,预留的经验类型，暂未使用
11,生活技能经验,日常生活和社交方面的技能经验，包括对话、战斗、学识、料理、约会、音乐等各种生活技能的掌握程度
12,理论经验,针对各种性交行为和技巧的理论知识和理解，包括手交、口交、足交、乳交、性交、肛交、榨精等方面的理论学习和掌握
