cid,name,info,option
选项id,选项名,选项介绍,各个选项
int,str,str,str
0,1,1,1
绘制设置,,,
1,主界面每次刷新时的空行数量,主界面即主场景界面，每次使用指令后刷新。喜欢连在一起的可以调小，喜欢明确分隔的可以调大,1行|2行|3行|5行|10行|50行
2,全角色是否使用通用文本,指令文本分为通用文本和角色专属文本，通用文本可以被所有角色使用，角色专属文本只能被指定角色使用。注意，改变该项将会覆盖全角色的该个人选项，如需个别调整请手动调整对应角色,仅使用角色专属文本|使用通用文本+角色专属文本
3,主界面中干员好感与信赖的显示,是否在主界面的角色信息中显示好感与信赖的情况，以及要显示多详细,不显示|仅显示好感与信赖等级|显示好感与信赖的等级与具体数值
4,主界面中干员催眠情况的显示,是否在主界面的角色信息中显示催眠的情况，以及要显示多详细,不显示|仅显示催眠类型|显示催眠类型和进度百分比
5,是否在处理公务时显示待处理事项,开启后会在处理公务时检测各部门的运作情况，对有问题需要博士处理的情况进行提示,否|是
6,是否显示玩家的指令结算数据,即指令结算中玩家部分的数据，默认为是,否|是
7,是否显示干员的指令结算数据,即指令结算中干员部分的数据，默认为是,否|是
8,是否显示干员的移动文本,即干员在移动时的目的地显示文本，默认为是,否|是
9,是否显示干员的每日招呼文本,即干员在每日招呼时的文本，默认为全显示，可改为仅显示口上招呼，或均不显示,均不显示|全显示|仅显示口上招呼
