cid,ability_id,now_level
升级id,能力id,当前等级
int,int,int
0,0,1
能力对应类型和文字描述,,
0,0,0
1,0,1
2,0,2
3,1,0
4,1,1
5,1,2
6,2,0
7,2,1
8,2,2
9,3,0
10,3,1
11,3,2
12,4,0
13,4,1
14,4,2
15,5,0
16,5,1
17,5,2
18,6,0
19,6,1
20,6,2
21,7,0
22,7,1
23,7,2
24,8,0
25,8,1
26,8,2
27,9,0
28,9,1
29,9,2
30,10,0
31,10,1
32,10,2
33,11,0
34,11,1
35,11,2
36,12,0
37,12,1
38,12,2
39,13,0
40,13,1
41,13,2
42,14,0
43,14,1
44,14,2
45,15,0
46,15,1
47,15,2
48,16,0
49,16,1
50,16,2
51,17,0
52,17,1
53,17,2
54,18,0
55,18,1
56,18,2
57,19,0
58,19,1
59,19,2
60,20,0
61,20,1
62,20,2
63,21,0
64,21,1
65,21,2
66,22,0
67,22,1
68,22,2
69,23,0
70,23,1
71,23,2
72,24,0
73,24,1
74,24,2
75,25,0
76,25,1
77,25,2

101,40,0
102,40,1
103,40,2
104,41,0
105,41,1
106,41,2
107,42,0
108,42,1
109,42,2
110,43,0
111,43,1
112,43,2
113,44,0
114,44,1
115,44,2
116,45,0
117,45,1
118,45,2
119,46,0
120,46,1
121,46,2

201,70,0
202,70,1
203,70,2
204,71,0
205,71,1
206,71,2
207,72,0
208,72,1
209,72,2
210,73,0
211,73,1
212,73,2
213,74,0
214,74,1
215,74,2
216,75,0
217,75,1
218,75,2
219,76,0
220,76,1
221,76,2
