cid,name,type,sub_type,info
角色扮演id,角色扮演名,角色扮演类型,角色扮演子类型,角色扮演介绍
int,str,str,str,str
0,1,1,1,1
角色扮演列表,,,,

0,无,0,无,不进行角色扮演
1,妻子,家庭,无,对方是自己的妻子，和自己感情十分深厚
2,姐姐,家庭,无,对方是自己的亲姐姐，对自己这个弟弟十分照顾
3,妹妹,家庭,无,对方是自己的亲妹妹，很依赖自己这个哥哥
4,女儿,家庭,无,对方是自己的亲生女儿，天真可爱，非常依赖自己，什么话都听自己的
5,妈妈,家庭,无,对方是自己的妈妈，对自己有强烈的保护欲和溺爱
11,小学生,职业,校园,对方是正在上小学的学生，天真无邪，充满好奇心
12,初中生,职业,校园,对方是正在上初中的学生，正值叛逆期，同时又对大人充满依赖
13,高中生,职业,校园,对方是正在上高中的学生，青春活泼，面临升学压力，渴望被理解和支持
14,大学生,职业,校园,对方是正在上大学的学生，追求梦想，渴望独立和自我实现
15,教师,职业,校园,对方是学校的教师，负责教导学生，关心学生的成长与学习
21,护士,职业,护士,对方是照顾病人的护士，温柔体贴，专业素养高，对病人有耐心
22,警察,职业,无,对方是维护社会秩序的警察，工作认真严肃，但私下里性格可能截然不同
23,白领,职业,无,对方是公司职员，工作繁忙压力大，渴望在私生活中得到放松和慰藉
24,偶像,职业,偶像,对方是国民级的美少女偶像，拥有无与伦比的歌唱和舞蹈才华
25,家庭女仆,职业,家庭女仆,对方是自己家雇佣的女仆，负责照顾家庭起居，处理家务事宜和提供服务
26,咖啡厅女仆,职业,咖啡厅女仆,对方是在女仆咖啡厅工作的女仆，负责为客人提供服务和娱乐
27,巫女,职业,巫女,对方是神社的巫女，负责进行祭祀和祈福活动，对神灵有着深厚的信仰和敬畏
31,陌生人,关系,非家庭,自己对方的陌生人，和对方之间没有任何关系
32,师生,关系,校园,对方和自己是教导的师生关系，一方是老师，另一方是学生，老师对学生有特殊的关爱和指导
33,同学,关系,校园,对方是自己的同班同学，关系亲密，常常一起学习和活动
34,同事,关系,非家庭,对方是自己的同事，工作上互相支持，私下里也有一定的交情
35,邻居,关系,非家庭,对方是住在自己隔壁的邻居，关系友好，常常互相帮助
51,宠物猫,人外,特殊,对方以为自己是一只猫，不会说话，拥有猫的所有特征和习性，娇小可爱，有时傲娇，喜欢被抚摸和关爱
52,宠物狗,人外,特殊,对方以为自己是一只狗，不会说话，拥有狗的所有特征和习性，忠诚可爱，喜欢撒娇和陪伴主人
53,魅魔,人外,无,对方以为自己是魅魔，以吸取精气为生，现在正在发情期，必须尽快摄入精液
101,电车痴汉,场景,通用,在拥挤的电车上，对方被自己进行痴汉行为，但又不敢反抗，只能默默忍受
102,户外当众,场景,通用,在可能被他人看见的公共场所进行亲密行为，刺激感和羞耻感倍增
103,公共厕所（主动）,场景,通用,对方把自己捆在公共厕所的隔间里，等待不认识的陌生人把自己当做肉便器使用，然后等来了自己
104,公共厕所（被动）,场景,通用,对方被自己绑架后捆在公共厕所的隔间里，被自己当做肉便器使用
105,俘虏拷问,场景,特殊,对方是被俘虏的敌人，自己是审讯官，通过各种手段逼迫对方屈服
106,榨精护士,场景,护士,对方是医院的护士，负责对自己这个病人进行特殊的精液采集和处理
107,战败魔法少女,场景,特殊,对方是强大的魔法少女，自己是魔物或怪人，对方被自己打败后沦为自己的玩物，必须接受各种羞辱和调教
108,VTuber直播中,场景,家庭,对方是正在直播的VTuber，自己在对方直播中突然闯入，进行亲密行为，对方必须在观众面前维持表面上的正常
109,向神灵祭祀,场景,巫女,对方是神社的巫女，自己是神灵的信徒，双方要进行特殊的祭祀活动，在神像面前进行交合
110,向自己祭祀,场景,巫女,对方是神社的巫女，自己是神灵的化身，对方要对自己进行特殊的祭祀活动，与自己进行交合
111,女仆惩罚调教,场景,家庭女仆,对方是自己家雇佣的女仆，自己是主人，对方做了错事，必须接受主人的惩罚和调教
112,女仆咖啡厅里菜单,场景,咖啡厅女仆,对方是女仆咖啡厅的女仆，自己是重要的客人，点了特殊的菜单，女仆必须满足自己的任何要求
121,偶像台前准备室,场景,偶像,对方是国民级的偶像，自己在对方上台演出前，在准备室里对偶像进行特殊的准备和调教
122,偶像单人LIVE,场景,偶像,对方是国民级的偶像，对方为自己单独开了一场私人演出，演出中对方会进行各种亲密的互动和表演
123,偶像演出后粉丝答谢,场景,偶像,对方是国民级的偶像，对方在演出结束后邀请自己到爱情旅馆进行特殊的粉丝答谢活动，期间会有各种亲密的互动和调教
124,偶像枕营业,场景,特殊,对方是国民级的偶像，自己是有钱有势的高层，偶像为了能够上台表演，必须与自己发生关系，自己无论做什么对方都必须接受
131,放学后教室H,场景,校园,自己和对方在空无一人的教室里偷偷进行性行为
132,体育仓库H,场景,校园,自己和对方在存放体育器材的仓库中偷偷进行性行为
133,天台H,场景,校园,自己和对方在学校的天台上进行性行为
134,学校厕所H,场景,校园,自己和对方在学校的厕所里进行性行为
135,保健室H,场景,校园,自己和对方藏在保健室的同一张床上进行性行为
