cid,chara_adv_id,version_id,writer_name,talk_file_path,event_file_path,text
提示id,角色adv_id,版本id,作者名,口上文件路径,事件文件路径,文本内容
int,int,int,str,str,str,str
0,0,0,0,0,0,1
角色文本说明,,,,,,

0,0,1,匿名、北玄四号、dongya,无,无,这里是dongya，三分热度大王，在热情消退之前大概会一直会写\n尽可能的动用了自己的经验和共情能力，希望看得开心\n老天保佑金山银山全都有~
1,0001,1,陌歌悠悠,0001_阿米娅.csv,无,暂无说明
3,0003,1,爱吃鸡、HCIF（续）,0003_凯尔希.csv,无,爱吃鸡：\n愿大家能享受小小的欢乐时光。
7,0007,1,魔法师,0007_可露希尔.csv,无,暂无说明
10,0010,1,粼妖统领,0010_陈.csv,无,暂无说明
56,0056,1,Rick_4106和巴别塔的牢博,无,无,暂无说明
101,0101,1,亚北音留,0101_空.csv,无,各位，这里是亚北小老虎，各位直接叫亚北或老虎就行。\n这次负责是空的口上，本来是没打算参与到口上的制作的，\n被雷蛇哥抓来被迫打工的，才不是喜欢写的（雷蛇哥你还欠我全裸土下坐呢）。\n本虎代码不会文本稀烂（全靠几年COC跑团经验和FH团经验）希望各位玩时请轻点喷，\n目前写口上就是全凭感觉写事件什么的如果以后研究明白了会有（大概率没有）。\n本虎对偶像相关了解也就只看过BanG Dream系列，并且对恋爱上面一点经验也没有。\n所以目前写的都是关于自己对恋爱的看法（什么你说性奴线呢？21世纪了还搞什么传统性奴，等和空关系好了你在看看？）。\n最后呢......要是有什么新的想法欢迎来给本虎提意见（如果要求简单基本上本虎都会考虑添加的。）\n本虎要是代码好的话我在这把我人设放出来让各位爽爽，毕竟在岛上还没有西伯利亚虎呢（金毛傲娇大老虎谁不喜欢呢对吧~）。\n最后的最后嘛~本虎其实是很希望哪怕是空这种冷门干员也有一个说的过去的口上才写的（应该没人看到这吧。）。
102,0102,1,游戏低手北宅,0102_德克萨斯.csv,无,暂无说明
107,0107,1,雷蛇哥,0107_雷蛇.csv,0107_雷蛇.json,大家好 这里是GeniusGD，各位可以直接称呼为雷蛇哥 是个雷蛇厨（不然嘞）\n雷蛇口上就是兴趣写的 偶尔会翻译+处理数值\n啥 你不要听废话？那直接把雷蛇的机制说一遍吧\n\n雷蛇目前写好的有四大淫乱损伤 当然之后有什么会加上\n【精神损伤】触发时会当场自慰 基本为免费获得把柄\n【腐蚀损伤】触发时会拉高欲望 被推了不关雷蛇的事 谁叫你留在那里\n【热情损伤】触发时会直接送你上床 小心被其他干员看到\n【堕落损伤】触发时会提高雷蛇身体的敏感度 要刷刻印啥的就趁现在\n损伤最多一天触发一次 睡觉时重置损伤和冷却 当然不一定正常 bug炸了麻烦上dc找我或者git填issue
113,0113,1,勿忘草,0113_W.csv,无,暂无说明
129,0129,1,鼠餅,0129_蓝毒.csv,无,暂无说明
136,0136,1,芜湖,0136_星熊.csv,无,暂无说明
143,0143,1,本凉鑫鑫,0143_幽灵鲨.csv,无,暂无说明
179,0179,1,凯布利斯,0179_夜莺.csv,无,暂无说明
181,0181,1,馬刀,0181_调香师.csv,无,暂无说明
201,0201,1,Sanchess,0201_可颂.csv,无,暂无说明
204,0204,1,无色树,0204_白金.csv,0204_白金.json,暂无说明
220,0220,1,馬刀,0220_格拉尼.csv,无,喔，小馬，總是充滿活力的小馬。想我當年就是因為一張小馬的美圖才開始了解方舟的。露著大腿外側的褲子，想必內褲是高腰細繩的那種...\n問我為什麼喜歡小馬呢...\n原本小馬對我來說只是個漂亮的姑娘，直到在nga看到一篇格拉尼的特雷森入(原帖被斃了，但作者有另外開)被小馬的英姿打動到了，經數個月的發酵後某天就"好漂亮的一姑娘!!"\n(然後就跑去玩賽馬娘了)\n請各位賽博女婿們能喜歡我寫的格拉尼，目前仍在嘗試在嘗試有天能在甲板上舉辦屬於我們的羅德島大賞賽，2500，左旋!!\n(個人私心覺得格拉尼是方舟最適合跑賽馬的庫蘭塔了，我還有藏勝者舞台在口上裡喔，獻給博士的勝者舞台)
230,0230,1,馬刀,0230_暴行.csv,无,阿，夏洛特...當時正值羅德島活動結束，當大家都沉浸在緬懷殿下(或前文明)而傷神，我卻被這位大姑娘的劇情擊中了\n試想她一個大姑娘，就這麼陪著博士和阿米婭，在大地上旅行了這麼久，是在什麼樣的心情下說出那句"如果你願意，我們可以給阿米婭一個家"\n又是在一聽到羅德島時馬上跑去找凱貓貓...不行，我不能忍受大家聊到暴行時大家只會調侃"她的胡蘿蔔派很好吃"、"她本有機會贏的，可惜和博士的記憶被刪光光了"\n本世界線，我的夏洛特必會大贏特贏，善良的人應得到該有的獎賞
241,0241,1,赤夜千緋,0241_食铁兽.csv,无,暂无说明
245,0245,1,斯兔基,0245_塑心.csv,无,暂无说明
246,0245,2,岡崎 夢美,0245_塑心_2.csv,无,暂无说明
248,0248,1,狗子mo头人,0248_麦哲伦.csv,无,暂无说明
249,0249,1,RinRin,0249_缪尔赛思.csv,无,暂无说明
263,0263,1,拜洛代斯,0263_斯卡蒂.csv,无,暂无说明
274,0274,1,梦美,0274_星极.csv,无,暂无说明
285,0285,1,馬刀,0285_Lancet-2.csv,无,喔，小車，羅德島的機械媽咪～\n一開始為了整活而寫，最後卻讓群組的大家想破腦袋的一位幹員\n小車的性交部分要怎麼寫呢？被車輪壓牛子算足交嗎？⋯種種哲學問題總是引人辯論\n但是，小車是不可能變機娘的，這是對原教旨主義者的背叛（振聲\n努力的試著寫出媽咪的感覺\n希望大家能用愛包容這位特殊的幹員喔\n（小車的內容仍偏少，也希望有想法的博士能踴躍參與）
290,0290,1,内鬼,0290_红豆.csv,无,暂无说明
291,0291,1,馬刀,0291_安洁莉娜.csv,无,暂无说明
304,0304,1,tttbb,0304_暴雨.csv,无,暂无说明
328,0328,1,wfish,0328_卡达.csv,无,暂无说明
350,0350,1,雷电芽衣Q,0350_史尔特尔.csv,无,暂无说明
358,0358,1,艾雅法拉的拖鞋,0358_铃兰.csv,无,暂无说明
365,0365,1,影霜,0365_四月.csv,无,暂无说明
377,0377,1,馬刀,0377_澄闪.csv,无,喔，澄閃，一位善良、正質、偶爾缺乏點運氣的小貓咪，這片大地上不該只有不公，善良之人應得一個美好的故事，試問誰又不是如蘇茜一般努力過著日子呢\n(只可惜鷹角又在密錄裡把貓貓當成駱駝澄子開涮，鷹角壞!)\n好像還要給玩家一點建議來著....那，希望溫柔的人都能被溫柔以待\n(說貓貓是豬豬的人聽著，YOU!!  馬上到你家門口!!)
391,0391,1,陨落的面包,0391_迷迭香.csv,无,迷迭香是个可爱的孩子，也是罗德岛坚强的小小感染者战士，我被这样的设定背景与人物表现所吸引，东拼西凑成了一点点口上。\n\n虽然本坑有打算继续完善的计划，但做好了抛砖引玉的心理准备，\n不过此刻，三分热度的初篇已经成功憋出来，我也没什么心理负担，可以安心继续活下去了。\n谢谢你，迷迭香。
405,0405,1,幻胧月睨,0405_苦艾.csv,无,暂无说明
426,0426,1,綾奈AA,0426_卡涅利安.csv,无,暂无说明
469,0469,1,TMD,0469_深靛.csv,无,暂无说明
474,0474,1,綾奈AA,0474_歌蕾蒂娅.csv,0474_歌蕾蒂娅.json,暂无说明
497,0497,1,175,0497_晓歌.csv,无,暂无说明
1012,1012,1,祇堂太壹,1012_浊心斯卡蒂.csv,无,暂无说明
1551,1551,1,戈多拉夫,1551_诺埃米.csv,无,暂无说明
2013,2013,1,馬刀,2013_刻俄柏.csv,无,博士對刻俄柏瑟瑟，博士壞! 但小刻最喜歡博士了，所以小刻好!\n\n小刻的口上寫起來最讓人開心了，誰不喜歡一隻活力無限，傻呼呼的同時又愛你且聽話的巨乳狗狗呢。\n文本裡大量使用了各類壯聲詞和口語化的口癖來凸顯小刻的活潑可愛，筆者是寫的很治癒啦，就不知道現在看著這段文字的你怎麼想了\n出於偏愛，除了身體接觸，還寫了不少教小刻做飯、念書、品酒、戰鬥和設備維護的篇幅，大家有興趣可以看看喔\n雖然寫這段時發情期系統尚未實裝，但寫了不少篇幅，一想到平時活潑可愛的大姑娘一到時間就變得扭捏，滿腦子只想和博士貼貼跟瑟瑟，一想就覺得這簡直要瑟瘋了\n\n希望大家都能喜歡我的小刻喔，讓小刻成為幸福的刻俄柏吧!
2015,2015,1,ccb,2015_夕.csv,无,暂无说明
4027,4027,1,shinnippor,4027_霍尔海雅.csv,无,暂无说明
4080,4080,1,五月末,4080_林.csv,无,暂无说明
4091,4091,1,Shalood、馬刀（续）,4091_U-Official.csv,无,暂无说明
4116,4116,1,匿名,无,4116_锏.json,暂无说明
6666,6666,1,馬刀,6666_炉芯终曲阿米娅.csv,无,暂无说明
