cid,name,formula,difficulty,info
编号id,配方名,配方(序号为资源序号),难易度,配方介绍
int,str,str,int,str
0,1,0,0,1
香薰疗愈配方,,,,
0,无,0|0,0,无
1,林间夜话,16|5,1,提炼十五种植物成分，尝试一百七十二种组合。风踏进山林，万物低语，人可好眠。能够将体力与气力全部回满
2,迷梦香精,16|5&41|1,1,据说女妖们制作的香氛只会送给心上之人，只需一滴，就能令人如痴如醉，而艺术家们的灵感与创意也随之而来。今日习得的获得速度+1倍
3,橙色心灵,16|10&41|1,1,自嘲弄的橙色转化成青色，感到安心，得到治愈。今日恐怖、苦痛、抑郁、反感的获得速度-0.5倍
4,迷乱情梦,16|10&43|1,1,蔷薇啊，你的笑靥倾倒芸芸众生，你的藤蔓将散落的诗句拾捡，似不从大地中来，却漫出院墙，摇曳芬芳。今日全部位快感与欲情的获得速度+1倍
5,情感共鸣,16|10&43|1,1,隐藏于内心深处，潜伏于恐惧之下，与我共鸣，打开心扉，感受他人。今日好感与信赖的获得速度变为+0.5倍
6,下坠天空,16|20,1,浓郁的气味让人头晕眼花，失重的眩晕感袭来，天地倒转，意识陷入深渊。今日催眠进度的增长速度+5倍
