cid,name,type,price,cant_buy,specialty,info
资源id,资源名字,资源类型,资源价格,是否无法购买,地区特产(对应出身地cid),介绍信息
int,str,str,int,int,int,str
0,1,1,0,0,0,1
各类基地使用资源一览,,,,,,

000,无,无,0,1,0,无

001,龙门币,货币,0,1,0,由龙门发行的货币，用途广泛。
002,合成玉,货币,0,1,0,由至纯源石加工而来，混合了其他矿物以后的源石产物。以前仅能当作一些传导元件使用，现在却逐渐成为人事交互关系中令人信服的象征物。
003,至纯源石,货币,0,1,0,在工业中用量巨大的源石结晶，但有着较高的提取难度。是世界的主要能源类精加工产物，同时也是几乎所有源石技艺得以施展的根本。
004,粉红凭证,货币,0,1,0,代表可以色色的秘密凭证，可用于在成人商店兑换色情道具。

011,普通药材,材料,1000,0,0,各类常见病和内外伤治疗所用的药材。
012,矿石病药材,材料,2000,1,0,能用来制作感染抑制剂的罕见药材，来源保密。
013,工业材料,材料,2000,0,0,各类木材、土石、金属、纤维、皮革、塑料、源石矿等原材料，可以用来进一步加工。
014,科研材料,材料,5000,0,0,各类研究样本、耗材、高精设备等科研所需要的一切。
015,燃料,材料,1000,0,0,各类燃料，包括化石燃料与液化源石，用来驱动罗德岛及其他载具的航行。
016,香料,材料,100,0,0,各类香料，用以调制香精的原料，可以用来制作各种香水。

021,常规药物,药剂,20000,1,0,治疗非矿石病的其他常规病症，包括外伤或常见疾病。
022,感染抑制剂小样,药剂,50000,1,0,用于应急治疗早期感染的患者，也可维持轻症患者的病情。
023,感染抑制合剂,药剂,100000,1,0,常规治疗药剂，可有效降低血液源石结晶密度。
024,感染抑制剂浓缩液,药剂,1000000,1,0,用于紧急治疗重度矿石病发作的患者，副作用较大，但见效极快。

031,鲜母乳,乳制品,2,1,0,新鲜的母乳，味道醇美，营养丰富，可以直接饮用或用来制作各种乳制品。
032,母乳酸奶,乳制品,100,1,0,鲜母乳发酵而成的酸奶，味道酸甜可口，含有丰富的益生菌。
033,母乳奶片,乳制品,100,1,0,鲜母乳制成的奶片，粉粉干脆的口感，嚼起来有浓浓的奶香。
034,母乳奶酪,乳制品,500,1,0,鲜母乳发酵而成的奶酪，味道醇厚，营养丰富，是一种高级乳制品。
035,母乳奶粉,乳制品,500,1,0,用鲜母乳制成的奶粉，便于携带和储存，冲泡后有着接近鲜母乳的口感。
036,母乳冰激凌,乳制品,1000,1,0,用鲜母乳和其他配料制成的各口味冰激凌，口感顺滑，甜而不腻，每一口都能感受到浓郁的奶香。

041,浓缩香精,香水,1000,1,0,用各类香料提炼而成的浓缩香精，在众多领域都有着广泛的应用。
042,普通香水,香水,2500,1,0,用浓缩香精调制而成的香水，香味过于浓郁，持久性较差。
043,高级香水,香水,10000,1,0,用精选香料和高级香精调制而成的香水，香气适中，香味持久，是一种高级香水。
044,药用香水,香水,50000,1,0,用各类药用香料和香精调制而成的香水，不仅有着不输于高级香水的香气，还有着较高的药用价值。

101,阿戈尔特产,特产,5000,0,1,阿戈尔的特产。
111,玻利瓦尔特产,特产,5000,0,2,玻利瓦尔的特产。
121,东特产,特产,5000,0,3,东的特产。
131,哥伦比亚特产,特产,5000,0,4,哥伦比亚的特产。
141,卡西米尔特产,特产,5000,0,5,卡西米尔的特产。
151,卡兹戴尔特产,特产,5000,0,6,卡兹戴尔的特产。
161,拉特兰特产,特产,5000,0,7,拉特兰的特产。
171,莱塔尼亚特产,特产,5000,0,8,莱塔尼亚的特产。
181,雷姆必拓特产,特产,5000,0,9,雷姆必拓的特产。
191,米诺斯特产,特产,5000,0,10,米诺斯的特产。
201,萨尔贡特产,特产,5000,0,11,萨尔贡的特产。
211,萨米特产,特产,5000,0,12,萨米的特产。
221,维多利亚特产,特产,5000,0,13,维多利亚的特产。
231,乌萨斯特产,特产,5000,0,14,乌萨斯的特产。
241,谢拉格特产,特产,5000,0,15,谢拉格的特产。
251,叙拉古特产,特产,5000,0,16,叙拉古的特产。
261,炎特产,特产,5000,0,17,炎的特产。
271,伊比利亚特产,特产,5000,0,18,伊比利亚的特产。
281,杜林特产,特产,5000,0,19,杜林的特产。
291,汐斯塔特产,特产,5000,0,20,汐斯塔的特产。
