cid,system_id,part_id,severity_level,name,weight,normal_medicine_bonus,appearance_indicator,patient_statement_clear,patient_statement_vague,exam_method,exam_result_positive,exam_result_negative,recheck_hint_mild,recheck_hint_moderate,recheck_hint_severe,treatment_plan,requires_surgery
并发症ID,系统ID,部位ID,严重等级(0轻/1中/2重),名称,抽取权重,普通药增量,外观表征,清晰自述,模糊自述,检查方法,阳性结果描述,阴性结果描述,轻症更换检查提示,中症更换检查提示,重症更换检查提示,治疗方案,是否需要手术
int,int,int,int,str,float,float,str,str,str,str,str,str,str,str,str,str,int
0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0
医疗并发症详表,,,,,,,,,,,,,,,,,
1001001,10,1001,0,轻度额叶源石性脑膜刺激,0.35,0.03,无可见异常，仅偶见轻微皱眉按压前额,最近这段时间前额总是有一阵一阵紧绷的感觉，像戴了个稍微偏紧的发箍，盯着终端屏幕久一点就会有隐隐头痛，但休息一下就能缓过来，没有恶心呕吐,就是觉得脑袋前面闷闷的，有时候一紧就想揉额头，说不清是疼还是涨，感觉像是累到了,功能性 MRI + 颅脑高分辨 CT,额叶脑膜附近可见细小低密度源a石沉积影，周围脑膜轻度增厚，局部血流略有增高，提示轻度源石性脑膜刺激,颅脑结构与脑膜厚度均在常规范围内，未见异常强化或结晶灶，脑血流分布均匀,本次检查未能直接定位额叶源石性脑膜刺激，但在额叶皮层表面可见散在轻度代谢增高区，提示该部位存在其他轻症级别功能紊乱,本次检查未能直接定位额叶源石性脑膜刺激，却在额叶深部发现中度信号异常区，提示同部位可能合并中症级别源石性占位或炎性病灶,本次检查未能直接定位额叶源石性脑膜刺激，却显示额叶存在重度源石结晶团块及明显占位效应，提示同部位已合并重症级别致压病灶需优先处理,门诊口服轻度镇痛药 + 低剂量源石代谢调节剂 21 号 + 规律作息随访,0
1001002,10,1001,0,轻度额叶源石性微灶,0.35,0.03,无可见异常，仅在长时间交谈后略显疲惫揉额头,最近老觉得注意力不太集中了，特别是处理一长串任务的时候，前额会有隐隐胀痛，脑子像是慢半拍，但睡一觉第二天又能勉强坚持,就觉得脑袋里像塞了点碎沙子，转念头的时候会卡一下，偶尔会说错话或者忘词，但又说不出到底是哪儿出问题,对比增强 MRI + 源石元素定量扫描,额叶皮层下可见数个点状源石微结晶信号，周围脑组织轻度水肿，额叶功能区激活模式略有紊乱,未见异常强化或点状高信号灶，源石元素定量处于感染者稳态范围，额叶功能激活图正常,本次检查未能直接证实额叶源石性微灶，但额叶前部可见轻度弥散受限区，提示同部位仍存在其他轻症级别结构或代谢异常,本次检查未能直接证实额叶源石性微灶，却在额叶中部发现中度异常强化条带，提示同部位合并中症级别的源石结晶带或炎性病变,本次检查未能直接证实额叶源石性微灶，却显示额叶关键区出现重度信号异常和占位效应，提示同部位存在重症级别广泛源石结晶病变需紧急评估,门诊源石代谢调节剂 21 号小剂量疗程 + 额叶功能训练 + 定期影像随访,0
1001003,10,1001,0,轻度额叶源石性电活动失衡,0.3,0.025,无可见异常，偶在交谈中微停顿后继续陈述,最近偶尔会有几秒钟“走神”的感觉，眼前发空一下，人还清醒但话会突然接不上，额头有轻微刺痒和发胀感，休息后可以缓解,总说自己脑子老是“短路”，一会儿说刚刚在想什么都想不起来了，只记得额头发麻，像被什么东西轻轻戳着一样,脑电监测 + 源石相关电生理评估,额叶区可见散在轻度高频放电，与局灶源石结晶灶相关性增强，提示轻度源石性电活动失衡,基础脑电节律规则，未见异常放电，源石相关诱发电位在感染者常规范围内,本次检查未能直接证实源石性电活动失衡，但额叶诱发电位存在轻度波形延长，提示同部位仍有其他轻症级别功能偏离,本次检查未能直接证实源石性电活动失衡，却发现额叶有中度异常放电群，提示同部位合并中症级别的痫样放电病灶,本次检查未能直接证实源石性电活动失衡，却显示额叶存在重度爆发性放电与节律中断，提示同部位已合并重症级别电活动危象,门诊源石神经调节剂 21 号低剂量 + 睡眠管理 + 避免过度光声刺激,0
1001011,10,1001,1,中度额叶源石晶化带压迫,0.6,0.065,额部微肿伴压痛，交谈时常本能用手按住前额,这段时间前额一直像被一条硬带勒着，越到晚上越疼，痛感从额头往眼眶和太阳穴放射，说话和思考会被强烈的胀痛打断，偶尔会短暂说不出完整句子,总说“整块脑门都被什么东西卡住了”，一边按着前额一边皱眉，形容自己像戴了块沉重的石盔，稍微思考时间长一点就觉得脑子要炸,对比增强 MRI + 源石负荷分层扫描,额叶皮层下可见条带状源石晶化影压迫功能区，周围水肿中度，功能激活区向背外侧移位，提示中度结构性压迫,未见明显条带状结晶灶，仅可见轻度额叶体积改变，源石负荷在慢性感染者可接受范围内,本次检查未能直接证实额叶源石晶化带压迫，但额叶前极有轻度信号异常，提示同部位存在其他轻症级别源石性病变,本次检查未能直接证实额叶源石晶化带压迫，却提示额叶深部存在中度占位性强化影，说明同部位合并中症级别的其他结晶或炎性病灶,本次检查未能直接证实额叶源石晶化带压迫，却发现额叶前部有重度占位效应和中线偏移，提示同部位已存在重症级别空间占位病变,住院监护 + 源石代谢抑制剂 22 号静点 + 神经减压对症药物 + 定期影像复查,0
1001012,10,1001,1,中度额叶源石性痫样放电,0.4,0.06,额颞区表情紧绷，偶见短暂发愣后迅速恢复,近一两周总会突然停下一两秒，手里的动作会僵住，额头有一股电流划过的感觉，发作后会短暂头痛和疲惫，但意识还算清楚,形容自己“脑袋老被电了一下”，说话说到一半会卡住，人家叫几声才反应过来，自觉只是累过头了,长程视频脑电 + 源石相关功能成像,额叶区可见频发中度痫样放电群，与局部源石结晶灶高度相关，功能成像提示额叶网络同步性下降,监测期间基础脑电节律稳定，仅偶见非特异性慢波，源石相关功能成像未见异常热点,本次检查未能直接证实源石性痫样放电，但额叶前区诱发电位有轻度波形异常，提示同部位存在其他轻症级别功能紊乱,本次检查未能直接证实源石性痫样放电，却记录到额叶有中度异常放电在其他导联聚集，提示同部位合并中症级别的电活动病灶,本次检查未能直接证实源石性痫样放电，却在额叶及邻近区域发现重度爆发样放电，提示同部位已合并重症级别癫痫危象基础,住院短期监护 + 源石神经稳定剂 22 号 + 个体化抗痫药物调整 + 触发因素管理,0
1001101,10,1001,2,额叶广泛源石板块硬化,1.0,0.11,额颞部表情僵硬，持续抱头，畏光明显难以抬头,现在额头整块都像被坚硬的石板压住，疼痛持续接近满分，注意力完全无法集中，说话会频繁中断，稍有光线或声音就让额颞部剧烈跳痛,只会断断续续喊脑子被石头封死了、快碎掉了，用力抓挠头皮和额部，描述不清具体位置，只觉得整块头前面都在爆炸,3D 源石晶体重建 + 术中导航,额叶可见多块融合源石硬板压迫功能区，皮层明显变薄，术中导航证实额叶功能区受累广泛，存在严重占位效应,额叶皮层形态及厚度基本正常，未见大块板状结晶灶，结果阴性，与目前临床表现并不相符,本次检查未能直接证实广泛源石板块硬化，但额叶前区仍见轻度结晶点状影，提示该部位存在其他轻症级别源石病变,本次检查未能直接证实广泛源石板块硬化，却发现额叶有中度结晶团块和局灶占位，提示同部位合并中症级别破坏性病灶,本次检查未能直接证实广泛源石板块硬化，却显示额叶关键区已被重度结晶团块替代，出现明显中线偏移和脑室受压，提示同部位存在重症级别危及生命的病变,全麻开颅减压 + 大块源石板块切除 + 源石负荷清理 + 术前高剂量感染抑制剂 23 号与神经保护剂联合准备,1
1002001,10,1002,0,轻度小脑源石性微结晶沉积,0.35,0.03,站立姿势基本稳，闭眼时仅有轻微摇晃,最近走直线时偶尔会有一瞬间踩空的感觉，尤其闭眼或者转身太快时更容易出现，像脚下踩着稍微晃动的地板，但还能控制住不摔倒,觉得人总是在轻轻晃，像站在停靠的船上，脚底发虚但说不上来是哪只脚不稳，只觉得整个人有点飘,步态分析 + 小脑定量 MRI,步态分析提示轻度躯干摇摆，小脑半球皮层下见点状源石微结晶信号，平衡相关通路略有延迟,步态、指鼻、跟膝胫检查均在正常范围内，小脑结构与信号未见异常，源石负荷处于感染者稳态区间,本次检查未能直接证实小脑源石性微结晶沉积，但齿状核附近有轻度信号改变，提示该部位存在其他轻症级别协调障碍,本次检查未能直接证实小脑源石性微结晶沉积，却在小脑半球发现中度信号异常斑片，提示同部位合并中症级别的结晶或水肿性病变,本次检查未能直接证实小脑源石性微结晶沉积，却显示小脑通路存在重度信号中断，提示同部位已合并重症级别的传导受阻病灶,门诊平衡训练 + 低剂量源石代谢调节剂 21 号 + 生活方式干预,0
1002002,10,1002,0,轻度小脑源石性眼震倾向,0.35,0.03,肉眼观察几乎正常，偶在快速变换视线时出现轻微眼震,最近转头或者快速看向一侧时，会短暂觉得天花板轻轻晃一下，闭眼站立时偶尔会有轻微摇晃，但睁眼盯着一个点还能控制,总说自己“一转头天就跟着飘一下”，却又说不上是眼前在转还是身体在转，只觉得看东西有一瞬间虚掉,眼震检查 + 头位试验,头位变换后可诱发轻微水平眼震，小脑前庭通路区见轻度源石沉积信号，提示前庭整合轻度受损,头位试验与眼震检查均未诱发异常，小脑及前庭通路影像未见结晶或水肿,本次检查未能直接证实源石性眼震倾向，但小脑前庭区仍见轻度信号改变，提示同部位存在其他轻症级别平衡功能异常,本次检查未能直接证实源石性眼震倾向，却在小脑前庭联系区发现中度异常强化，说明同部位合并中症级别前庭病灶,本次检查未能直接证实源石性眼震倾向，却提示小脑前庭通路存在重度传导中断与异常眼震，说明同部位已合并重症级别平衡危象,门诊前庭康复训练 + 源石神经调节剂 21 号微量 + 避免快速体位改变,0
1002003,10,1002,0,轻度小脑源石性协调迟缓,0.3,0.025,坐位和站立外观正常，精细动作仅在用力时略显笨拙,最近做一些需要精细动作的事情时，比如扣纽扣或者拆小包装，会觉得手指反应有点慢，偶尔会偏一点点，但调整一下就好,形容自己“手有点木”，一会儿说是手指不听使唤，一会儿又说是整个人慢半拍，却说不清到底是哪一步慢,指鼻试验 + 上肢协调功能测试,指鼻试验末端轻度偏差，用力过度略明显，小脑半球见零星源石微结晶，相关通路传导速度轻度下降,协调试验结果在正常波动范围内，小脑结构完整，未见结晶相关异常,本次检查未能直接证实协调迟缓，但小脑皮层有轻度代谢减低区，提示同部位存在其他轻症级别功能不足,本次检查未能直接证实协调迟缓，却显示小脑同侧肢体控制区有中度信号异常，提示同部位合并中症级别的共济失调病灶,本次检查未能直接证实协调迟缓，却发现小脑控制区存在重度信号中断和体积减小，提示同部位已合并重症级别协调障碍,门诊作业治疗训练 + 源石代谢调节剂 21 号 + 适度运动康复,0
1002011,10,1002,1,中度小脑源石性结晶灶,0.6,0.065,步态明显飘忽，走路需扶墙或扶栏杆，表情紧张,这段时间走路基本都要扶着东西，脚下像踩在厚厚的棉花上，只要走快一点就会头晕想吐，转身时整个人会往一侧歪,形容自己像一直处在晃动的运输车里，脚下哪只脚要倒都说不清，只觉得身体随时要被甩出去,MRI + 源石密度定量 + 眼震检查,小脑齿状核附近可见片状源石结晶灶，周围信号中度异常，眼震试验可诱发中度病理性眼震，提示小脑平衡通路已明显受损,小脑结构与信号未见典型结晶灶，源石密度定量仅有轻度弥散性增加，眼震检查阴性或可疑,本次检查未能直接证实小脑源石性结晶灶，但齿状核周围仍有轻度信号异常，说明同部位存在其他轻症级别源石病变,本次检查未能直接证实小脑源石性结晶灶，却发现顶核通路存在中度信号改变与传导延迟，提示同部位合并中症级别的平衡病灶,本次检查未能直接证实小脑源石性结晶灶，却显示小脑广泛信号中断和明显萎缩，提示同部位已合并重症级别平衡功能危象,住院平衡康复 + 源石代谢抑制剂 22 号静滴 + 止吐镇眩对症药物,0
1002012,10,1002,1,中度小脑源石性前庭通路紊乱,0.4,0.06,站立需分腿支撑，变换体位时面色苍白捂头,近一两周只要从床上坐起或者低头再抬头，整个人就会突然一阵天旋地转，需要抓住旁边的东西才能稳住，还会伴随恶心和冷汗,总说“只要一动就要歪掉”，却又说不清是头晕还是眼花，只觉得身体和视线都在往一边拽,前庭诱发电位 + 小脑功能成像,前庭诱发电位波幅中度降低，潜伏期延长，小脑前庭整合区可见中度源石结晶带，功能成像提示平衡网络连接紊乱,前庭诱发电位参数在正常范围，小脑功能成像未见特异性异常，源石负荷提示未出现弥散性改变,本次检查未能直接证实前庭通路紊乱，但小脑前庭区仍有轻度代谢异常，提示同部位存在其他轻症级别平衡障碍,本次检查未能直接证实前庭通路紊乱，却发现小脑与脑干连接区有中度信号异常，说明同部位合并中症级别的源石性病灶,本次检查未能直接证实前庭通路紊乱，却显示小脑与前庭核团通路有重度信号中断，提示同部位已合并重症级别平衡危象,住院短期监护 + 源石神经调节剂 22 号 + 前庭镇静药 + 个体化康复计划,0
1002101,10,1002,2,小脑广泛源石板块沉积,1.0,0.11,无法独立站立，抱头蜷缩在床侧，稍动即剧烈眩晕呕吐,现在几乎完全没法站起来，一坐起就往两边倒，伴随持续性剧烈眩晕和频繁呕吐，睁眼时房间像在翻滚，只能蜷缩着抓紧床栏稍微好受一点,一再喊“整个人要被甩出去了”，睁眼就说天在翻、地在转，只能紧紧抱住自己和床，根本说不清哪儿晕哪儿痛,术前 3D 小脑 MRI + 源石晶体分层成像 + 术中监测,小脑顶核及齿状核周围可见大片融合源石板块，信号中断明显，术中监测证实平衡通路严重受阻，小脑容积受压变形显著,小脑结构基本完整，未见大片板状结晶灶，结果阴性，与当前的临床表现明显不符,本次检查未能直接证实广泛源石板块沉积，但小脑顶核仍有轻度信号异常，提示该部位存在其他轻症级别源石性损伤,本次检查未能直接证实广泛源石板块沉积，却在小脑半球发现中度结晶团块和局灶占位效应，提示同部位合并中症级别压迫性病灶,本次检查未能直接证实广泛源石板块沉积，却显示小脑与脑干连接区存在重度信号中断及占位，提示同部位已合并重症级别危及生命的平衡通路病变,后颅窝减压手术 + 大块源石板块清理 + 脑脊液通路重建 + 术前高剂量感染抑制剂 23 号与脱水剂联合准备,1
1003001,10,1003,0,轻度脑干源石性传导延迟,0.35,0.03,外观无可见异常，生命体征在正常范围内,最近总觉得心跳和呼吸节奏有点奇怪，有时候会突然觉得吸气不够深，或者心口一紧一松，但测量血压脉搏又基本正常,形容自己“像是身体里的节拍器偶尔会乱一下”，一会儿觉得是心脏不对劲，一会儿又怀疑是呼吸卡住,脑干诱发电位 + 源石元素定量,脑干躯体感觉与听觉诱发电位潜伏期轻度延长，波形稍钝，局部可见点状源石沉积信号，提示轻度传导延迟,诱发电位波形、潜伏期及波幅均在正常范围内，未见脑干区域异常源石信号,本次检查未能直接证实传导延迟，但脑干背侧有轻度代谢异常区，提示该部位存在其他轻症级别功能改变,本次检查未能直接证实传导延迟，却在脑干腹侧发现中度信号异常束带，提示同部位合并中症级别源石性病灶,本次检查未能直接证实传导延迟，却显示脑干多束传导通路有重度信号中断，提示同部位已合并重症级别传导危象,门诊随访 + 源石代谢调节剂 21 号 + 规律呼吸训练与心率监测,0
1003002,10,1003,0,轻度脑干源石性自主神经波动,0.35,0.03,外观略显疲惫，无局灶神经体征，偶见面色略苍白,这段时间时不时会突然心慌、出汗，或者觉得喉咙发紧、吸气不够顺，但坐下休息一会儿就会减轻，检查却常常显示数值还可以,总说“身体自己在乱按开关”，一会儿觉得是要晕倒，一会儿又觉得像是发烧前那种忽冷忽热，却说不出具体是哪一块难受,心率变异性分析 + 脑干功能 MRI,心率变异性提示轻度自主神经调节紊乱，脑干迷走神经核团附近可见细小源石沉积影，周边信号略有改变,心率变异性和血压波动在感染者常规范围内，脑干功能 MRI 未见异常强化或结晶灶,本次检查未能直接证实自主神经波动，但迷走神经核团周围有轻度代谢异常，提示同部位存在其他轻症级别功能紊乱,本次检查未能直接证实自主神经波动，却发现在延髓区域有中度信号异常，提示同部位合并中症级别源石性病灶,本次检查未能直接证实自主神经波动，却显示脑干多处自主神经核团有重度信号中断，提示同部位已合并重症级别生命体征不稳定病变,门诊心率与血压监测 + 源石神经调节剂 21 号 + 生活节律调整,0
1003003,10,1003,0,轻度脑干源石性呼吸驱动钝化,0.3,0.025,静息状态呼吸外观基本平稳，偶见轻浅叹息样呼吸,最近在静坐或睡前会突然觉得忘了呼吸一样，需要刻意深吸一口气才安心，有时候会连续几次叹气，感觉胸口有点发闷,形容自己“老是会突然卡一下气”，一会儿说像被轻轻掐住喉咙，一会儿又说只是懒得呼吸,夜间呼吸监测 + 脑干功能影像,夜间监测提示轻度短暂停呼和呼吸节律不齐，延髓呼吸中枢周围见点状源石沉积信号，功能激活稍减弱,夜间呼吸模式正常，无异常停顿，脑干影像未见呼吸中枢相关结晶或信号改变,本次检查未能直接证实呼吸驱动钝化，但延髓前区有轻度代谢异常，提示同部位存在其他轻症级别功能改变,本次检查未能直接证实呼吸驱动钝化，却在脑干腹外侧发现中度信号异常带，提示同部位合并中症级别源石性病灶,本次检查未能直接证实呼吸驱动钝化，却显示呼吸中枢周围有重度信号中断，提示同部位已合并重症级别呼吸中枢受损,门诊随访 + 源石代谢调节剂 21 号 + 睡眠体位与呼吸训练指导,0
