cid,name,volume_table,normal_flow_table,full_flow_table,extra_flow_table
配表id,部位名字,容积表,正常流通表,满溢流通表,额外流通表
int,str,str,str,str,str
0,0,0,0,0,1
身体部位表,,,,,
0,头发,5-50-400,B1-1+B13-1+B13-1+C0-2+C2-2,B1-80+E0-20,无
1,脸部,5-50,B0-1+B3-2+C1-1+C4-1,B1-80+E0-20,无
2,口腔,10-50-150,B4-90,B1-5+B3-35+E0-60,B15-90
3,胸部,5-50-200,C17-1+C5-3+C6-2,C6-100,无
4,腋部,5-50,无,无,无
5,手部,5-50,无,无,无
6,小穴,5-50-100-200,无,无,无
7,子宫,5-50-150-500-1000-2000-3000,无,无,无
8,后穴,5-100-200-500-1000-2000-3000-6000,无,无,无
9,尿道,5-50-100-200-400-600,无,无,无
10,腿部,5-50-100,无,无,无
11,脚部,5-50,无,无,无
12,尾巴,10-100-500-1000,无,无,无
13,兽角,5-50,无,无,无
14,兽耳,5-50-200,无,无,无
15,胃部,5-100-500-1000-1500-2000-3000,无,无,无
16,胯部,5-50,无,无,无
17,腹部,5-50-100,无,无,无
18,背部,5-100-400,无,无,无
