cid,type,name,info,option
选项id,选项类型,选项名,选项介绍,各个选项
int,str,str,str,str
0,0,1,1,1
系统设置,,,
1,base,是否在博士入睡结算时自动升级自己的能力,会依次遍历全能力，符合升级条件则进行升级。对自己的升级路线有特定规划的话，建议自己手动升级,否|是
2,base,是否在H结束、博士入睡结算时自动升级干员的能力,会依次遍历全能力，符合升级条件则进行升级。因干员数量较多，建议开启,否|是
3,base,每次射精时手动选择射在哪里,手动选择时会弹出选择框，可自由选择所有可选的部位，比如乳交时可以射在脸上或者衣服上。自动射精时则阴茎在哪里就会射在哪里,否，自动射在当前阴茎所在的位置|是
6,base,是否开关精液流通功能,流通功能会使精液中的一定比例向附近的联通部位流动，如头发上的精液会向帽子和面部流动，小穴的精液会向子宫和内裤流动,否，精液只会停留在射上去的部位|是，射上去的精液会有部分流向联通部位
7,base,禁止某些干员在游戏中出现,如果对某些干员不感兴趣，可以选择禁止她们在游戏中出现，未招募的会无法招募，已招募的会离岛并无法招募,不禁止|禁止
8,base,自动精液灌肠,开启后，如果持有灌肠套装道具，在干员的后穴里射精之后，将会自动地塞入肛塞，以进行精液灌肠，在拔出肛塞时会将灌肠用的精液喷出,否|是
9,base,是否开启紧急避险功能,在主界面时，直接输入999并回车确认，会启动紧急避险功能，此时会快速将当前数据保存至自动存档栏，并直接关闭游戏,否|是
10,base,食物是否会变质,开启后，持有的食物会在24点的过夜结算中降低品质，品质跌至0的食物会自动丢弃，默认开启,否|是
11,base,射精时手动选择是否忍耐,开启后，在射精时会弹出选择框，询问是否忍耐射精，默认开启,否，不忍耐直接射出|否，一定忍耐|是，手动选择是否忍耐
101,difficulty,干员的攻略难易度,对获得好感与信赖进行修正，仅影响正常加算时的最终乘积比例，不影响扣除结算、固定值结算等特殊结算,极难|难|较难|标准|较易|容易|极易
102,difficulty,干员的部位敏感度,对获得部位快感进行修正，仅影响正常加算时的最终乘积比例，不影响扣除结算、固定值结算等特殊结算,极顿感|顿感|较顿感|标准|较敏感|敏感|极敏感
103,difficulty,干员的心智强韧度,同时影响正面状态与负面状态\n设为积极时对正面状态（如习得、恭顺、好意等）向上修正，对负面状态（如苦痛、恐怖、反感等）向下修正\n设为消极时同理，不影响扣除结算、固定值结算等特殊结算,非常消极|消极|较消极|标准|较积极|积极|非常积极
111,difficulty,全角色尿意值的增长速度,尿意值会随着时间流逝自然增加，当涨到上限的80%以上时会开始有尿意，越高则会越想去解手，解手后尿意值清零,不自然增加|慢，8h回满|中，4h回满|快，2h回满
112,difficulty,博士的尿意值自然增长,博士是否和其他干员一样需要上厕所解手（该选项的优先度高于11号的全角色尿意值的增长速度选项）,否，博士的尿意值不再自然增加|是
201,draw,主界面每次刷新时的空行数量,主界面即主场景界面，每次使用指令后刷新。喜欢连在一起的可以调小，喜欢明确分隔的可以调大,1行|2行|3行|5行|10行|50行
202,draw,全角色是否使用通用文本,指令文本分为通用文本和角色专属文本，通用文本可以被所有角色使用，角色专属文本只能被指定角色使用。\n注意，改变该项将会覆盖全角色的该个人选项，如需个别调整请手动调整对应角色,仅使用角色专属文本|使用通用文本+角色专属文本
203,draw,主界面中干员好感与信赖的显示,是否在主界面的角色信息中显示好感与信赖的情况，以及要显示多详细,不显示|仅显示好感与信赖等级|显示好感与信赖的等级与具体数值
204,draw,主界面中干员催眠情况的显示,是否在主界面的角色信息中显示催眠的情况，以及要显示多详细,不显示|仅显示催眠类型|显示催眠类型和进度百分比
205,draw,是否在处理公务时显示待处理事项,开启后会在处理公务时检测各部门的运作情况，对有问题需要博士处理的情况进行提示，默认为是,否|是
206,draw,是否显示博士的指令结算数据,即指令结算中博士部分的数据，默认为是,否|是
207,draw,是否显示干员的指令结算数据,即指令结算中干员部分的数据，默认为是,否|是
208,draw,是否显示干员的移动文本,即干员在移动时的目的地显示文本，默认为是,否|是
209,draw,是否显示干员的每日招呼文本,即干员在每日招呼时的文本，默认为全显示，可改为仅显示口上招呼，或均不显示,均不显示|全显示|仅显示口上招呼
210,draw,是否显示完整的污浊信息,即污浊的详细信息，包括服装污浊、身体污浊、灌肠污浊等，默认为是,否|是
211,draw,主界面中每行指令的绘制数量,即主界面每行显示的指令数量，默认为6个，最少为1个，最大为10个,1|2|3|4|5|6|7|8|9|10
212,draw,字体大小,即主界面中显示的字体大小，默认为21,1
213,draw,在角色口上中出现纸娃娃地文的百分比,纸娃娃地文是使用纸娃娃功能来拼接文本，从而实现丰富的通用文本的系统。\n在没有角色口上，且当前行为有纸娃娃地文时，将直接使用纸娃娃地文系统来挑选文本并显示。\n在当前行为有角色口上时，将按照此处设置的百分比来决定是否使用纸娃娃地文来显示文本，默认为30%,0%|10%|20%|30%|40%|50%|60%|70%|80%|90%|100%
214,draw,角色专属文本（即口上）相较于通用文本的权重倍数,当角色有专属文本时，系统会按照此处设置的权重倍数来提升其相对于通用文本的出现概率，默认为10倍,10
215,draw,特殊H相较于普通H的文本权重倍数,当进行特殊H（如逆推、露出、隐奸、群交、乱伦、监禁、特殊地点等）时，系统会按照此处设置的权重倍数来提升其相对于普通H的文本出现概率，默认为5倍,5
216,draw,是否显示博士的饥饿值、尿意值,当博士的饥饿值和尿意值积累到对应程度时，在主界面中显示<饿>、<尿>，默认为是,否|是
