system_id,system_name,part_id,part_name,part_type,gender_limit,organ_priority,notes
生理系统ID,系统名称,部位ID,部位名称,部位类型(0体表/1体内),性别限制(0女/1男/2通用),并发症抽取优先级,补充说明
int,str,int,str,int,int,int,str
0,示例系统,0,示例部位,0,0,0,示例说明
医疗生理系统部位定义
10,神经系统,1001,大脑皮层,1,2,70,决策与感知核心，常与高级认知症状关联
10,神经系统,1002,小脑,1,2,70,协调运动和平衡，易受失调类并发症影响
10,神经系统,1003,脑干,1,2,70,维持生命体征，重症并发症必定触发警报
10,神经系统,1004,脊髓,1,2,70,负责感觉/运动传导，可与肢体麻木类事件联动
10,神经系统,1005,周围神经束,1,2,70,描述四肢末梢神经病变
10,神经系统,1006,视神经交叉,1,2,70,牵涉视觉类并发症，和感觉面板互通
20,呼吸系统,2001,鼻腔,0,2,50,接入嗅觉/呼吸入口，可触发可见炎症
20,呼吸系统,2002,咽喉,1,2,70,兼具消化入口，易伴随疼痛自述
20,呼吸系统,2003,气管,1,2,70,关乎呼吸道通畅度
20,呼吸系统,2004,主支气管,1,2,70,支持双肺差异化模拟
20,呼吸系统,2005,肺上叶,1,2,70,与肺纹理改变类检查结果绑定
20,呼吸系统,2006,肺下叶,1,2,70,重症时需高剂量特效药
30,循环系统,3001,左心房,1,2,70,关联心律并发症
30,循环系统,3002,左心室,1,2,70,负责主泵血功能，重症需手术干预
30,循环系统,3003,主动脉弓,1,2,70,高危狭窄、动脉瘤触发点
30,循环系统,3004,冠状动脉,1,2,70,与资源 22~24 的消耗直接挂钩
30,循环系统,3005,下肢深静脉,1,2,70,兼顾血栓与肿胀类事件
40,消化系统,4001,口腔黏膜,0,2,50,便于体表可视化检查
40,消化系统,4002,食管,1,2,70,描述吞咽困难、灼烧感
40,消化系统,4003,胃体,1,2,70,对应酸分泌与溃疡事件
40,消化系统,4004,十二指肠,1,2,70,吸收功能关键节点
40,消化系统,4005,肝脏,1,2,70,影响解毒/代谢数值
40,消化系统,4006,胰腺,1,2,70,与内分泌并发症互动
50,肌肉骨骼系统,5001,颈椎（C4-C6）,1,2,70,影响上肢神经根
50,肌肉骨骼系统,5002,腰椎（L3-L5）,1,2,70,常见慢性劳损切入点
50,肌肉骨骼系统,5003,膝关节,0,2,50,方便观察肿胀与活动度
50,肌肉骨骼系统,5004,肩袖肌群,0,2,50,与运动员事件衔接
50,肌肉骨骼系统,5005,股四头肌,0,2,50,体现肌力下降、酸痛
50,肌肉骨骼系统,5006,腓肠肌,0,2,50,关联步行能力评分
60,泌尿与生殖系统,6001,肾皮质,1,2,70,主要评估过滤功能
60,泌尿与生殖系统,6002,肾盂,1,2,70,涉及感染/结晶堵塞
60,泌尿与生殖系统,6003,输尿管,1,2,70,关联绞痛事件
60,泌尿与生殖系统,6004,膀胱,1,2,70,影响排尿次数统计
60,泌尿与生殖系统,6005,尿道远端,0,2,50,体表可视化异常
60,泌尿与生殖系统,6006,卵巢,1,0,70,女性限定，影响激素事件
60,泌尿与生殖系统,6007,子宫,1,0,70,女性限定，涉及妊娠相关剧情
70,内分泌与免疫系统,7001,甲状腺,0,2,50,可触诊体表肿大
70,内分泌与免疫系统,7002,甲状旁腺,1,2,70,影响电解质平衡
70,内分泌与免疫系统,7003,肾上腺,1,2,70,应激与代谢的关键器官
70,内分泌与免疫系统,7004,脾脏,1,2,70,与免疫事件互通
70,内分泌与免疫系统,7005,外周淋巴结,0,2,50,可通过触诊得知感染状况
70,内分泌与免疫系统,7006,胸腺,1,2,70,影响青少年免疫剧情
80,皮肤与感觉系统,8001,头皮,0,2,50,便于描述皮损/触感异常
80,皮肤与感觉系统,8002,面部皮肤,0,2,50,与外观表征直接绑定
80,皮肤与感觉系统,8003,上肢皮肤,0,2,50,用于皮疹扩散表现
80,皮肤与感觉系统,8004,手指远节,0,2,50,检查末梢循环与颜色
80,皮肤与感觉系统,8005,角膜,1,2,70,通过裂隙灯检查显示改变
80,皮肤与感觉系统,8006,内耳前庭,1,2,70,影响眩晕/平衡剧情
