cid,name,type,face_dir,furniture_req,skill_req,stamina_cost,pleasure_coefficient,vaginal_sex_behavior_id,cervix_sex_behavior_id,womb_sex_behavior_id,anal_sex_behavior_id,urethral_sex_behavior_id,info
性交姿势id,性交姿势名,性交姿势类型,面的朝向,家具需求(0无1桌椅3床),技巧需求,体力消耗（123小中大）,快感系数加成,阴道性交行为名,子宫口性交行为名,子宫性交行为名,肛门性交行为名,尿道性交行为名,性交姿势介绍
int,str,str,int,int,int,int,float,str,str,str,str,str,str
0,1,1,0,0,0,0,0,0,0,0,0,0,1
性交姿势列表,,,,,,,,,,,,,
-1,无,0,0,1,0,0,0.0,,,,,,未在性交中。
1,正常位,基础,0,1,0,2,0.0,normal_sex,normal_cervix_sex,normal_womb_sex,normal_anal_sex,normal_urethral_sex,女方仰卧在床上或平面上，双腿分开或抬起，男方压在女方身上插入，可采取跪姿、蹲姿、俯卧、撑姿或站立的姿势。
2,背后位,基础,1,1,0,2,0.1,back_sex,back_cervix_sex,back_womb_sex,back_anal_sex,back_urethral_sex,女方采取四肢着地或趴卧姿势，臀部抬高，男方在女方身后，双手扶住女方肩部、腰胯或臀腿，从后方进入。
3,对面骑乘位,骑乘,0,3,0,2,0.1,riding_sex,riding_cervix_sex,riding_womb_sex,riding_anal_sex,riding_urethral_sex,女方跨坐在仰卧的男方身上，面对男方，双膝及床，放在男方身体两侧。
4,背面骑乘位,骑乘,1,3,0,2,0.2,back_riding_sex,back_riding_cervix_sex,back_riding_womb_sex,back_anal_sex,back_urethral_sex,女方跨坐在仰卧的男方身上，但背对男方，可采取跪姿或蹲姿。
5,对面座位,座位,0,1,0,1,-0.1,face_seat_sex,face_seat_cervix_sex,face_seat_womb_sex,face_seat_anal_sex,face_seat_urethral_sex,男方坐姿，女方面对男方坐在其腿上，双腿环绕男方腰部，双臂可环抱男方颈部。
6,背面座位,座位,1,1,0,1,0.0,back_seat_sex,back_seat_cervix_sex,back_seat_womb_sex,back_seat_anal_sex,back_seat_urethral_sex,男方坐姿，女方背对男方坐在其腿上，双腿可能放置在男方腿上方或分开在腿外侧，男方从后方环抱女方。
7,对面立位,立位,0,0,3,3,0.3,face_stand_sex,face_stand_cervix_sex,face_stand_womb_sex,face_stand_anal_sex,face_stand_urethral_sex,双方均站立，女方背靠墙壁等坚固物体支撑，抬起一条腿环绕男方腰部，或被男方架起一条腿提供支撑。
8,背面立位,立位,1,0,3,3,0.4,back_stand_sex,back_stand_cervix_sex,back_stand_womb_sex,back_stand_anal_sex,back_stand_urethral_sex,双方均站立，女方背对男方，双手撑在墙壁等坚固物体上保持平衡，或者被男方拉住双臂向后。
9,对面抱位,抱位,0,0,5,3,0.5,face_hug_sex,face_hug_cervix_sex,face_hug_womb_sex,face_hug_anal_sex,face_hug_urethral_sex,男方站立，女方面对男方被抱起，双腿环绕男方腰部，双臂环绕男方颈部以维持平衡，男方双手托住女方臀部或大腿，支撑其体重。
10,背面抱位,抱位,1,0,5,3,0.6,back_hug_sex,back_hug_cervix_sex,back_hug_womb_sex,back_hug_anal_sex,back_hug_urethral_sex,男方站立，将女方从背后抱起，双手牢固地抓住女方腰部、腹部或腿弯。女方双脚离地，双手前伸寻找支撑点或完全依靠男方力量支撑。
11,对面卧位,卧位,0,3,0,1,-0.3,face_lay_sex,face_lay_cervix_sex,face_lay_womb_sex,face_lay_anal_sex,face_lay_urethral_sex,双方侧卧，女方面对男方，抬起上方的腿以便于插入，这条腿可能搭在男方腰上或由男方手臂支撑。
12,背面卧位,卧位,1,3,0,1,-0.2,back_lay_sex,back_lay_cervix_sex,back_lay_womb_sex,back_lay_anal_sex,back_lay_urethral_sex,双方侧卧，女方背对男方，身体可能略微蜷缩。男方从后方环抱女方，一只手臂可能垫在女方颈下。
