cid,en_name,name,introduce
状态id,英文名称,描述,状态介绍
int,str,str,str
0,0,1,0
状态描述配置,,,

0,share_blankly,无行动,在AI决定具体行动前的准备态。
1,move,移动,包括①从玩家当前地点离开，②抵达玩家当前地点。
2,wait,等待,包括①单纯的等待状态（如等待5分钟），②AI行动链的开端或结束（如进入要吃饭行动链，或结束H状态），③跳过AI行动判断，需要等待到可以行动为止（如跟随中等待，非逆推的H中等待）。
3,change_cloth,换衣服,角色正在更换身上的服装。
5,chara_diy_instruct,角色特殊指令,口上作者自指的角色的专属指令。
6,ai_chat_instruct,AI对话用特殊指令,专门用于AI对话的特殊指令。
99,empty_instruct,空白示范指令,在教程里使用的示范用空白指令，没有实际功能效果。
101,chat,聊天,与目标角色进行交谈，连续聊天次数与话术技能相关。
102,chat_failed,谈话次数过多而失败,因为短时间内交谈次数过多，导致对方不想再聊天了。
103,stroke,身体接触,轻柔地触碰对方身体，轻度的身体接触。
104,massage,按摩,玩家正常使用，NPC为按摩师职业在大浴场的休息室内对其他NPC使用。
110,rest,休息,角色进入短暂的休息状态，少量恢复一定的体力和气力，在休息室或宿舍中有更好的效果。
111,sleep,睡觉,角色进入睡眠状态，快速恢复各种数值，需要在宿舍或者酒店中。玩家的睡觉会进行各种结算。
112,take_shower,淋浴,淋浴，需要在博士房间或大浴场的浴室中。
113,get_up,起床,角色从睡眠状态中醒来，准备开始新的一天。
115,follow,让NPC跟随玩家,邀请对方一起行动，对方会跟随玩家到各个地点。
116,end_follow,让NPC停止跟随玩家,结束与对方的同行状态，对方会恢复独立行动。
117,apologize,道歉,成功向对方表达歉意，减轻愤怒值，一定几率去掉生气状态。
118,apologize_failed,道歉失败,道歉没有被对方接受，关系可能会进一步恶化。
119,listen_complaint,听牢骚,减轻愤怒值。
131,make_coffee,泡咖啡,为他人准备一杯提神的咖啡。需要在至少为办公家具级别的地点。
133,ask_make_coffee,让对方泡咖啡,请求对方为你准备一杯咖啡。需要在至少为办公家具级别的地点。
134,make_food,做饭,玩家使用做饭面板执行，职业为厨师的NPC会主动使用。需要在厨房中。
