cid,name,item_id,type,behavior_id
身体道具id,道具名,道具实际id,道具类型（0药剂，1仅H装备，2猥亵兼H装备）,行为结算id
int,str,int,int,str
0,1,0,0,0
H用装备型道具,,,,
0,乳头夹,122,2,nipple_clamp
1,阴蒂夹,123,2,clit_clamp
2,V震动棒,125,2,second_vibrator_insertion
3,A震动棒,125,2,second_vibrator_insertion_anal
4,搾乳机,133,1,milking_machine
5,采尿器,134,1,urine_collector
6,眼罩,132,1,patch
7,肛门拉珠,129,1,second_anal_beads
8,持续性利尿剂,106,0,diuretics
9,安眠药,107,0,second_sleeping_pills
10,排卵促进药,108,0,ovulation_promotion_drugs
11,事前避孕药,101,0,second_birth_control_pills_before
12,事后避孕药,102,0,birth_control_pills_after
13,避孕套,120,0,condom
14,口球,140,0,gag
