cid,behavior_id,effect_id
表id,行为id,结算器id
int,str,str
0,0,0
行为结算器配置,,
0,share_blankly,9999
1,move,751
2,wait,9999
3,change_cloth,9999
5,chara_diy_instruct,9999
6,ai_chat_instruct,9999
98,test_instruct,9999
99,empty_instruct,9999
101,chat,21 - 12 - CVE_A2_E|80_G_1 - CVE_A1_E|80_G_1 - 53 - 55 - 501
102,chat_failed,12
103,stroke,21 - 13 - 14 - 54 - 55 - 58 - 62
104,massage,21 - 1515 - 1516 - 54 - 55 - 58 - 81
110,rest,21 - 325 - 1751
111,sleep,31 - 36 - 301 - 321 - 489 - 457 - 509 - 606 - 634 - 648 - 932 - 1504 - 1505 - 1751
112,take_shower,12 - 304 - 525 - 702 - 1751
113,get_up,366 - 649 - 703 - 931
114,simple_shower,12 - 525 - 702 - 1751
115,follow,363 - 9999
116,end_follow,365 - 9999
117,apologize,1511 - 1512 - 62 - CVE_A1_E|80_G_1 - 341
118,apologize_failed,23 - 1511 - 1512 - 53 - CVE_A1_E|80_G_1
119,listen_complaint,21 - 1511 - 1512 - 53 - CVE_A2_E|80_G_1 - CVE_A1_E|80_G_1
120,give_gift,1511 - 1512 - 538
131,make_coffee,21 - 11 - 12 - 22 - 39 - 52 - 53 - CVE_A1_E|83_G_1 - 502
132,make_coffee_add,1511 - 1512 - CVE_A1_E|83_G_1
133,ask_make_coffee,21 - 11 - 12 - 22 - 38 - 52 - 53 - CVE_A2_E|83_G_1 - 503
134,make_food,13 - 14 - 71 - CVE_A2_E|83_G_1 - CVE_A1_E|83_G_1 - 1751
135,eat,516
136,refuse_eat,152 - 991
137,buy_food,9999
140,pee,32 - 331 - 1751

151,singing,1513 - 1514 - 53 - 81 - CVE_A1_E|85_G_1 - 504
152,play_instrument,1513 - 1514 - 53 - 81 - CVE_A1_E|85_G_1 - 505
153,watch_movie,1511 - 1512 - 21 - 22 - 53 - 81 - CVE_A1_E|82_G_1
154,photography,1513 - 1514 - 21 - 22 - 53 - 81
155,play_water,1513 - 1514 - 21 - 22 - 53 - 81
156,play_chess,1511 - 1512 - 21 - 22 - 53 - 81 - CVE_A1_E|82_G_1
157,play_mahjong,1511 - 1512 - 21 - 22 - 53 - 81 - CVE_A1_E|82_G_1
158,play_cards,1511 - 1512 - 21 - 22 - 53 - 81 - CVE_A1_E|82_G_1
159,rehearse_dance,1513 - 1514 - 21 - 22 - 53 - 81 - CVE_A1_E|80_G_1
160,play_arcade_game,1513 - 1514 - 21 - 22 - 53 - 81
