245,,204,sys_0&love_le_2&last_cmd_footjob&前一指令时主人公射精&t_submit_ge_3&high_5,“诶……”困扰着的{TargetName}用已经被精液弄脏的脚底轻轻地踩着还在发抖的肉棒，“射在了脚上了，这样就行了吗？结束的时候再踩一会？”\n“总感觉{PlayerNickName}刚刚好像露出了奇怪的表情……没有弄疼吧。”{TargetName}抬起脚放开了阴茎。\n“说真的去看看医生比较好吧，要是培养出了奇怪的性癖我可不负责。”
250,,204,sys_0&love_le_2&penis_in_t_mouse&本次h中进行过口内射精&high_2,“啊……嗯”在{Name}将插入的阴茎从{TargetName}的口中拔出来之后，浑浊的发白的混合体液从{TargetName}的嘴角流了下来。\n“哈……”任由液体流出的{TargetName}带着怨气看着{Name}，“嗯……水……”\n在用水漱口之后，{TargetName}露出了无奈的表情，“结束之前，还故意留下那么重的味道……变态”
254,,204,sys_0&love_le_2&本次h中进行过三次以上口内射精&high_2&饮精中毒==0,喉咙里面都是黏糊糊的感觉的{TargetName}咳嗽着，用手接住流出来的液体。\n“咳……咳嗯……”{TargetName}幽怨地看着{Name}的脸，“射进去那么多，好难受……”\n结束后拒绝了{Name}端过来的水的{TargetName}，好像很在意残留的精液气味一样紧紧地抿着嘴。
255,,204,sys_0&love_le_2&本次h中进行过三次以上手交射精&high_2,“诶……”吧唧吧唧地捏着满手的精液的{TargetName}发出了些许惊讶的声音。\n“男人总是能射这么多吗？黏黏糊糊的……还是说就{PlayerNickName}比较特殊一点？”\n“啊……谢谢纸巾。没什么，能射那么多出来，对我来说也省事了。短时间内应该不会再要了吧。”
256,,204,sys_0&love_le_2&本次h中进行过三次以上足交射精&high_2&t_submit_l_3,“就算是{PlayerNickName}很异常地喜欢脚，再怎么说这也太多了吧……”\n{TargetName}叹了口气，抬起被弄得全是黏黏糊糊的白液的脚在{Name}的面前晃了晃。\n“总感觉等会穿鞋子都会很不舒服。”
263,,204,sys_0&love_le_2&t_turn_n_orgasm_g_3&本次h中进行过口内射精&high_2,“哈……啊……”从{TargetName}的颤抖的嘴角混着精汁的体液无意识地流了下来。\n发觉了自己的丑态的{TargetName}红着脸用手下意识地接住，“不行……不许看……做爱已经结束了……”\n无法理解心中的这份强烈的悸动的{TargetName}捂住嘴转过头去，休息了好一会才慢慢平静下来。
265,,204,sys_0&love_le_2&t_turn_v_orgasm_g_3&本次h中进行过膣内射精&high_2,拥抱着的{TargetName}紧紧抓住{Name}的肩膀，在耳边疲劳的喘着。\n因为过多的快感变得酥麻柔软的腰肢依靠在{Name}的臂弯上，注入的精液随着呼吸从下体慢慢地漏出来。\n“坏人……哈……嗯”{TargetName}的手指用力地抓在{Name}的脊背上留下了一些红印，侧脸盯着{Name}，“陪我休息一会……可以吗。”
267,,204,sys_0&love_le_2&last_cmd_blowjob_type&前一指令时主人公射精&t_submit_ge_3&high_5,“嗯……唔……”在口中被射出精液的{TargetName}皱起眉头鼓起嘴，稍微轻轻吮吸着向后拉出阴茎将残留的液体一并从里面吸出来。\n“哈……”最后放开{Name}的阴茎将精液吐了出来。\n“哈啊……”拿着纸巾接住吐出的精液的{TargetName}无奈地看着{Name}。\n“吸出来这么多，哈……再怎么说短时间内应该不会再要了吧。”
269,,204,sys_0&love_le_2&last_cmd_handjob_type&前一指令时主人公射精&t_submit_ge_3&high_5,“真的想要结束了吗？”{TargetName}缓慢地撸动着刚刚射精过的肉棒，微红着脸用淡金色的眼睛俯视着{TargetName}。\n轻轻地叹了口气的{TargetName}继续着手指的工作，“再帮你多做一会好了，只是为确保{PlayerNickName}真的射干净了，短时间内不会再找这边而已。”\n“好了，看来已经弄干净了呢。辛苦了。”
272,,204,sys_0&t_virgin_0&love_le_2&hp_low&本次h中进行过膣内射精&high_2,结束了之后原本还因为被内射而想要抱怨几句的{TargetName}看着疲劳的{Name}，无奈地叹了口气转过身继续清理射入膣穴的精液。\n“不快点穿好衣服的话，生病了就不好了。”
