cid,food_id,stage,question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
问题cid,食物id,烹饪阶段,问题内容,正确答案,错误答案1,错误答案2,错误答案3
int,int,str,str,str,str,str,str
0,0,0,1,1,1,1,1
杜林十号烈酒烹饪问题库,,,,,,,
103001,103,备料,酿造蜜酿烈酒时较合适的基础原料是？,纯净无杂质的天然蜂蜜,已经结晶但仍可化开的蜂蜜,掺了少量糖浆的调和蜂蜜,路边采来未经处理的污泥
103002,103,备料,备料阶段为发酵准备的关键微生物是？,活性良好的酿酒酵母,用于发面的普通面包酵母,从空气中自然落入的野生菌,随手刮下的墙皮霉斑
103003,103,备料,稀释蜂蜜用于发酵的水应选用什么？,洁净无氯的软质饮用水,直接取用的生自来水,略带咸涩味的硬质矿泉水,池塘里浑浊发臭的生水
103004,103,备料,酿酒前对发酵器具的处理首先应当做什么？,彻底清洗并高温消毒,用清水快速冲洗一遍即可,拿干布擦去表面浮灰,直接使用沾满油污的旧木桶
103005,103,备料,选购蜂蜜时判断品质较合适的方法是？,观察色泽清亮且气味清香,只看价格越贵越认为越好,仅凭包装是否精美来挑选,闻到刺鼻酸臭仍坚持使用
103006,103,备料,若想酿出风味更厚重的烈酒备料时可加入什么？,少量烘烤过的麦芽谷物,一把未处理的生稻谷直接投入,几块发霉变质的陈年面包,一捧路边沙土充作配料
103007,103,备料,备料时为唤醒酵母活性通常如何处理？,用温水化开并静置活化,倒入滚烫开水快速冲泡,撒进冰水中用力搅散,丢进热油锅里煎一煎
103008,103,备料,调配发酵蜜水浓度时较稳妥的做法是？,按比例稀释至适宜糖度,凭感觉随手胡乱兑水,把蜂蜜原浆不加水直接发酵,兑成几乎全是清水的稀液
103009,103,备料,备料阶段对操作台面与双手的卫生要求是？,保持清洁以避免杂菌污染,大致擦一下台面便开工,戴着手套却不清洗器具,用刚翻过垃圾的脏手抓原料
103010,103,备料,准备发酵容器时较合适的选择是？,带密封盖的洁净发酵罐,敞口不加盖的大瓦盆,盖子破损漏气的旧木桶,锈穿了底的破铁罐
103011,103,备料,备料时蜂蜜结晶难以取用应如何处理？,隔温水缓缓融化后再使用,直接架在大火上猛煮化开,加入大量冷水强行搅散,用铁锤把结晶硬砸成碎块
103012,103,备料,完成备料后所有原料应保持什么状态？,分类洁净且比例称量妥当,全部混作一堆随意堆着,凭印象估量而不去称重,与杂物垃圾混放在同一处
103013,103,烹饪,蜜水发酵阶段较适宜的环境温度是？,保持温暖而恒定的适宜温度,越热越好紧挨着火炉摆放,越冷越好塞进冰窖里,任其忽冷忽热随天气变化
103014,103,烹饪,发酵过程中容器的密封要点是？,加装水封既排气又防杂菌,完全敞着口任其自然发酵,彻底密死不留半点排气缝隙,索性不盖盖子任意敞放
103015,103,烹饪,判断蜜酒发酵是否正常进行可观察什么？,水封处是否持续冒出气泡,仅凭液面颜色深浅来判断,凭容器外壁的冷热来推测,贴着罐子聆听里面的回响
103016,103,烹饪,发酵时温度过高容易导致什么后果？,酵母活性紊乱并产生杂味,发酵彻底停止毫无变化,酒液瞬间变得格外清澈,整个发酵罐凭空消失
103017,103,烹饪,蜜酒发酵接近完成的标志通常是？,气泡明显减少且糖分被消耗,气泡突然变得愈发剧烈,液面浮起一层厚厚白霜,酒液开始倒着向上流淌
103018,103,烹饪,蒸馏取酒时对热源的控制原则是？,缓慢均匀加热以避免暴沸,一开始便用猛火急速蒸馏,时大时小随意拨弄火力,把酒醪直接倒进明火里烧
103019,103,烹饪,蒸馏过程中最先流出的酒头应如何处理？,适量舍弃以去除刺激杂质,全部保留下来以免浪费,与最后的酒尾混在一起收集,当作精华成品直接大口饮用
103020,103,烹饪,蒸馏所取的酒心指的是哪一部分？,中段风味纯净的精华酒液,最先流出的辛辣酒头,最后流出的浑浊酒尾,残留在锅底的焦糊渣滓
103021,103,烹饪,蒸馏时精细控制蒸汽温度的意义在于？,分离不同沸点成分以提纯酒精,只是单纯为了让酒更甜些,仅仅为了加快蒸馏的速度,为把酒蒸得一滴不剩
103022,103,烹饪,发酵期间确需开盖查看时应注意什么？,尽量减少开盖以防杂菌侵入,频繁开盖反复搅拌透气,长时间敞着盖子晾在一旁,边搅边凑近罐口呵气说话
103023,103,烹饪,蒸馏设备在加热取酒时需保证什么？,冷凝管路通畅且冷却有效,冷凝部分随意搭着便算,不接冷凝直接去收集蒸汽,任凭蒸汽往房间里乱排
103024,103,烹饪,发酵蒸馏阶段卫生管理的核心是？,全程防止杂菌与霉菌污染,只在开始时留意一下卫生,等发酵中途才想起来消毒,任由蚊蝇落入也毫不在意
103025,103,调味,蒸馏得到的高度原酒通常如何调整度数？,加入洁净软水勾兑稀释,再次反复蒸馏使度数更高,兑入大量蜂蜜强行压低度数,直接掺生自来水随意冲淡
103026,103,调味,陈酿对蜜酿烈酒风味的主要作用是？,使口感更加醇厚柔和,让酒精含量大幅升高,使酒色迅速变得透明无色,把烈酒变成甜腻的糖浆
