cid,food_id,stage,question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
问题cid,食物id,烹饪阶段,问题内容,正确答案,错误答案1,错误答案2,错误答案3
int,int,str,str,str,str,str,str
0,0,0,1,1,1,1,1
“不过桥”烹饪问题库,,,,,,,
124001,124,备料,不过桥这类桥头酒馆自酿烈酒的主粮通常是？,当地收成的杂粮与高粱,远道运来的昂贵香料,温室里培育的名贵鲜花,桥下捞起的水草
124002,124,备料,备料时对粮食含水量的要求是？,干燥无霉且润粮后含水均匀,越潮湿越好以便节省用水,干到一碰即碎成粉末为佳,泡到发胀出芽再使用
124003,124,备料,不过桥所用的糖化发酵剂是？,作坊长期沿用的老曲,用来蒸馒头的老面团,桥墩上刮下的青苔,随空气自然落入的野菌
124004,124,备料,老曲相较新制曲的优势通常在于？,菌系稳定使出酒风味更为一致,能让酒的度数凭空翻倍,可以完全省去发酵步骤,能让粮食不蒸也能出酒
124005,124,备料,酿造不过桥所用之水较合适的是？,桥下上游取来的清冽活水,桥下淤积的浑浊死水,含盐极高的苦咸水,洗过器具的脏水
124006,124,备料,拌曲之前蒸熟的粮醅需要如何处理？,摊晾至适宜下曲的温度,趁滚烫时立刻拌入酒曲,浸入冰水中急速冷却,摊在地上过夜任其发馊
124007,124,备料,备料阶段处理酒醅工具的要求是？,清洗消毒并保持专用不混用,与洗菜的家什混着使用,擦掉浮灰便直接上手,沾着上批酸糟直接就用
124008,124,备料,不过桥追求高烈度在备料上的体现是？,选用出酒率高且耐蒸的粮食配比,备料时直接掺入纯酒精,减少粮食用量只用水发酵,备料时不放任何酒曲
124009,124,备料,准备发酵窖池时首要的是？,彻底清理旧糟并检查窖泥完好,直接沿用上批残糟不作清理,把窖底积水留着增加湿度,往窖中撒些垃圾以增风味
124010,124,备料,备料时判断酒曲是否可用的方法是？,查看曲块干爽无异味且断面均匀,只挑颜色最深的曲块,认为曲块越沉重品质越好,专选受潮发黏软塌的曲块
124011,124,备料,粮食粉碎程度的把握原则是？,粗细适中以利糖化又不致过于黏结,磨成极细的粉末最好,整粒不碎直接入窖,碎到只剩谷壳与粉尘
124012,124,备料,备料完成后所有原料应处于什么状态？,分类洁净且用量称量妥当,全部堆在一处随意混放,露天敞放任凭尘土落入,与杂物混装在同一容器中
124013,124,烹饪,不过桥比寻常烈酒更冲的关键工艺是？,取酒后再行复蒸以进一步提高纯度,发酵时间比别的酒短一半,蒸馏时特意把火烧得极大,酿好后再掺入清水
124014,124,烹饪,所谓复蒸指的是什么？,将初蒸所得酒液再次蒸馏提纯,把酒醅蒸完后再蒸一遍剩渣,连酒带糟一起反复煮沸,把酒倒回窖中重新发酵
124015,124,烹饪,复蒸时对酒头酒尾的处理应如何？,依旧分段截取并舍去刺激的头尾,复蒸后就无需再分段截取,把头尾全部保留混入成品,只取酒尾作为成品
124016,124,烹饪,入窖发酵时对密封的要求是？,以窖泥封严隔绝空气以利厌氧发酵,敞着窖口任其与空气接触,只盖一层薄布便算封窖,每天都要掀开翻动一次
124017,124,烹饪,判断窖内发酵进程可依据什么？,窖温变化与酒醅散发的香气,只看窖泥表面的干湿,凭窖口的大小来推测,敲打窖壁听声音判断
124018,124,烹饪,发酵温度失控最常见的后果是？,杂菌滋生产生酸败与刺鼻杂味,发酵会因此彻底停止,酒醅会立刻变得格外清香,整窖粮醅会凭空消失
124019,124,烹饪,上甑装醅的手法要点是？,轻撒匀铺使蒸汽均匀穿透醅层,用力压实堵死所有透气缝隙,随手大把倾倒堆成小山,一次只放一小撮慢慢蒸
124020,124,烹饪,蒸馏取酒时火力控制的原则是？,缓火匀汽以求酒质纯净不带焦糊,一上来就用猛火急速蒸取,时大时小随意拨弄火门,把酒醅直接倒进明火中烧
124021,124,烹饪,冷凝环节的关键要求是？,冷却充分且管路密闭不漏酒气,不接冷凝直接收集蒸汽,冷凝管随意搭着漏气也无妨,任凭蒸汽在屋里四处乱窜
124022,124,烹饪,复蒸虽能提纯但过度复蒸的弊端是？,风味物质随之流失使酒变得寡淡刺喉,复蒸再多也只有好处没有坏处,复蒸会让酒精全部消失,复蒸会把酒变成清水
124023,124,烹饪,蒸馏过程中所取的酒心指的是？,中段风味纯净的精华酒液,最先流出的辛辣酒头,最后流出的浑浊酒尾,残留在锅底的焦糊渣滓
124024,124,烹饪,蒸馏作坊的通风要求是？,保持通风以防高浓度酒气积聚,把门窗封死不让酒气跑掉,在作坊内点火照明取暖,让酒气在屋里越浓越好
124025,124,调味,不过桥这类高度酒调整度数的做法是？,以洁净软水少量多次勾兑至目标度数,反复复蒸使度数升到无法入口,兑入大量糖浆强行压低度数,直接掺生自来水随意冲淡
124026,124,调味,检测不过桥酒精度较专业的工具是？,专用的酒精比重计,普通的厨房温度计,量取体积的小量杯,凭舌头尝一口估个大概
124027,124,调味,复蒸得到的新酒陈放的意义是？,让刺激的新酒气随时间自然柔化,让酒精度数继续升高,使酒色迅速变成深黑,把烈酒变成甜腻糖浆
