cid,food_id,stage,question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
问题cid,食物id,烹饪阶段,问题内容,正确答案,错误答案1,错误答案2,错误答案3
int,int,str,str,str,str,str,str
0,0,0,1,1,1,1,1
烧烤味饼干烹饪问题库,,,,,,,
26001,26,备料,制作烧烤味饼干时面粉较合适的选择是？,筋度较低的低筋面粉,筋度很高的高筋面粉,用玉米淀粉完全替代面粉,已经结块发霉的陈面粉
26002,26,备料,和面用的黄油在备料时应处于什么状态？,室温下软化但未融化的黄油,刚从冷冻室取出的坚硬黄油,已经加热成液体的黄油,散发酸败异味的坏黄油
26003,26,备料,称量面粉与糖等原料时较合适的做法是？,用厨房秤按配方精确称量,凭经验目测大致抓取,用普通水杯随意估量,闭眼抓一把直接倒入
26004,26,备料,准备烧烤味调味粉时较合适的做法是？,提前备好混合均匀的烧烤味调味粉,临时用盐和糖随意混合代替,直接刷一层市售烧烤酱汁,把烧烤剩下的炭灰撒进去
26005,26,备料,和面用的鸡蛋在备料时较合适的是？,新鲜且回温到常温的鸡蛋,直接取用冰凉的冷藏鸡蛋,放置较久但尚未变质的鸡蛋,已经发臭变质的坏鸡蛋
26006,26,备料,备料时为保证卫生首先应当做什么？,洗净双手与所用器具,只用湿巾随手擦一下手,戴上手套却不清洗器具,用沾过生肉的手直接操作
26007,26,备料,制作饼干时糖的备料较合适的选择是？,易于融合的细砂糖,颗粒粗大的冰糖块,没有碾碎的方糖块,一整团没化开的麦芽糖
26008,26,备料,备料阶段应准备的基础工具是？,干净的擀面杖与烤盘,只准备一个碗就开始,借用刚切过生鱼未洗的案板,生锈破损的破旧工具
26009,26,备料,准备膨松剂时用量应如何把握？,按配方少量取用泡打粉,凭感觉多放一些泡打粉,担心不蓬松而双倍添加,用洗衣粉代替膨松剂
26010,26,备料,处理面粉时为避免结块可以怎么做？,将面粉提前过筛去除结块,直接倒入不作任何处理,用手随意捏散大块结块,把面粉泡进水里冲洗
26011,26,备料,完成备料后台面应保持什么状态？,整洁有序原料分类摆放,所有原料随意堆在一处,工具与原料混放在一起,台面洒满污水与垃圾
26012,26,烹饪,和面制作饼干面团时较合适的手法是？,轻柔搅拌至面团成形不过度揉搓,用力反复揉搓让面团出筋,只草草搅拌几下就停手,把面团使劲摔打到墙上
26013,26,烹饪,饼干面团和好后较合适的处理方式是？,包好放冰箱冷藏松弛一会,放在阳光下暴晒升温,直接送进高温烤箱加热,扔进冰水里长时间浸泡
26014,26,烹饪,把饼干面团擀片时应注意什么？,擀成厚薄均匀的薄片,擀得一边厚一边薄,尽量擀得越厚越好,擀成薄如纸张的透明片
26015,26,烹饪,放入饼干前对烤箱应做什么准备？,提前预热烤箱至设定温度,冷烤箱直接放入饼干,等饼干放进去再开始升温,不开烤箱靠室温自然烤熟
26016,26,烹饪,烘烤烧烤味饼干时火候应如何控制？,用中等温度慢慢烤至金黄,用最高温短时间猛烤,全程用极低温烤很久,用喷枪对着饼干直接烧
26017,26,烹饪,把饼干摆上烤盘时应注意什么？,彼此留出适当的间距,把饼干紧紧挨在一起,将饼干一层层叠放,把面片揉成一团去烤
26018,26,烹饪,判断饼干是否烤好可以怎么做？,观察表面金黄边缘微微上色,只按固定时间到点取出,用手戳饼干中心感受软硬,贴着耳朵听饼干的声响
26019,26,烹饪,想让一盘饼干受热均匀可以怎么做？,中途适当调转烤盘方向,全程一动不动烤到底,频繁开门反复翻动饼干,把烤盘倒扣过来烘烤
26020,26,烹饪,给饼干面片成型时较合适的做法是？,用干净的饼干模具压出形状,用沾满污渍的旧模具直接压,徒手撕成大小不一的碎块,用菜刀对着面片乱砍
26021,26,烹饪,烘烤时火候过大容易出现什么问题？,外表焦糊而内部尚未烤熟,饼干整体发白迟迟不上色,饼干过软难以定型,饼干凭空消失不见
26022,26,烹饪,想得到酥脆口感烘烤时较好的方式是？,烤至水分充分蒸发变得酥脆,缩短时间故意留住水分,盖上盖子焖烤防止变干,把饼干放进水里煮熟
26023,26,调味,想让烧烤味调味粉的味道均匀可以怎么做？,与面粉提前混合均匀再和面,只在表面一角随手撒一点,等烤好后整勺倒上去,把调味粉泡水做成汤浇上
26024,26,调味,给烧烤味饼干调味时咸度应如何把握？,少量多次边尝边调整,一次性按最大量放足,凭喜好多放显得更入味,把盐换成等量的洗衣粉
26025,26,调味,想为饼干增添烟熏香气可以添加什么？,少许烟熏红椒粉,大量孜然粉盖过本味,整勺黑胡椒猛撒上去,滴入几滴机械润滑油
26026,26,调味,想平衡烧烤味的咸香可以怎么做？,加入少量糖中和咸味,再多加盐让味道更浓,完全不放糖只靠咸味,倒入一整瓶酱油
26027,26,调味,调味用的香料应保持什么状态？,干燥洁净没有受潮结块,略微受潮但还能勉强用,气味变淡的陈年香料,混进了灰尘的脏香料
26028,26,调味,给烧烤味饼干调味的整体原则是？,突出烧烤咸香而不过咸,口味调得越重越好,把能用的调料都加一点,加到齁咸难以下咽为止
26029,26,调味,想为饼干增添微辣层次可以怎么做？,添加少许辣椒粉提味,直接淋上大量辣椒油,整勺花椒粉盖上去,挤一管牙膏进去
