cid,food_id,stage,question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
问题cid,食物id,烹饪阶段,问题内容,正确答案,错误答案1,错误答案2,错误答案3
int,int,str,str,str,str,str,str
0,0,0,1,1,1,1,1
鲜切蟹生烹饪问题库,,,,,,,
204001,204,备料,制作鲜切蟹生时应选用什么状态的螃蟹？,活力充沛的鲜活螃蟹,略显迟钝但仍会动的螃蟹,刚死不久外壳尚硬的螃蟹,已经发臭流出黏液的死蟹
204002,204,备料,由于是生食处理活蟹前手部应如何处理？,彻底洗净双手并做好消毒,只用清水草草冲一下手,戴上手套但始终不去洗手,用刚摸过生肉的手直接处理
204003,204,备料,清洗活蟹外壳较合适的做法是什么？,用刷子在流水下刷净壳缝泥沙,放进清水里泡一会就算洗好,只冲一下蟹壳表面便作罢,完全不洗就直接动刀
204004,204,备料,处理螃蟹不可食用的蟹腮时应如何？,将蟹腮彻底去除干净,保留整片蟹腮一起腌制,只随手去掉一半蟹腮,把蟹腮留着当作装饰
204005,204,备料,用于生食的螃蟹挑选时较合适的是？,来源可靠且足够新鲜的螃蟹,价格低廉但来源不明的螃蟹,在常温下摆放许久的螃蟹,已经散发腥臭味的螃蟹
204006,204,备料,备料用的砧板与刀具应如何准备？,准备专用且洁净消毒的生食砧板刀具,借用刚切过熟食尚未清洗的砧板,随手取来沾满油污的旧砧板,使用生锈卷刃的脏刀
204007,204,备料,处理活蟹时为防止被蟹钳夹伤应如何？,先用绳捆住或冰镇令其活动减缓,直接徒手去抓乱动的活蟹,故意伸手逗弄激怒螃蟹,把活蟹抛向空中再去接
204008,204,备料,清洗螃蟹腹部的脐盖时应注意什么？,掀开脐盖清除其中的脏污,完全不去理会脐盖部位,只在脐盖表面随手擦一下,把脐盖连着泥沙一起留下
204009,204,备料,生腌处理前螃蟹应保持什么温度状态？,全程低温冷藏以保持新鲜,放在常温下慢慢回温,用温水浸泡使其升温,摆在阳光下任意暴晒
204010,204,备料,备料阶段判断螃蟹是否新鲜可以如何观察？,看蟹眼是否灵活外壳是否完整无异味,只凭价格高低来下判断,单看外壳颜色深浅来判断,闭着眼随手抓一只
204011,204,备料,处理坚硬的蟹钳时较合适的做法是？,用刀背轻拍蟹钳便于入味与食用,留着完整硬钳原样端上,用力把蟹钳整个掰成碎渣,抡起锤子把蟹钳砸得稀烂
204012,204,烹饪,鲜切蟹生的核心处理方式是什么？,切件后短暂过水或直接生腌以保鲜嫩,长时间大火爆炒至彻底熟透,反复下油锅炸到外壳焦脆,送进烤箱整整烘烤一天
204013,204,烹饪,将螃蟹切件时较合适的刀工是什么？,顺着蟹身关节干净利落地切块,胡乱用力把整只蟹剁成碎末,连壳带肉生生地撕扯开,用钝刀来回锯上很久
204014,204,烹饪,若选择过水汆烫处理时间应如何把握？,极短时间快速过水保持蟹肉鲜嫩,长时间煮到蟹肉完全老硬,一直煮到蟹肉散开化进水里,守着锅煮上好几个小时
204015,204,烹饪,过水处理时所用的水温较合适的是什么？,在沸水中极快地汆烫一下,用温吞的水长时间浸泡,用冷水慢慢加热煮很久,改用滚烫的热油来代替
204016,204,烹饪,切件后为保持蟹肉鲜嫩可以怎么做？,处理后立即冰镇锁住鲜味,摆在常温台面上久久搁置,放在热源旁边一直保温,泡进脏水里浸着不管
204017,204,烹饪,制作生腌蟹时让蟹肉入味的合适做法是？,将切件蟹浸入调好的酱汁低温腌渍,在常温下长时间敞口腌放,用滚烫的酱汁直接浇淋,把蟹扔进开水里煮到稀烂
204018,204,烹饪,切蟹件时为保证大小一致应如何处理？,按蟹身结构切成均匀的块,随手切成大小悬殊的块,只把整只蟹劈成两大半,整只不切便直接端上桌
204019,204,烹饪,处理这道菜时为何强调动作要快？,减少生鲜暴露时间以保证卫生与口感,单纯只为图省事而偷懒,好让蟹在台面多放一会更入味,故意拖延任由蟹肉变质
204020,204,烹饪,若过水后想让蟹件快速降温较好的方式是？,立即放入冰水中激一下,摆在常温下慢慢晾凉,用热风对着持续地吹,放进微波炉加热降温
204021,204,烹饪,切件过程中刀具应始终保持什么状态？,洁净锋利以避免交叉污染,沾着前一份食材残渣继续用,拿钝刀硬压着勉强切,用沾了泥土的刀来切
204022,204,烹饪,鲜切蟹生在加热处理上的最大特点是什么？,几乎不长时间加热以突出鲜字,必须彻底久煮之后才能上桌,炒制越久味道反而越好,要反复回锅加热许多次
204023,204,调味,鲜切蟹生常用的提鲜蘸汁可以包含什么？,生抽姜末蒜末配少许醋调成的蘸汁,大量浓稠甜面酱糊住蟹肉,厚厚抹上一层番茄沙司,挤进一大坨洗洁精泡沫
204024,204,调味,生腌酱汁中加入姜蒜的主要作用是什么？,去腥提香并兼顾生食卫生,单纯只为让颜色更好看,使蟹肉变得更加坚硬,把蟹肉染成漆黑一片
204025,204,调味,为蟹生调味时盐与酱油的用量原则是？,少量多次边尝边慢慢调整,一次性倒入大量酱油,凭着感觉猛放追求重口,用糖块换掉全部咸味
