cid,talk_id,premise
配表id,所属口上id,前提id
str,str,str
0,0,0
口上前提表,,
2,2,sys_0
3,3,sys_0
4,4,sys_0
5,5,sys_0
6,6,sys_0
21,21,sys_0
22,22,sys_0
23,23,sys_0
31,31,sys_0
32,32,sys_0
34,34,sys_0
35,35,sys_0
37,37,t_cook_le_3
38,38,t_cook_le_3
39,39,t_cook_g_3
41,41,t_cook_le_3
42,42,t_cook_g_3
51,51,sys_0
52,52,sys_0
53,53,sys_0
54,53,love_ge_1
55,54,sys_0
56,54,obey_ge_1
57,55,sys_0
111,111,sys_0
112,114,sys_0
114,114,sys_0
115,115,sys_0
116,116,sys_0
117,117,sys_0
118,118,sys_0
120,120,sys_0
121,121,sys_0
122,122,love_ge_1
