cid,name,max_volume,normal_flow_table,full_flow_table,extra_flow_table
配表id,部位名字,最大容积,正常流通表,满溢流通表,额外流通表
int,str,int,str,str,str
0,1,0,0,0,0
衣服种类配置,,,,,
0,帽子,2000,B0-10,B0-90,无
1,眼镜,1000,B1-10,B1-90,无
2,耳饰,1000,B14-10+B0-5+B1-5,B14-50+B0-20+B1-20,无
3,脖饰,1000,B1-5+B3-5,B1-45+B3-45,无
4,口饰,1000,B1-5+B2-10+B3-5,B1-20+B2-50+B3-20,无
5,上衣,4000,B3-10+B17-5+B18-5+B4-5+C6-10,B3-20+B17-10+B18-10+B4-20+C6-20,无
6,胸衣,1000,B3-10+B4-5+C5-5,B3-50+B4-20+C5-20,无
7,手套,1000,B5-10,B5-90,无
8,下衣,4000,B16-5+B10-5+C9-5+C10-5,B16-20+B10-20+C9-30+C10-20,无
9,内裤,1000,B6-10+B16-5+C8-5+C10-5,B6-50+B16-10+C8-20+C10-10,无
10,袜子,2000,B10-10+B11-10+C11-5,B10-35+B11-35+C11-20,无
11,鞋子,4000,B10-10+B11-10+C10-5,B10-35+B11-35+C10-20,无
12,武器,5000,B5-10,B5-90,无
13,附属物,1000,无,E0-90,无
