cid,name,max_volume,normal_flow_table,full_flow_table,extra_flow_table
配表id,部位名字,最大容积,正常流通表,满溢流通表,额外流通表
int,str,int,str,str,str
0,1,0,0,0,0
身体部位表,,,,,
0,头发,2000,B1-10+B12-5+B13-5+C0-10+C2-5,B1-90,无
1,脸部,1000,B0-10+B3-10+C1-10+C4-10,B1-90,无
2,口腔,3000,B1-10+C4-10+B15-10,B1-30+C4-30+B15-30,B15-90
3,胸部,2000,B17-5+C5-5+C6-10,B17-40+C6-50,无
4,腋部,1000,B5-5+B3-5+C5-5,B3-50+C5-40,无
5,手部,1000,C12-5+C7-10,C12-20+C7-70,无
6,小穴,2000,C9-10+B7-30+B16-5,B7-50+C9-40,无
7,子宫,4000,B6-10,B6-90,无
8,后穴,6000,C9-10+B15-5+B16-5,C9-20+B15-70,无
9,尿道,2000,C9-10+B16-5,C9-50+B16-40,无
10,腿部,2000,B11-10+C10-10,C10-45+B11-45,无
11,脚部,3000,C10-10+C11-10+B10-5,C11-50+C10-30+B10-10,无
12,尾巴,1000,C8-10+B16-5,C8-50+B16-30+B18-10,无
13,兽角,1000,C0-10+B0-10,B0-45+C0-45,无
14,兽耳,1000,B0-10+C0-10+C2-20,B0-20+C0-20+C2-50,无
15,胃部,3000,B2-5+B8-10,B2-45+B8-45,无
16,胯部,1000,C9-10+B10-10,C9-50+B10-40,无
17,腹部,2000,B16-5+C5-10,C5-50+B16-40,无
18,背部,2000,B12-5+B16-5+C5-10,C5-50+B16-40,无
