cid,en_name,name,duration,trigger,type
状态id,英文名称,描述,耗时,触发人,标签
int,str,str,int,str,str
0,0,1,0,0,0
状态描述配置,,,,,

0,share_blankly,无行动,-1,both,日常
1,move,移动,1,both,日常
2,wait,等待,-1,both,日常
3,change_cloth,换衣服,5,npc,日常
5,chara_diy_instruct,角色特殊指令,10,pl,日常
6,ai_special_instruct,AI对话用特殊指令,-1,pl,日常
99,empty_instruct,空白示范指令,1,both,日常
101,chat,聊天,5,both,日常
102,chat_failed,谈话次数过多而失败,5,pl,日常
103,stroke,身体接触,10,both,日常
104,massage,按摩,30,both,日常
110,rest,休息,60,both,日常
111,sleep,睡觉,-1,both,日常
112,take_shower,淋浴,15,both,日常
113,get_up,起床,5,npc,日常
115,follow,让NPC跟随玩家,5,pl,日常
116,end_follow,让NPC停止跟随玩家,5,pl,日常
117,apologize,道歉,60,pl,日常
118,apologize_failed,道歉失败,60,pl,日常
119,listen_complaint,听牢骚,45,pl,日常
131,make_coffee,泡咖啡,15,both,日常
132,make_coffee_add,泡咖啡（加料）,15,both,日常
133,ask_make_coffee,让对方泡咖啡,15,pl,日常
134,make_food,做饭,-1,both,日常
135,eat,进食,5,both,日常
136,refuse_eat,拒绝进食,5,pl,日常
137,buy_food,购买食物,1,pl,日常
140,pee,解手,5,both,日常
141,cloth_off,脱掉全部衣服,10,npc,日常
142,put_shower_cloth,换上浴帽和浴巾,10,npc,日常
143,put_sleep_cloth,换上睡衣和内衣,10,npc,日常
144,wear_to_locker,身上衣服脱到衣柜,10,npc,日常
145,locker_to_wear,衣柜衣服穿回身上,10,npc,日常
146,ready_to_swim,脱掉衣服并换上泳衣,10,npc,日常
147,foot_cloth_to_locker,脱鞋袜,5,npc,日常
148,wear_to_locker_and_get_shower_cloth,脱衣换浴帽和浴巾,10,npc,日常
149,clean_wear_and_locker_to_wear,脱衣并穿回衣柜衣服,10,npc,日常

151,singing,唱歌,10,both,娱乐
152,play_instrument,演奏乐器,10,both,娱乐
153,watch_movie,看电影,120,both,娱乐
154,photography,摄影,60,both,娱乐
155,play_water,玩水,60,both,娱乐
156,play_chess,下棋,30,both,娱乐
157,play_mahjong,打麻将,60,both,娱乐
158,play_cards,打牌,60,both,娱乐
159,rehearse_dance,排演舞剧,120,both,娱乐
160,play_arcade_game,玩街机游戏,60,both,娱乐
161,swimming,游泳,60,both,娱乐
162,taste_wine,品酒,30,both,娱乐
163,taste_tea,品茶,30,both,娱乐
164,taste_coffee,品咖啡,30,both,娱乐
165,taste_dessert,品尝点心,30,both,娱乐
166,taste_food,品尝美食,30,both,娱乐
167,play_house,过家家,60,both,娱乐
168,style_hair,修整发型,60,both,娱乐
169,full_body_styling,全身造型服务,120,both,娱乐
171,listen_inflation,听肚子里的动静,5,both,娱乐
172,play_with_child,一起玩耍,30,both,娱乐
173,pl_win_in_board_game,博士在桌游中获胜,10,pl,娱乐
174,pl_lose_in_board_game,博士在桌游中输了,10,pl,娱乐
181,soak_feet,泡脚,30,both,娱乐
182,steam_sauna,蒸桑拿,30,both,娱乐
183,hydrotherapy_treatment,水疗护理,60,both,娱乐
184,onsen_bath,泡温泉,60,both,娱乐
191,aromatherapy_1,对目标香薰疗愈_回复,60,pl,娱乐
192,aromatherapy_2,对目标香薰疗愈_习得,60,pl,娱乐
193,aromatherapy_3,对目标香薰疗愈_反感,60,pl,娱乐
194,aromatherapy_4,对目标香薰疗愈_快感,60,pl,娱乐
195,aromatherapy_5,对目标香薰疗愈_好感,60,pl,娱乐
196,aromatherapy_6,对目标香薰疗愈_催眠,60,pl,娱乐

201,official_work,处理公务,60,both,工作
202,battle_command,指挥作战,5,pl,工作
205,training,战斗训练,120,both,工作
206,exercise,锻炼身体,60,both,工作
207,cure_patient,诊疗病人,30,both,工作
208,recruit,招募干员,60,both,工作
209,invite_visitor,邀请访客,60,both,工作
210,read_book,读书,30,both,工作
213,teach,授课,45,both,工作
214,attent_class,上学,45,both,工作
215,maintenance_facilities,维护设施,60,both,工作
216,repair_equipment,维修装备,60,both,工作
217,npc_work_cook,干员做饭,30,npc,工作
218,produce,制造产品,30,both,工作
219,plant_manage_crop,种植与养护作物,60,both,工作
221,deal_with_diplomacy,处理外交事宜,60,both,工作
222,train_prisoner,训练囚犯,60,both,工作

251,morning_salutation_1,早安问候：叫起床,5,npc,工作_助理
252,morning_salutation_2,早安问候：早安吻,5,npc,工作_助理
253,morning_salutation_3,早安问候：早安咬,10,npc,工作_助理
254,night_salutation_1,晚安问候：催睡觉,5,npc,工作_助理
255,night_salutation_2,晚安问候：晚安吻,5,npc,工作_助理
256,night_salutation_3,晚安咬,10,npc,工作_助理
261,npc_assistant_cook,干员助理做饭,30,npc,工作_助理

301,touch_head,摸头,10,both,猥亵
302,touch_breast,摸胸,10,both,猥亵
303,touch_buttocks,摸屁股,10,both,猥亵
304,touch_ears,摸耳朵,10,both,猥亵
305,touch_horn,摸角,10,both,猥亵
306,touch_tail,摸尾巴,10,both,猥亵
307,touch_ring,摸光环,10,both,猥亵
308,touch_wing,摸翅膀,10,both,猥亵
309,touch_tentacle,摸触手,10,both,猥亵
310,touch_car,摸小车,10,both,猥亵
311,hand_in_hand,牵手,10,both,猥亵
312,embrace,拥抱,3,both,猥亵
313,kiss,亲吻,5,both,猥亵
314,lap_pillow,膝枕,30,both,猥亵
315,raise_skirt,掀起裙子,5,both,猥亵
316,ask_for_pan,索要内裤,5,both,猥亵
317,ask_for_socks,索要袜子,5,both,猥亵
318,invite_to_bath,一起洗澡,30,pl,猥亵
331,touch_clitoris,阴蒂爱抚,5,both,猥亵
332,touch_vagina,手指插入（V）,5,both,猥亵
333,touch_anus,手指插入（A）,5,both,猥亵
336,milk,挤奶,10,both,猥亵
341,smell_underwear,闻内衣,1,pl,猥亵
342,steal_pan,偷走内裤,5,pl,猥亵
343,steal_socks,偷走袜子,5,pl,猥亵
344,steal_scene_all_pan,偷走所有人内裤,10,pl,猥亵
345,steal_scene_all_socks,偷走所有人袜子,10,pl,猥亵
351,bagging_and_moving,装袋搬走,10,pl,猥亵
