cid,premise_name,premise_type,premise

debug_mode_setting_on,DEBUG_MODE_SETTING_ON,系统状态,设置里可以开启debug模式
debug_mode_on,DEBUG_MODE_ON,系统状态,现在是debug模式
debug_mode_off,DEBUG_MODE_OFF,系统状态,现在不是debug模式
is_h,IS_H,系统状态,当前为H模式
not_h,NOT_H,系统状态,当前不是H模式
is_unconscious_h,IS_UNCONSCIOUS_H,系统状态,当前为无意识奸模式
not_unconscious_h,NOT_UNCONSCIOUS_H,系统状态,当前不是无意识奸模式
group_sex_mode_on,GROUP_SEX_MODE_ON,系统状态,多P模式开启中
group_sex_mode_off,GROUP_SEX_MODE_OFF,系统状态,多P模式未开启
option_son,OPTION_SON,系统状态,选项的子事件
this_event_in_triggered_record,THIS_EVENT_IN_TRIGGERED_RECORD,系统状态,该事件在已触发记录中(需搭配记录结算)
this_event_not_in_triggered_record,THIS_EVENT_NOT_IN_TRIGGERED_RECORD,系统状态,该事件不在已触发记录中(需搭配记录结算)
daily_panel_show,DAILY_PANEL_SHOW,系统状态,当前日常指令面板可见
play_panel_show,PLAY_PANEL_SHOW,系统状态,当前娱乐指令面板可见
work_panel_show,WORK_PANEL_SHOW,系统状态,当前工作指令面板可见
arts_panel_show,ARTS_PANEL_SHOW,系统状态,当前技艺指令面板可见
obscenity_panel_show,OBSCENITY_PANEL_SHOW,系统状态,当前猥亵指令面板可见
sex_panel_show,SEX_PANEL_SHOW,系统状态,当前性爱指令面板可见
generate_by_ai,GENERATE_BY_AI,系统状态,该文本由AI自动生成

sys_0,IS_PLAYER,指令_触发与交互,玩家触发的该指令
sys_1,NO_PLAYER,指令_触发与交互,NPC触发的该指令
sys_2,HAVE_TARGET,指令_触发与交互,拥有交互对象
sys_3,HAVE_NO_TARGET,指令_触发与交互,没有交互对象
sys_4,TARGET_IS_PLAYER,指令_触发与交互,交互对象是玩家角色
sys_5,TARGET_NO_PLAYER,指令_触发与交互,交互对象不是玩家
sex_0,IS_MAN,指令_触发与交互,触发该指令的是男性
sex_1,IS_WOMAN,指令_触发与交互,触发该指令的是女性
instruct_judge_low_obscenity,INSTRUCT_JUDGE_LOW_OBSCENITY,指令_触发与交互,口上用：当前实行值足以轻度性骚扰
instruct_judge_high_obscenity,INSTRUCT_JUDGE_HIGH_OBSCENITY,指令_触发与交互,口上用：当前实行值足以重度性骚扰
instruct_judge_h,INSTRUCT_JUDGE_H,指令_触发与交互,口上用：当前实行值足以邀请H
target_have_chara_diy_instruct,TARGET_HAVE_CHARA_DIY_INSTRUCT,指令_触发与交互,交互对象有角色自定义指令且至少有一个序号0的子事件满足全前提

high_1,HIGH_1,指令_权重,优先度为1的空白前提
high_2,HIGH_2,指令_权重,优先度为2的空白前提
high_5,HIGH_5,指令_权重,优先度为5的空白前提
high_10,HIGH_10,指令_权重,优先度为10的空白前提
high_999,HIGH_999,指令_权重,优先度为999的空白前提

