cid,name,level,affect_walking,need_facility,description
绳子捆绑id,绳子捆绑名,捆绑等级,影响行走,需要设施,捆绑介绍
int,str,int,int,int,str
0,1,0,1,0,0
绳子捆绑,,
0,未捆绑,0,0,0,自由状态，没有任何绳索束缚，女方可以自由活动
1,双手缚,1,0,0,将女方双手缚于身前或身后，使用绳索环绕手腕数圈后打结固定，限制手部活动
2,后高手缚,1,0,0,将女方双手反缚到背后，手臂尽量向上抬起，绳索固定在手腕和上臂，形成较高的束缚位置
3,直臂缚,1,0,0,女方双臂伸直贴于身体两侧，用绳索将手臂紧紧缚于躯干上，无法弯曲手臂
4,直立缚,2,0,0,女方保持站立姿势，双手被缚于背后，身体挺直，通常配合其他束缚点固定
5,后手观音,2,0,0,女方一只手从肩膀上方向下，另一只手从下方向上，在背后合掌，再用绳索固定这个姿势
6,苏秦背剑,2,0,0,女方双手反缚背后，手臂高高抬起如背负宝剑，绳索穿过手臂和躯干多个点固定
7,菱绳缚,2,0,0,绳索在女方躯干上形成菱形图案，通常从胸部开始，绳索交叉缠绕形成装饰性束缚
8,吊缚,2,1,1,女方被绳索悬吊在空中，通常以胸部和腰部为主要承重点，双脚离地
9,后手吊缚,2,1,1,女方双手反缚背后，同时身体被部分悬吊，手臂承受部分体重，姿势较为痛苦
10,单足吊缚,2,1,1,女方一只脚被绳索吊起，身体保持平衡，另一只脚支撑或悬空，考验平衡能力
11,驷马缚,3,1,1,女方四肢分别被绳索拉向四个方向固定，身体呈大字型，无法移动任何肢体
12,团缚,3,1,0,女方被绳索缚成团状，双膝贴胸，身体蜷缩，活动空间极度受限
13,逆团缚,3,1,0,女方背部朝外蜷缩成团，双手双脚被缚在身后，比正常团缚更加困难和痛苦
14,龟甲缚,3,0,0,绳索在女方胸部和躯干形成龟甲状图案，层层叠叠的绳网覆盖大部分身体
15,海老缚,3,1,1,女方身体向后极度弯曲如虾米状，双脚被拉向头部方向，是极其困难的高难度捆绑
