cid,context
文本id,文本内容
str,str
0,1
ui用的文本,
体外卵精液污浊0,一大团半透明的凝胶静静地堆在那里，成百上千颗细小的卵粒像鱼籽一样密密麻麻地嵌在胶质里，洁净得没有沾上一丝白浊，只是随着微弱的搏动轻轻颤着，等待着精液的浇灌
体外卵精液污浊1,几滴白浊落在卵块表面，顺着凝胶的弧面缓缓滑下，在底部积成小小的一汪，最外层的几颗卵粒被染上了淡淡的浑浊，更深处的卵粒对此毫无反应
体外卵精液污浊2,一小汪白浊浸着卵块的底部，胶质的下半截被泡得微微发亮，零星的精子在凝胶表面徒劳地打转，距离深处那些密密麻麻的卵粒还差得远
体外卵精液污浊3,精液已经漫过了卵块的一半，黏腻的凝胶整个泛着光泽，白浊顺着胶质的纹路一点点往里渗，靠外的一圈卵粒周围开始浮起淡淡的浑浊
体外卵精液污浊4,大量精液把卵块泡得只露出顶端一小块，凝胶吸饱了白浊后微微膨胀，精子正成群地往胶质里钻，外层的卵粒已经被围得严严实实
体外卵精液污浊5,白浊已经完全没过了卵块，凝胶在精液里轻轻晃动，透过浑浊的液面只能看到一团模糊的轮廓，精子层层深入，卵粒的轮廓一颗颗地被浓白吞没
体外卵精液污浊6,卵块沉在厚厚一层精液的底部，凝胶被泡得松软发涨，精子从四面八方不断钻进胶质深处，成百上千颗卵粒的周围已经变成了一片浓白
体外卵精液污浊7,堆积的精液在卵块上方形成了明显的凸起，凝胶早已看不出原本的透明，整团卵块像是被裹进了一团白浊的冻子里，只剩下微微蠕动的轮廓
体外卵精液污浊8,卵块完全埋没在黏稠的精液堆里，白浊多到从四周溢向外面，凝胶吸收精液后胀大了一圈，深处的卵粒在浓白之中若隐若现
体外卵精液污浊9,浓稠的精液堆成了小小的一座丘，卵块在其中被挤压得微微变形，凝胶与白浊几乎已经融为一体，无数精子在成千颗卵粒之间翻涌不休
体外卵精液污浊10,白浊的小丘之下再也看不见卵块的形状，只有丘顶偶尔冒出的一个个气泡证明卵粒还在里面，凝胶被精液泡到了极限，随时都可能被撑开
体外卵精液污浊11,精液堆得比卵块本身还要高出一大截，白浊顺着丘坡不断向外淌，凝胶在这般浇灌下彻底饱和，最深处的卵粒也已经被精子包裹得密不透风
体外卵精液污浊12,卵块被埋在一座白浊的小山之下，精液多到在地面上汇成了一片，胶质早已胀到原本的两倍大，仍在贪婪地把周围的精液吸进卵粒之间
体外卵精液污浊13,过量的精液堆积成了一大滩黏稠的白浊，卵块在最深处几乎要被溶解，凝胶与精液的边界完全消失，只有成百上千颗卵粒还在其中顽强地闪着微光
体外卵精液污浊14,卵块彻底淹没在难以置信的精液量之中，白浊向四周漫开了一大片，凝胶被泡得膨胀到极限，仿佛下一刻就要散开一般不住颤动
体外卵精液污浊15,精液多到已经无法再附着在卵块上，白浊像退潮后的泥沼一样铺满了周围的地面，卵块在正中央被泡成了一团几乎透明的巨大胶质，每一颗卵粒深处仿佛都已经孕育着什么
