cid,context
文本id,文本内容
str,str
1,1
ui用的文本,
头发精液污浊1,有轻微的白色粘稠液体附着在发丝上，呈现出点状光泽
头发精液污浊2,发丝间缠绕着明显的白浊液体，部分已经开始凝结，使头发略显湿润沉重
头发精液污浊3,大量白色粘稠液体覆盖头发，使发丝纠结在一起，呈现出湿漉漉的状态，光线下泛着不自然的光泽，每次移动都有液体滴落
头发精液污浊4,头发几乎被白浊液体完全覆盖，沉重地黏在一起，呈现出浓稠的白色光泽，发丝间完全无法分开，形成一块块凝固状的区域，散发出浓烈的腥味
脸部精液污浊1,脸颊上粘着少量白浊液体，在灯光下微微反光，形成细小痕迹
脸部精液污浊2,面部大面积沾染着浓稠的白浊液体，从额头流至下巴，状如面膜般覆盖皮肤
脸部精液污浊3,整个脸庞完全被白浊液体覆盖，形成一层厚重的白色涂层，液体顺着脸部轮廓缓慢流淌，连睫毛和眉毛都被浸湿黏结，面部表情变得僵硬而沉重
口腔精液污浊1,唇边残留着少量的白色粘稠液体，微微泛着湿润光泽
口腔精液污浊2,口腔内充满了白浊液体，从嘴角溢出，无法完全闭合嘴唇
口腔精液污浊3,口腔完全被充满，白色粘稠液体从唇边不断溢出，无法完全闭合嘴巴，每次呼吸都伴随着气泡的声音，液体顺着下巴蜿蜒流下，形成长长的白色丝线
胸部精液污浊1,胸前有几滴白浊液体，微微反光，形成小小的湿润区域
胸部精液污浊2,胸部覆盖着较多白浊液体，缓缓流淌，在肌肤上形成蜿蜒的痕迹
胸部精液污浊3,整个胸部被浓稠精液完全覆盖，形成厚厚的一层白色涂层，皮肤几乎看不见原本的颜色，液体在胸部的曲线上缓慢流动，随着呼吸起伏而微微晃动
腋部精液污浊1,腋下有少量粘稠液体附着，微微湿润，呈现细小的光点
腋部精液污浊2,腋部完全湿润，白浊液体顺着皮肤缓缓流淌下来，形成闪亮的湿痕
腋部精液污浊3,腋窝完全被白浊液体填满，液体在每次手臂移动时被挤压，发出微弱的水声，随着体温变得温热，皮肤与皮肤之间形成黏腻的接触感，散发出特殊的气味
手部精液污浊1,手掌和指间沾有少量粘稠的白浊液体，触物时留下痕迹
手部精液污浊2,双手完全沾满黏腻的白浊液体，指间拉出长丝，无法灵活操作物品
手部精液污浊3,手部完全被白浊液体浸透，每个指尖都滴落着粘稠液体，掌纹被填满呈现出平滑的质感，手指活动时发出湿润的声响，无法拿取精细物品，握紧再张开时能拉出蛛网状的丝线
小穴精液污浊1,阴唇间微微沾染些许白浊液体，从紧闭的穴口处渗出少量精液，形成细小的湿润区域
小穴精液污浊2,白浊液体从阴道口溢出，湿润着粉嫩的阴唇，使其呈现晶莹的光泽，能感觉到明显的滑腻感
小穴精液污浊3,大量白浊液体从充盈的阴道内不断涌出，挤开粉嫩的阴唇，顺着大腿内侧缓缓流下，形成蜿蜒的白色痕迹，每走一步都能感受到内部液体的晃动和从穴口持续流出
小穴精液污浊4,阴道完全被浓稠的白浊液体填满并持续从穴口溢出，在重力下像瀑布一样从穴口倾泻，阴唇被精液冲开到无法闭合，完全无法阻止精液的喷出，整个下半身被溅湿一片，在地面形成了一滩持续扩大的白浊水池
子宫精液污浊1,子宫内壁感受到少量液体的存在，微微温热，带来轻微的满足感
子宫精液污浊2,子宫被适量白浊液体滋润，内部传来温暖的感觉，如同被轻柔地填满
子宫精液污浊3,子宫内被大量白浊液体充满，有明显的充实感，内部压力使下腹产生微妙的鼓胀，每次移动都能感受到液体在内部轻微晃动
子宫精液污浊4,子宫完全被浓稠液体塞满，有微微的饱胀感，腹部出现不自然的紧绷感，内部液体的重量使站立姿势变得略显不适
子宫精液污浊5,子宫因内部液体过多而略微鼓胀，腹部出现轻微的隆起，像怀孕初期一般，内部液体随着身体移动而缓慢晃动，给人一种奇特的饱足感
子宫精液污浊6,子宫大幅膨胀，充满的液体使下腹部明显隆起，像怀孕初期一般，行走时能明显感受到液体的重量和波动，腹部皮肤变得紧绷光滑，轻轻触摸能感受到内部的饱满
子宫精液污浊7,子宫极度膨胀，腹部高高隆起，白浊液体充满整个腔体，令人难以置信的饱胀感，如同怀孕中后期的状态，皮肤绷紧发亮，每走一步都伴随着宫内满溢精液的晃动，几乎无法正常行走
后穴精液污浊1,后穴入口处有少量白浊液体附着，形成微微的湿润光泽
后穴精液污浊2,适量的白浊液体附着在内壁上，使后穴显得湿润光滑，每次移动都有微妙感觉
后穴精液污浊3,大量白浊液体充满后穴，有细微的溢出，内壁被完全浸润，每次移动都能感受到液体在内部轻微晃动，带来异样的饱胀感
后穴精液污浊4,后穴内壁被完全灌注，白浊液体随着身体移动而轻微晃动，腹部有微妙的沉重感，行走时液体从穴口缓慢溢出，形成细小的白色水流
后穴精液污浊5,后穴完全被白浊液体填满，无法容纳更多，从穴口不断溢出，内部压力使肠道感到明显的胀痛，每次移动都伴随着大量液体的流出，无法控制
后穴精液污浊6,肠道因大量液体而明显膨胀，腹部出现不自然的隆起，如同怀孕初期，行走困难，每走一步都伴随着内部液体的晃动和从穴口喷溅出的白浊液体
后穴精液污浊7,肠道极度膨胀，腹部像气球一样鼓起，充满的液体令人难以承受，如同怀孕中后期，几乎无法行走，腹部皮肤紧绷发亮，轻轻碰触就能感受到内部液体的波动，每走一步都伴随着大量白浊液体向外喷出
后穴精液污浊8,肠道已达极限膨胀，腹部畸形隆起如临产妇，皮肤绷紧到近乎透明，白浊液体快要撑破肠壁，沉重感坠得全身不适到无法站立，每次呼吸或轻微动作都会引发大量精液不受控地喷出，身下形成扩散的白浊湖泊
尿道精液污浊1,尿道口沾染少量白浊液体，微微湿润，形成细小的光点
尿道精液污浊2,尿道内壁被白浊液体滋润，有轻微的温热感，尿道口呈现湿润状态，膀胱内感到微热
尿道精液污浊3,尿道充满白浊液体，膀胱内积聚少量精液，产生轻微胀感。内部压力使排尿变得困难，每走一步都能感受到液体在尿道与膀胱内晃动的异样感觉
尿道精液污浊4,尿道被白浊液体完全填满，膀胱内积聚大量精液，形成明显的饱胀感。尿道口无法完全闭合，轻微挤压下腹就会有液体从尿道口溢出，膀胱压力增大，走动时带来强烈的不适与满足感
尿道精液污浊5,尿道内液体充盈，膀胱被大量精液撑开，下腹部出现轻微隆起。排尿困难，尿道周围组织明显肿胀，膀胱内精液晃动感明显，体位变化时能感受到内部液体的波动，液体不受控制地从尿道口滴落
尿道精液污浊6,尿道极度膨胀，膀胱被过量精液填满，下腹部明显凸起如同小型气球。白浊液体在内部形成强烈压力，产生难以抑制的排出欲望，膀胱壁被撑到极限，尿道口持续喷出浓稠的白浊液体，无法控制液体的流出
腿部精液污浊1,大腿上有几道白浊液体痕迹，缓缓流淌，形成蜿蜒痕迹
腿部精液污浊2,双腿布满白浊液体，在皮肤上形成多道流痕，走动时有微妙的滑腻感
腿部精液污浊3,整个腿部都被浓稠的白浊液体覆盖，黏腻而湿滑，如同涂了一层厚厚的乳霜，走动时大腿内侧发出轻微的水声，液体顺着腿部曲线缓慢流淌
脚部精液污浊1,脚背上沾有少量白浊液体，在趾间形成细丝，微微湿润
脚部精液污浊2,整个脚部都被白浊液体浸湿，脚趾间溢满黏腻液体，踩在地面上留下湿痕
脚部精液污浊3,脚部完全被白浊液体包裹，每一个脚趾都被黏稠液体浸透，脚底时不时时发出轻微的黏液吸附声，行走时精液持续从脚踝处流下，每一步都留下湿润的脚印
尾巴精液污浊1,尾巴尖端沾有少量白浊液体，呈现出微微的湿润光泽
尾巴精液污浊2,尾巴上有明显的白浊液体痕迹，使毛发粘在一起，失去了蓬松感
尾巴精液污浊3,尾巴大部分被白浊液体覆盖，毛发湿漉漉地纠结在一起，呈现出一绺一绺的状态，尾巴变得沉重而难以自如摆动，液体顺着毛发缓慢滴落
尾巴精液污浊4,整条尾巴完全被白浊液体浸透，显得沉重而潮湿，原本蓬松的毛发紧紧黏在一起，形成一个个湿漉漉的块状物，无法正常摆动，每次移动都有液体从尾尖滴落
兽角精液污浊1,角上附着少量白浊液体，在光线下微微反光，形成点状光泽
兽角精液污浊2,整个兽角都被白浊液体覆盖，顺着角的纹理缓缓流下，表面呈现湿润光泽
兽角精液污浊3,兽角完全被浓稠白浊液体包裹，原本的质感和色泽被完全遮盖，液体在角的沟壑和纹理间积聚，随着头部移动而缓慢流动，在光线下呈现出粘稠的光泽，散发出淡淡的气味
兽耳精液污浊1,耳尖沾有少量白浊液体，微微湿润，呈现细小光点
兽耳精液污浊2,兽耳内侧布满白浊液体，使毛发结成一缕一缕，失去了原有的柔软感
兽耳精液污浊3,整个兽耳完全被浓稠的白浊液体覆盖，耳毛粘成一团，失去了原本的蓬松感，耳朵变得沉重而下垂，液体沿着耳廓缓慢流淌，形成粘稠的丝线
胃部精液污浊1,胃部感受到少量液体的存在，微微温热，带来轻微的满足感
胃部精液污浊2,胃里的白浊液体随着身体移动而轻微晃动，有饱腹感，如同刚喝下温热饮品
