cid,context
文本id,文本内容
str,str
0,1
ui用的文本,
头发避孕套装饰1,一个用过的避孕套被系在发梢上，装满精液的套体随着头部的动作轻轻摇晃，微微下坠的重量时刻提醒着它的存在，发丝被套口勒出一小缕，散发着若有若无的腥味
头发避孕套装饰2,两个用过的避孕套分别系在两侧发梢，像一对沉甸甸的白色坠饰，走动时互相碰撞发出细微的闷响，乳白色的内容物在半透明的套体里缓缓晃动，令人无法移开视线
头发避孕套装饰3,好几个装满精液的避孕套被编进发间，用过的套子代替了发绳束起发束，每一步都能感到它们坠在头侧摇摆，白浊在套内荡漾，浓重的腥味萦绕在头部周围挥之不去
头发避孕套装饰4,头发上密密麻麻地挂着许多用过的避孕套，发束几乎被沉重的套子坠得变了形，白色的套体层层叠叠地垂在耳侧和颈边，稍一转头就哗啦啦地互相拍打，整个头部都被精液的气味所笼罩
头发避孕套装饰5,数不清的避孕套将整头秀发装点成了淫靡的白色帘幕，每一缕头发上都坠着装满精液的套子，沉重得让脖颈难以挺直，套体间不断碰撞摩擦，浓稠的白浊在眼前晃动，腥臭味浓烈得令人头晕目眩
帽子避孕套装饰1,帽檐上系着一个用过的避孕套，鼓胀的套体像个突兀的白色装饰物垂在额前，里面的精液随着走动轻轻摇荡，时刻散发着淡淡的腥味
帽子避孕套装饰2,帽子上挂着两个装满精液的避孕套，一左一右地垂在帽檐两侧，像一对奇特的白色流苏，晃动时套内的白浊清晰可见
帽子避孕套装饰3,帽子的边缘被好几个用过的避孕套环绕装点，沉甸甸的套体把帽檐坠得微微下塌，白浊在半透明的套内荡漾，让这顶帽子变成了淫靡的展示台
帽子避孕套装饰4,许多避孕套密集地挂满了帽子的四周，层层叠叠的白色套体几乎遮住了帽子原本的样子，每次点头都引起一片摇晃碰撞，浓重的腥味从头顶弥漫开来
帽子避孕套装饰5,帽子已经完全被数不清的避孕套所覆盖，像顶着一头白色的淫靡王冠，装满精液的套子从帽檐垂落到眼前，沉重得让帽子随时要滑落，浓烈的腥臭味笼罩着整个头部
眼镜避孕套装饰1,眼镜的镜腿上系着一个用过的避孕套，装满白浊的套体垂在耳边轻轻摇晃，视线的余光总能瞥见那抹晃动的乳白色
眼镜避孕套装饰2,眼镜两侧的镜腿上各挂着一个避孕套，沉甸甸的套子垂在脸颊两旁，随着头部动作拍打着脸侧，腥味直往鼻子里钻
眼镜避孕套装饰3,好几个用过的避孕套系在镜框和镜腿上，白浊的套体在视野边缘晃来晃去，眼镜被坠得不断下滑，不得不频频用手扶正
眼镜避孕套装饰4,眼镜上挂满了装着精液的避孕套，镜框被压得歪斜变形，垂落的套体几乎遮挡了半边视野，透过镜片看到的世界都蒙上了一层乳白色的阴影
眼镜避孕套装饰5,数不清的避孕套将整副眼镜彻底淹没，沉重的套子把眼镜坠得几乎挂不住，白浊在眼前层层叠叠地晃动，视野完全被淫靡的乳白色所占据，腥臭味熏得双眼发酸
耳饰避孕套装饰1,一个用过的避孕套像耳坠一样系在耳垂旁，装满精液的套体贴着颈侧轻轻摇晃，冰凉黏腻的触感时不时擦过皮肤
耳饰避孕套装饰2,两只耳朵旁各垂着一个装满白浊的避孕套，像一对份量十足的淫靡耳环，转头时套体拍打在脸颊和颈侧，留下若有若无的湿痕
耳饰避孕套装饰3,耳边挂着好几个用过的避孕套，沉重的套体把耳朵坠得发疼，白浊在耳侧荡漾摇晃，浓重的腥味不断钻进鼻腔
耳饰避孕套装饰4,许多避孕套层层叠叠地挂在双耳周围，套体互相碰撞发出黏腻的声响，耳垂被坠得又红又肿，颈侧的皮肤被套子反复擦过，敏感得直起鸡皮疙瘩
耳饰避孕套装饰5,数不清的避孕套把双耳装点成了两串沉重的白色葡萄，装满精液的套子从耳际垂到肩头，脑袋稍一晃动就是一片摇荡，耳朵被坠得失去知觉，腥臭味浓得让人无法呼吸
脖饰避孕套装饰1,一个用过的避孕套系在颈间，像一枚特殊的吊坠垂在锁骨前，装满精液的套体贴着胸口的皮肤，随着呼吸轻轻起伏
脖饰避孕套装饰2,颈间挂着两个装满白浊的避孕套，像一条淫靡的项链垂在胸前，套体互相碰撞摩擦，冰凉的触感让皮肤微微战栗
脖饰避孕套装饰3,好几个用过的避孕套串在颈间，沉甸甸地垂落在胸口，走动时套子在锁骨和胸前拍打摇晃，白浊在套内清晰地荡漾，散发着浓重的腥味
脖饰避孕套装饰4,许多避孕套密密地环绕在脖颈上，像一条沉重的白色璎珞，层层垂落到胸前，套体的重量勒得脖颈发酸，每一次呼吸都伴随着黏腻的碰撞声
脖饰避孕套装饰5,数不清的避孕套将整个脖颈缠绕成了白色的淫靡颈枷，装满精液的套子从颈间一直垂到腹前，沉重得压弯了肩膀，白浊的气味从胸前源源不断地涌上鼻尖，令人意识恍惚
口饰避孕套装饰1,一个用过的避孕套系在口部的饰物上，装满白浊的套体垂在下巴前晃动，浓重的腥味正对着鼻息，每次呼吸都无法逃避
口饰避孕套装饰2,口部的饰物上挂着两个避孕套，沉甸甸的套体贴着下巴和颈前摇晃，说话时套子随着动作拍打，白浊的气味直冲口鼻
口饰避孕套装饰3,好几个用过的避孕套坠在口部的饰物下方，像一挂白色的淫靡流苏遮在唇前，套内的精液随着呼吸的节奏轻轻荡漾，嘴唇偶尔会触碰到冰凉黏腻的套体
口饰避孕套装饰4,许多避孕套层层挂在口部的饰物上，垂落的套体几乎遮住了整个下半张脸，白浊在眼前晃动，腥味浓得让唇齿间都仿佛残留着味道
口饰避孕套装饰5,数不清的避孕套将口部装点成了白色的淫靡面帘，装满精液的套子从唇边垂落到胸前，沉重得拉扯着口部的饰物，呼吸完全被腥臭味所充满，嘴唇不断被黏腻的套体擦过
上衣避孕套装饰1,上衣的衣角处系着一个用过的避孕套，鼓胀的套体随着步伐轻轻拍打着衣料，在衣摆上留下一小片若隐若现的湿痕
上衣避孕套装饰2,上衣的两侧衣角各挂着一个装满精液的避孕套，像一对下坠的白色铃铛，走动时在腰际摇晃碰撞，隔着衣料也能感到那份沉甸甸的存在感
上衣避孕套装饰3,好几个用过的避孕套系在上衣的纽扣和衣角上，白浊的套体在胸前和腰间摇荡，衣料被坠得微微变形，精液的腥味渗进纤维里挥之不去
上衣避孕套装饰4,整件上衣挂满了许多避孕套，从领口到下摆缀满了装着白浊的套子，衣服被坠得紧贴着身体，每走一步都是一片黏腻的碰撞声，整个上身都笼罩在浓重的腥味里
上衣避孕套装饰5,数不清的避孕套将整件上衣彻底覆盖，密密麻麻的白色套体像鳞片一样层层叠叠，衣服沉重得下坠变形，精液在无数套内同时荡漾，稍一动作就哗啦作响，腥臭味浓烈得如同实质
胸衣避孕套装饰1,胸衣的肩带上系着一个用过的避孕套，装满精液的套体贴着胸口的肌肤垂落，冰凉黏腻的触感让胸前敏感地起伏
胸衣避孕套装饰2,胸衣两侧的肩带上各挂着一个避孕套，沉甸甸的套体随着呼吸在胸前摇晃，套口勒着的痕迹隔着薄薄的布料压在皮肤上
胸衣避孕套装饰3,好几个用过的避孕套系在胸衣的肩带和边缘，白浊的套体垂在胸前的沟壑间摇荡，每一次深呼吸都让套子在敏感的肌肤上滑动摩擦
胸衣避孕套装饰4,胸衣上密集地挂着许多避孕套，装满白浊的套体几乎盖住了整个胸口，沉重的坠感拉扯着肩带深深勒进肩头，胸前的肌肤被冰凉的套体反复蹭过，泛起了淫靡的红晕
胸衣避孕套装饰5,数不清的避孕套将胸衣装点成了白色的淫靡铠甲，层层叠叠的套体随着胸部的起伏同时摇荡，肩带被沉重的精液坠得深陷进肉里，胸前完全被黏腻冰凉的触感和浓烈的腥臭味所支配
手套避孕套装饰1,手套的腕口处系着一个用过的避孕套，装满白浊的套体垂在手腕下方，抬手时套子在腕间打转摇晃
手套避孕套装饰2,两只手套的腕口各挂着一个避孕套，沉甸甸的套体随着手部动作甩动，做任何事情都能感到腕间那份晃荡的重量
手套避孕套装饰3,好几个用过的避孕套系在手套的腕口和指根处，白浊的套体在手边摇荡碰撞，抬手投足间套子拍打着小臂，精液的腥味始终萦绕在手边
手套避孕套装饰4,手套上挂满了许多装着精液的避孕套，双手像戴上了沉重的白色枷锁，每个动作都带起一片黏腻的摇晃，指尖所及之处都弥漫着浓重的腥味
手套避孕套装饰5,数不清的避孕套将双手的手套彻底覆盖，层层叠叠的套体把双手裹成了两团白色的淫靡花束，沉重得连抬手都变得困难，白浊随着手部动作四处荡漾，腥臭味浓烈刺鼻
下衣避孕套装饰1,下衣的裙摆处系着一个用过的避孕套，鼓胀的套体贴着大腿外侧轻轻摆动，走路时能感到那黏腻的分量蹭过腿际
下衣避孕套装饰2,下衣的两侧各挂着一个装满精液的避孕套，像一对沉坠的白色饰物在胯边摇晃，套体不时拍打在大腿上，留下淡淡的湿痕
