cid,talk_id,premise
配表id,所属口上id,前提id
str,str,str
0,0,0
口上前提表,,
0,0,high_1
1,1,high_1
2,2,high_1
3,3,high_1
4,4,high_1
5,5,high_1
6,6,high_1
7,7,high_1
8,8,high_1
9,9,high_1
10,10,high_1
11,11,high_1
12,12,high_1
13,13,high_1
14,14,high_1
15,15,high_1
16,16,high_1
17,17,high_1
18,18,high_1
19,19,high_1
20,20,high_1
21,21,high_1
22,22,high_1
23,23,high_1
30,30,high_1
31,31,high_1
32,32,high_1
33,33,high_1
34,34,high_1
35,35,high_1
36,36,high_1
37,37,high_1
38,38,high_1
39,39,high_1
40,40,high_1
41,41,high_1
42,42,high_1
43,43,high_1
44,44,high_1
45,45,high_1
46,46,high_1
47,47,high_1
50,50,high_1
51,51,high_1
52,52,high_1
