cid,premise_name,premise_type,premise

debug_mode_on,DEBUG_MODE_ON,系统状态,现在是debug模式
debug_mode_off,DEBUG_MODE_OFF,系统状态,现在不是debug模式
is_h,IS_H,系统状态,当前为H模式
not_h,NOT_H,系统状态,当前不是H模式
option_fater,# OPTION_FATER,系统状态,选项的父事件
option_son,OPTION_SON,系统状态,选项的子事件

sys_0,IS_PLAYER,指令_触发与交互,玩家触发的该指令
sys_1,NO_PLAYER,指令_触发与交互,NPC触发的该指令
sys_2,HAVE_TARGET,指令_触发与交互,拥有交互对象
sys_3,HAVE_NO_TARGET,指令_触发与交互,没有交互对象
sys_4,TARGET_IS_PLAYER,指令_触发与交互,交互对象是玩家角色
sys_5,TARGET_NO_PLAYER,指令_触发与交互,交互对象不是玩家
sex_0,IS_MAN,指令_触发与交互,触发该指令的是男性
sex_1,IS_WOMAN,指令_触发与交互,触发该指令的是女性
instruct_judge_low_obscenity,INSTRUCT_JUDGE_LOW_OBSCENITY,指令_触发与交互,当前实行值足以轻度性骚扰
instruct_judge_high_obscenity,INSTRUCT_JUDGE_HIGH_OBSCENITY,指令_触发与交互,当前实行值足以重度性骚扰
instruct_judge_h,INSTRUCT_JUDGE_H,指令_触发与交互,当前实行值足以H

high_1,HIGH_1,指令_权重,优先度为1的空白前提
high_2,HIGH_2,指令_权重,优先度为2的空白前提
high_5,HIGH_5,指令_权重,优先度为5的空白前提
high_10,HIGH_10,指令_权重,优先度为10的空白前提
high_999,HIGH_999,指令_权重,优先度为999的空白前提

last_cmd_makeing_out,LAST_CMD_MAKING_OUT,指令_前指令,前一指令为身体爱抚_口上触发用
last_cmd_kiss_h,LAST_CMD_KISS_H,指令_前指令,前一指令为接吻（H）_口上触发用
last_cmd_breast_caress,LAST_CMD_BREAST_CARESS,指令_前指令,前一指令为胸爱抚_口上触发用
last_cmd_twiddle_nipples,LAST_CMD_TWIDDLE_NIPPLES,指令_前指令,前一指令为玩弄乳头_口上触发用
last_cmd_breast_sucking,LAST_CMD_BREAST_SUCKING,指令_前指令,前一指令为舔吸乳头_口上触发用
