cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
事件uid（文件名自动加前缀）,部门id（Facility.csv中type为-1的区块cid，15为教育区）,事件主体（0无主体的部门事务/1角色）,分类内子桶键（期末事件固定填200，这是日常养成事件永远不会翻的保留桶，阶段区分改写进premise）,是否里程碑（仅作者标注，不影响触发）,入队权重,触发前提，&连接,事件正文,选项1文本，空则该选项不存在,选项1前提，&连接，不满足则置灰,选项1前提不满足时显示的原因,选项1的后果提示（只写方向不写数值）,选项1结算，&连接，复用CVE token,选项2文本，空则该选项不存在,选项2前提，&连接，不满足则置灰,选项2前提不满足时显示的原因,选项2的后果提示（只写方向不写数值）,选项2结算，&连接，复用CVE token,选项3文本，空则该选项不存在,选项3前提，&连接，不满足则置灰,选项3前提不满足时显示的原因,选项3的后果提示（只写方向不写数值）,选项3结算，&连接，复用CVE token,选项4文本，空则该选项不存在,选项4前提，&连接，不满足则置灰,选项4前提不满足时显示的原因,选项4的后果提示（只写方向不写数值）,选项4结算，&连接，复用CVE token
str,int,int,int,int,int,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
期末事件,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,1,200,0,4,CVP_A1_Growth|7_E_0,成绩单是她自己抢先拿回来的。整张纸平平整整地压在两本书中间，一点折痕都没有。她把书翻开，把纸推到你面前，然后退开半步，装作在看别的地方。,一栏一栏念出来,,,好感＋＋，倾向：开放,CVE_A1_F_G_150&CVE_A1_X_G_12&CVE_A1_Growth|13_G_3,只说一句「做得好」,,,好感＋，倾向：坚强,CVE_A1_F_G_100&CVE_A1_Growth|11_G_3,问她下学期想加哪门,,,信赖＋＋，倾向：勤劳,CVE_A1_F_G_80&CVE_A1_X_G_18&CVE_A1_Growth|10_G_4,把成绩单贴在办公室墙上,,,好感＋＋＋，倾向：开放＋＋,CVE_A1_F_G_200&CVE_A1_Growth|13_G_5
2,15,1,200,0,4,CVP_A1_Growth|7_E_0&CVP_A1_T|102_E_1,她把成绩单举得比自己还高，一路举到办公室门口才想起来要敲门。纸的下缘已经被手指捏软了。「老师说这个是很好的。」她说完就盯着你，等一个确认。,蹲下来和她平视，说确实很好,,,好感＋＋，照料＋,CVE_A1_F_G_160&CVE_A1_Growth|20_G_5,把她抱起来举高,,,好感＋＋＋，倾向：热情,CVE_A1_F_G_200&CVE_A1_Growth|12_G_4,问她最喜欢哪门课,,,信赖＋，倾向：勤劳,CVE_A1_X_G_15&CVE_A1_Growth|10_G_3,,,,,
3,15,1,200,0,4,CVP_A1_Growth|7_E_0&CVP_A1_T|103_E_1,她把成绩单折成四折放在口袋里，被问起时才拿出来，展开时先把折痕捋平。「没什么特别的。」她说。但那几门涨上去的课，她一门也没漏掉地标了记号。,顺着记号一门门问过去,,,信赖＋＋，好感＋，倾向：开放,CVE_A1_X_G_20&CVE_A1_F_G_100&CVE_A1_Growth|13_G_3,说她不用装作无所谓,,,好感＋＋，倾向：热情,CVE_A1_F_G_180&CVE_A1_Growth|12_G_4,提醒她别把弦绷太紧,,,好感＋，照料＋＋,CVE_A1_F_G_120&CVE_A1_Growth|20_G_8,,,,,
4,15,1,200,0,3,CVP_A1_Growth|7_E_0&self_have_classmate,期末的成绩贴出来那天，几个孩子挤在告示板前。她的名字在靠前的位置，旁边那个孩子看了很久没说话。她没有站在那里等人来夸，先一步走开了。,说她做得对,,,倾向：坚强＋＋，好感＋,CVE_A1_Growth|11_G_5&CVE_A1_F_G_80,让她回去和那个孩子说句话,,,倾向：热情＋＋，好感＋,CVE_A1_Growth|12_G_5&CVE_A1_F_G_100,什么也不说，陪她走一段,,,好感＋＋，信赖＋,CVE_A1_F_G_150&CVE_A1_X_G_10,,,,,
5,15,1,200,0,4,CVP_A1_Growth|7_E_1,成绩单摊在桌上，她用手指从上往下一栏栏点过去，点到中间那几门时慢了下来。「这几门就是这样了。」她说，语气里说不上是遗憾还是认命。,说中间那几门也是本事,,,好感＋，倾向：坚强,CVE_A1_F_G_120&CVE_A1_Growth|11_G_3,陪她把下学期的课重排一遍,,,信赖＋＋，倾向：勤劳＋＋,CVE_A1_X_G_20&CVE_A1_Growth|10_G_5,问她自己想不想改,,,信赖＋，倾向：开放,CVE_A1_Growth|13_G_4&CVE_A1_X_G_12,,,,,
6,15,1,200,0,4,CVP_A1_Growth|7_E_1&CVP_A1_T|102_E_1,她拿着成绩单在门口站了一会儿才进来。「有一门是最高的哦。」她先说了这句，然后才把整张纸递过来，另外几门她一句没提。,先夸那门最高的,,,好感＋＋,CVE_A1_F_G_160,把没提的那几门也一起看完,,,信赖＋＋，倾向：坚强,CVE_A1_X_G_18&CVE_A1_Growth|11_G_4,说她不用只挑好的说,,,倾向：开放＋＋，好感＋,CVE_A1_Growth|13_G_5&CVE_A1_F_G_80,,,,,
