cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
事件uid（文件名自动加前缀）,部门id（Facility.csv中type为-1的区块cid，15为教育区）,事件主体（0无主体的部门事务/1角色）,分类内子桶键（养成填成长阶段素质id：0全成长阶段/101婴儿/102幼女/103萝莉/104少女）,是否里程碑（仅作者标注，不影响触发）,入队权重,触发前提，&连接,事件正文,选项1文本，空则该选项不存在,选项1前提，&连接，不满足则置灰,选项1前提不满足时显示的原因,选项1的后果提示（只写方向不写数值）,选项1结算，&连接，复用CVE token,选项2文本，空则该选项不存在,选项2前提，&连接，不满足则置灰,选项2前提不满足时显示的原因,选项2的后果提示（只写方向不写数值）,选项2结算，&连接，复用CVE token,选项3文本，空则该选项不存在,选项3前提，&连接，不满足则置灰,选项3前提不满足时显示的原因,选项3的后果提示（只写方向不写数值）,选项3结算，&连接，复用CVE token,选项4文本，空则该选项不存在,选项4前提，&连接，不满足则置灰,选项4前提不满足时显示的原因,选项4的后果提示（只写方向不写数值）,选项4结算，&连接，复用CVE token
str,int,int,int,int,int,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
幼女期养成事件,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,1,102,1,30,CVP_A1_Growth|0_GE_1,她第一次坐进理论教室，回来的时候整个人都是懵的。她说黑板上的字她一个都不认识，旁边的人都在低头写字，只有她不知道该写什么。,告诉她第一次都这样，慢慢来,,,亲密＋，倾向：脆弱,CVE_A1_F_G_20&CVE_A1_X_G_3&CVE_A1_Growth|11_L_1&CVE_A1_Growth|20_G_2,当天晚上就陪她把字认了一遍,,,倾向：勤劳，照料＋,CVE_A1_F_G_15&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,让她自己想办法跟上,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_2,带她去找教她的那位干员聊聊,CVP_A1_X_GE_25,她还不够信任你,倾向：热情，亲密＋,CVE_A1_F_G_18&CVE_A1_X_G_4&CVE_A1_Growth|12_G_3
2,15,1,102,0,12,,母亲带着她去岗位见学，中途她突然坐在地上不肯走了，说什么也不听，把带来的小玩具一件件往地上扔。,蹲下来问她到底怎么了,,,亲密＋，倾向：开放,CVE_A1_F_G_15&CVE_A1_X_G_2&CVE_A1_Growth|13_G_2&CVE_A1_Growth|20_G_2,板起脸让她把东西一件件捡回来,,,好感小降，倾向：勤劳,CVE_A1_F_L_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_1,先抱走她，等她自己平静下来,,,照料＋，倾向：脆弱,CVE_A1_F_G_10&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_2,,,,,
3,15,1,102,0,12,self_have_sibling_child,两个孩子为了同一个玩具吵了起来，谁都不肯松手，最后干脆一人拽着一头，僵在那里瞪着对方，谁也不说话。,让她先让给对方,,,对方好感＋，倾向：羞耻,CVE_A1_F_L_5&CVE_A1_Growth|13_L_2&CVE_A2_F_G_10,让她们自己商量出个办法,,,倾向：坚强，倾向：热情,CVE_A1_F_G_5&CVE_A1_Growth|11_G_2&CVE_A1_Growth|12_G_1&CVE_A2_F_G_5,再拿一个一模一样的来,,,亲密＋，对方好感＋,CVE_A1_F_G_15&CVE_A2_F_G_15&CVE_A1_Growth|20_G_1,把玩具收走，谁也别玩,,,好感下降，倾向：孤僻,CVE_A1_F_L_15&CVE_A1_Growth|12_L_2&CVE_A2_F_L_10
4,15,1,102,0,10,,今天有外来的访客到访。她躲在你身后，攥着你的衣角，无论怎么叫都不肯出来打招呼，只从缝隙里偷偷往外看。,由着她躲，替她跟客人解释,,,亲密＋，倾向：羞耻,CVE_A1_F_G_12&CVE_A1_Growth|13_L_2&CVE_A1_Growth|11_L_1&CVE_A1_Growth|20_G_1,把她牵出来，教她怎么问好,,,倾向：开放，倾向：热情,CVE_A1_F_G_5&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,让她自己决定要不要出来,,,信赖＋，倾向：坚强,CVE_A1_F_G_8&CVE_A1_X_G_3&CVE_A1_Growth|11_G_2,,,,,
5,15,1,102,1,25,CVP_A1_Growth|3_L_35,宿舍管理员给她分了房间，门牌上贴着新写的名字。她抱着那只旧兔子站在门口，没有进去，回头问你：以后就不回育儿室了吗。,牵着她的手，一起走进去,,,亲密＋＋，倾向：坚强,CVE_A1_F_G_22&CVE_A1_X_G_4&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_3,告诉她想回去随时可以回去看看,,,照料＋，倾向：脆弱,CVE_A1_F_G_15&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3,让她自己推开那扇门,,,信赖＋，倾向：坚强,CVE_A1_F_G_10&CVE_A1_X_G_5&CVE_A1_Growth|11_G_3,,,,,
6,15,1,102,1,20,CVP_A1_Growth|3_L_35,搬进新房间的第一晚，她过了熄灯时间还没睡。你去看的时候，她坐在床上，被子拉到下巴，说这里太安静了。,陪她坐到睡着,,,亲密＋＋，倾向：脆弱，倾向：羞耻,CVE_A1_F_G_20&CVE_A1_Growth|11_L_3&CVE_A1_Growth|20_G_4&CVE_A1_Growth|13_L_2,给她留一盏小灯，然后出去,,,照料＋，倾向：坚强,CVE_A1_F_G_12&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_2,把她的旧兔子从育儿室取回来,,,亲密＋，照料＋＋,CVE_A1_F_G_16&CVE_A1_Growth|20_G_4&CVE_A1_Growth|11_L_1,,,,,
7,15,1,102,0,11,CVP_A1_Growth|3_L_35,她把所有玩具都搬上了床，从枕头到床尾摆了整整一排，自己缩在中间那一小块地方睡。,由着她，睡得下就行,,,亲密＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_2,陪她把玩具挪到床边的架子上,,,倾向：勤劳，照料＋,CVE_A1_F_G_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,只准留一个，剩下的收起来,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_3,,,,,
8,15,1,102,0,10,CVP_A1_Growth|3_L_35,她在走廊上迷了路。宿舍区的门牌长得都差不多，她数着数着就数岔了，蹲在一扇不是自己的门前不肯动。,带她把这一层走一遍，认清位置,,,倾向：勤劳，亲密＋,CVE_A1_F_G_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,在她的门上贴一个只有她认得的记号,,,照料＋＋，倾向：热情,CVE_A1_F_G_12&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_4,让她自己再找一次,,,倾向：坚强，好感小降,CVE_A1_F_L_5&CVE_A1_Growth|11_G_3,,,,,
9,15,1,102,0,10,,她开始学着自己关灯。够不到开关，就搬来一把椅子踩上去，回头很得意地看你，脚下的椅子晃了一下。,扶住椅子，让她自己关,,,倾向：坚强，照料＋,CVE_A1_F_G_12&CVE_A1_Growth|11_G_3&CVE_A1_Growth|20_G_2,让后勤给她的房间加一个矮开关,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,抱起来让她够，然后没收椅子,,,亲密＋，倾向：脆弱,CVE_A1_F_G_14&CVE_A1_Growth|11_L_2,,,,,
10,15,1,102,0,10,,她的房间乱得下不去脚：衣服堆在椅子上，画纸铺了一地，桌上还摊着吃了一半的点心。她自己倒是坐在正中央玩得高兴。,陪她一起收，边收边教她怎么归位,,,倾向：勤劳，亲密＋,CVE_A1_F_G_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,定个规矩：睡前必须收干净,,,好感小降，倾向：勤劳,CVE_A1_F_L_6&CVE_A1_Growth|10_G_4&CVE_A1_Growth|11_G_1,随她去，房间是她自己的,,,倾向：开放，倾向：懒散,CVE_A1_F_G_10&CVE_A1_Growth|13_G_2&CVE_A1_Growth|10_L_2,,,,,
11,15,1,102,0,10,CVP_A1_Growth|3_GE_50,她把自己画的一张画贴在了房门内侧，正对着床。画上有三个人，中间那个个子最高，手里拿着一叠纸。,问她画的是谁,,,亲密＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3,帮她把画贴正，再压上一层膜,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,把画取下来，带回办公室贴着,,,亲密＋＋，信赖＋,CVE_A1_F_G_20&CVE_A1_X_G_5&CVE_A1_Growth|12_G_2,,,,,
12,15,1,102,0,10,CVP_A1_Growth|3_GE_50,她说自己房间的窗帘颜色不好看，想换一块。宿舍管理员说这不合规矩，一层楼的窗帘都是统一的。,去跟管理员说一声，特批一块,,,亲密＋＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3,告诉她规矩就是规矩,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_L_1,让她自己去找管理员谈,CVP_A1_X_GE_50,她还没有勇气一个人去找大人谈事情,信赖＋＋，倾向：开放,CVE_A1_F_G_10&CVE_A1_X_G_6&CVE_A1_Growth|13_G_4&CVE_A1_Growth|11_G_2,,,,,
13,15,1,102,1,20,,她第一次学写自己的名字。笔画顺序全乱，最后一横拖出了格子，但她还是把那张纸举到你面前，手都在抖。,认真夸她，把这张纸收好,,,亲密＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A1_Growth|10_G_1,握着她的手，把笔画顺序教对,,,倾向：勤劳，照料＋,CVE_A1_F_G_14&CVE_A1_Growth|10_G_4&CVE_A1_Growth|20_G_3,让她再写十遍,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_5&CVE_A1_Growth|11_G_1,,,,,
14,15,1,102,0,11,self_have_any_course,上课的干员今天特地绕到办公室来，说这孩子今天在课上答对了一道没教过的题，还问了她三个问题。,当着老师的面夸她,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3&CVE_A1_Growth|10_G_1,问清楚是哪道题，回去跟她一起复盘,,,倾向：勤劳，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|10_G_4,只说了句知道了，别让她太得意,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_3,,,,,
15,15,1,102,0,11,CVP_A1_Growth|1_GE_2&self_have_any_course,教她的干员委婉地提了一句：这孩子最近缺课有点多。问她原因，她低着头说教室太远了，走过去腿疼。,陪她走一次那段路，看看到底多远,,,亲密＋，倾向：勤劳,CVE_A1_F_G_16&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,把她的课挪到近一点的教室,,,照料＋＋，倾向：懒散,CVE_A1_F_G_12&CVE_A1_Growth|10_L_2&CVE_A1_Growth|20_G_4,告诉她腿疼也得去,,,好感下降，倾向：坚强,CVE_A1_F_L_12&CVE_A1_Growth|11_G_4&CVE_A1_Growth|10_G_2,,,,,
16,15,1,102,0,10,self_have_any_course,她在课上坐不住。四十分钟里换了七八个姿势，最后干脆躺在椅子上，被老师点了三次名。,跟老师商量，中间给她加一次活动,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_4,跟她约好：坐满一节课就带她去玩,,,亲密＋，倾向：勤劳,CVE_A1_F_G_16&CVE_A1_Growth|10_G_3,让她自己去跟老师道歉,,,倾向：坚强，信赖＋,CVE_A1_F_G_6&CVE_A1_X_G_4&CVE_A1_Growth|11_G_3,,,,,
17,15,1,102,0,10,self_have_any_course,她的课本上画满了小人。空白的地方全被占了，连插图旁边都添了几笔，那几个小人还在一页页里连成了故事。,让她讲讲这个故事,,,亲密＋＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_1,给她一本专门用来画的本子,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,让她把课本擦干净,,,好感小降，倾向：勤劳,CVE_A1_F_L_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|13_L_1,,,,,
18,15,1,102,1,16,self_have_any_course,她第一次带着作业回来找你。纸上是一排歪歪扭扭的数字，她说老师讲的时候她走神了，现在一道也不会。,从头给她讲一遍,,,亲密＋，倾向：勤劳,CVE_A1_F_G_16&CVE_A1_Growth|10_G_4&CVE_A1_Growth|20_G_2,让她先自己试，卡住了再问你,,,倾向：坚强，倾向：勤劳,CVE_A1_F_G_8&CVE_A1_Growth|11_G_3&CVE_A1_Growth|10_G_2,告诉她明天去问老师,,,好感小降，倾向：开放,CVE_A1_F_L_6&CVE_A1_Growth|13_G_3,,,,,
19,15,1,102,0,10,self_have_any_course&CVP_A1_Growth|3_GE_50,教育区办了一场识字比赛。她的名字在名单上排在中间，比赛前一晚跑来问你：要是输了怎么办。,告诉她输了也没关系,,,亲密＋，倾向：脆弱,CVE_A1_F_G_16&CVE_A1_Growth|11_L_2,陪她把要考的字过一遍,,,倾向：勤劳，照料＋,CVE_A1_F_G_12&CVE_A1_Growth|10_G_4&CVE_A1_Growth|20_G_3,告诉她怕就对了，怕完还得上,,,倾向：坚强，信赖＋,CVE_A1_F_G_8&CVE_A1_X_G_4&CVE_A1_Growth|11_G_4,,,,,
20,15,1,102,0,9,self_have_any_course,她把老师说的话原封不动地搬回来教你：手要这样放，坐要这样坐。说完还很严肃地问你记住了没有。,配合她，认真地照做一遍,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3&CVE_A1_Growth|13_G_1,反过来考她几个问题,,,倾向：勤劳，信赖＋,CVE_A1_F_G_10&CVE_A1_X_G_3&CVE_A1_Growth|10_G_3,笑着敷衍过去,,,好感小降，倾向：孤僻,CVE_A1_F_L_8&CVE_A1_Growth|12_L_2,,,,,
21,15,1,102,0,10,self_have_any_course,她说想跟别的孩子坐一起上课，问能不能把座位换到后排。老师那边说，后排的孩子上课最爱说话。,同意换，让她自己去处,,,倾向：开放，亲密＋,CVE_A1_F_G_14&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,不换，前排听得清楚,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_3&CVE_A1_Growth|13_L_1,换，但说好成绩掉了就换回来,,,倾向：勤劳，倾向：开放,CVE_A1_F_G_8&CVE_A1_Growth|10_G_2&CVE_A1_Growth|13_G_2,,,,,
22,15,1,102,0,9,self_have_any_course,上完一节实践课，她的袖口糊了一层黏答答的东西，人却兴奋得停不下来，一路说个不停。,听她讲完，衣服等会儿再洗,,,亲密＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3,先带她把手洗干净,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,让她把今天学的写下来,,,倾向：勤劳，好感小降,CVE_A1_F_L_4&CVE_A1_Growth|10_G_4,,,,,
23,15,1,102,0,9,self_have_any_course,她在教室门口徘徊了很久也不进去。问她怎么了，她说今天要念课文，她怕自己念错。,在门外陪她先念一遍,,,亲密＋，倾向：勤劳,CVE_A1_F_G_16&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,推她进去，念错也没人笑她,,,倾向：坚强，倾向：开放,CVE_A1_F_G_6&CVE_A1_Growth|11_G_3&CVE_A1_Growth|13_G_2,去跟老师说，今天先别叫她,,,照料＋，倾向：羞耻，倾向：孤僻,CVE_A1_F_G_12&CVE_A1_Growth|13_L_3&CVE_A1_Growth|20_G_2&CVE_A1_Growth|12_L_1,,,,,
24,15,1,102,0,9,self_have_any_course&CVP_A1_Growth|3_GE_50,大礼堂有一场面向全岛的公开课。她挤在最后一排，回来后一晚上都在问那些没听懂的词是什么意思。,一个一个词讲给她听,,,倾向：勤劳，亲密＋,CVE_A1_F_G_16&CVE_A1_Growth|10_G_4&CVE_A1_Growth|20_G_2,下次带她坐到前排去,,,亲密＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_3,让她自己去问讲课的干员,CVP_A1_X_GE_50,她还不敢一个人去找不熟的干员,信赖＋＋，倾向：开放,CVE_A1_F_G_8&CVE_A1_X_G_6&CVE_A1_Growth|13_G_4,,,,,
25,15,1,102,0,9,self_have_any_course,她把课上发的小贴纸攒了一整页，走到哪儿带到哪儿。今天有一张不见了，她翻遍了房间，急得快哭了。,陪她一起找,,,亲密＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_3,跟老师要一张新的补上,,,照料＋，倾向：懒散,CVE_A1_F_G_10&CVE_A1_Growth|10_L_1&CVE_A1_Growth|20_G_2,告诉她丢了就是丢了,,,好感小降，倾向：坚强,CVE_A1_F_L_10&CVE_A1_Growth|11_G_3,,,,,
26,15,1,102,0,9,self_have_any_course,老师说她这几天上课总看着窗外。问她在看什么，她说在看外面停着的那些运输车，想知道它们要去哪里。,带她去机库看一次,,,亲密＋＋，倾向：开放,CVE_A1_F_G_20&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,告诉她那些地方以后都会去,,,信赖＋，倾向：坚强,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|11_G_2,让她先把课听完再想别的,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_4,,,,,
27,15,1,102,0,11,,食堂的干员来告状：这孩子把青菜一根根挑出来，全堆在了盘子边上，堆得整整齐齐，像是在示威。,陪她一起吃，你也吃一口给她看,,,亲密＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_3,让厨房把青菜换个做法,,,照料＋＋，倾向：懒散,CVE_A1_F_G_16&CVE_A1_Growth|10_L_2&CVE_A1_Growth|20_G_4,不吃完不许离桌,,,好感下降，倾向：坚强,CVE_A1_F_L_12&CVE_A1_Growth|11_G_3&CVE_A1_Growth|10_G_1,,,,,
28,15,1,102,0,10,,午睡时间到了，她在床上翻来覆去，一会儿要喝水一会儿要上厕所，就是不肯闭眼。,坐在床边给她讲个不长的故事,,,亲密＋，照料＋，倾向：懒散,CVE_A1_F_G_16&CVE_A1_Growth|20_G_3&CVE_A1_Growth|10_L_1,告诉她不睡就不许下午出去玩,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_1,既然睡不着，就带她去走走,,,亲密＋＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3&CVE_A1_Growth|10_L_1,,,,,
