cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
事件uid（文件名自动加前缀）,部门id（Facility.csv中type为-1的区块cid，15为教育区）,事件主体（0无主体的部门事务/1角色）,分类内子桶键（养成填成长阶段素质id：0全成长阶段/101婴儿/102幼女/103萝莉/104少女）,是否里程碑（仅作者标注，不影响触发）,入队权重,触发前提，&连接,事件正文,选项1文本，空则该选项不存在,选项1前提，&连接，不满足则置灰,选项1前提不满足时显示的原因,选项1的后果提示（只写方向不写数值）,选项1结算，&连接，复用CVE token,选项2文本，空则该选项不存在,选项2前提，&连接，不满足则置灰,选项2前提不满足时显示的原因,选项2的后果提示（只写方向不写数值）,选项2结算，&连接，复用CVE token,选项3文本，空则该选项不存在,选项3前提，&连接，不满足则置灰,选项3前提不满足时显示的原因,选项3的后果提示（只写方向不写数值）,选项3结算，&连接，复用CVE token,选项4文本，空则该选项不存在,选项4前提，&连接，不满足则置灰,选项4前提不满足时显示的原因,选项4的后果提示（只写方向不写数值）,选项4结算，&连接，复用CVE token
str,int,int,int,int,int,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
跨阶段养成事件,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,1,104,1,1,,大礼堂里挂上了横幅。她穿着熨过的制服站在台下，手里攥着一卷纸，从后台的缝隙里一遍遍往观众席看。这是罗德岛第一次为一个在这里长大的孩子办毕业典礼。,亲自上台，把毕业证交到她手上,,,好感＋＋，信赖＋＋,CVE_A1_F_G_200&CVE_A1_X_G_20&CVE_A1_Growth|12_G_3,坐在台下，看着她自己走完全程,,,倾向：坚强,CVE_A1_F_G_80&CVE_A1_X_G_10&CVE_A1_Growth|11_G_4,请她的母亲一起上台,,,好感＋，照料＋＋,CVE_A1_F_G_150&CVE_A1_X_G_15&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_10,让她自己在台上说几句,CVP_A1_Growth|13_G_0,她还太怕在人前说话,倾向：开放＋＋,CVE_A1_F_G_120&CVE_A1_X_G_12&CVE_A1_Growth|13_G_5&CVE_A1_Growth|12_G_2
2,15,1,104,1,1,,典礼散场后，她一个人留在空掉的大礼堂里。你走过去的时候，她正抬头看着高处的窗，说自己好像还没做好当大人的准备。,告诉她没人做好过准备,,,信赖＋＋，倾向：坚强,CVE_A1_F_G_100&CVE_A1_X_G_15&CVE_A1_Growth|11_G_4,说不管多大，这里都是她的家,,,好感＋＋,CVE_A1_F_G_180&CVE_A1_X_G_12&CVE_A1_Growth|12_G_3&CVE_A1_Growth|11_L_1,陪她在礼堂里坐到天黑,,,好感＋＋，信赖＋＋,CVE_A1_F_G_150&CVE_A1_X_G_20&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_5,,,,,
3,15,1,0,0,5,,今天是她的生日。她一早就在房间门口探头探脑，装作只是路过，又装作不在意地问你今天有没有空。,放下手上的事，陪她一整天,,,好感＋＋，倾向：热情,CVE_A1_F_G_40&CVE_A1_X_G_5&CVE_A1_Growth|12_G_3&CVE_A1_Growth|20_G_3,让厨房做一顿她爱吃的,,,好感＋,CVE_A1_F_G_25&CVE_A1_Growth|12_G_1&CVE_A1_Growth|20_G_2,送她一份和她的课有关的礼物,,,倾向：勤劳,CVE_A1_F_G_20&CVE_A1_Growth|10_G_3,公务实在走不开，只说了句生日快乐,,,好感下降，倾向：孤僻,CVE_A1_F_L_20&CVE_A1_Growth|12_L_3&CVE_A1_Growth|11_G_1
4,15,1,0,0,5,,换季的这几天她一直在咳嗽，但每次问她都说没事。今天早上你路过的时候，看见她把外套脱了塞进柜子里，说穿着热。,直接把她带去医疗部,,,照料＋＋，倾向：脆弱,CVE_A1_F_G_20&CVE_A1_X_G_3&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_4,把外套翻出来，看着她穿上,,,照料＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_2,由着她，等她自己知道冷,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_3,,,,,
5,15,1,0,0,5,self_have_sibling_child,实践课上两个孩子分到了同一组。据说其中一个把工具全揽了过去，另一个在旁边站了一整节课，回来以后两个人都不太高兴。,让揽活的那个学会分工,,,倾向：热情，对方好感＋,CVE_A1_F_G_8&CVE_A1_Growth|12_G_2&CVE_A1_Growth|10_G_1&CVE_A2_F_G_12,让站着的那个学会开口要,,,倾向：开放,CVE_A1_F_G_10&CVE_A1_Growth|13_G_3&CVE_A2_F_G_5,下次把她们分到不同的组,,,倾向：孤僻,CVE_A1_Growth|12_L_2&CVE_A2_F_L_5,把这件事交给她们自己处理,CVP_A1_X_GE_50,她对你的信赖还不够,信赖＋，倾向：坚强,CVE_A1_F_G_5&CVE_A1_X_G_4&CVE_A1_Growth|11_G_3&CVE_A2_F_G_8
6,15,1,0,0,4,time_spring,疗养庭院翻土的日子，甲板上到处是花盆。她被抱去看了一圈，回来时衣服上沾了泥，手里攥着一把不知道谁给的种子。,给她辟一小块地，种下去,,,好感＋，倾向：勤劳,CVE_A1_F_G_15&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,把种子收好，说等她大一点再种,,,照料＋，倾向：坚强,CVE_A1_F_G_8&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_2,带她去还给人家,,,好感小降，倾向：勤劳,CVE_A1_F_L_6&CVE_A1_Growth|10_G_2,,,,,
7,15,1,0,0,4,time_summer,夏天的这几天热得反常。她的后背整天是湿的，晚上翻来覆去睡不安稳，后勤那边说制冷正在排队检修。,把自己房里的那台先让给她,,,好感＋＋，照料＋＋,CVE_A1_F_G_20&CVE_A1_Growth|20_G_4,催后勤把她那边排到最前面,,,照料＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_3,多打一盆凉水，扇着过一夜,,,好感＋，倾向：坚强,CVE_A1_F_G_12&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_2,,,,,
8,15,1,0,0,4,time_autumn,秋收的补给送到了，食堂破例加了餐。她被安排在离你不远的位置，整顿饭都在偷偷往这边看。,端着盘子坐过去,,,好感＋＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_3,让人给她添一份最好的那道,,,照料＋，倾向：脆弱,CVE_A1_F_G_12&CVE_A1_Growth|20_G_3&CVE_A1_Growth|11_L_1,吃完就回去办公,,,好感下降，倾向：孤僻,CVE_A1_F_L_12&CVE_A1_Growth|12_L_3,,,,,
9,15,1,0,0,4,time_winter,年节这天罗德岛难得清闲。走廊上挂了灯，食堂开到很晚，值班表上你的名字被人悄悄划掉了。,把这一整晚都留给她,,,好感＋＋，信赖＋＋,CVE_A1_F_G_25&CVE_A1_X_G_6&CVE_A1_Growth|12_G_2,带她去人多的地方凑热闹,,,好感＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,还是去把值班顶了,,,好感下降，倾向：勤劳,CVE_A1_F_L_16&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_1,,,,,
10,15,1,0,0,4,time_winter,换季的衣物统一发放，她那份的尺码报错了，大了整整一号。后勤说要换得等下一批。,让人先改一改，别冻着,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,拿自己的旧衣服给她垫一层,,,好感＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_3,大一号就大一号，能穿久一点,,,倾向：坚强，好感小降,CVE_A1_F_L_6&CVE_A1_Growth|11_G_3,,,,,
11,15,1,0,0,4,time_spring&CVP_A1_T|101_E_0,甲板上的风终于不刺人了。她拉着你的袖子往外走，说想去看看外面到底是什么颜色的。,陪她在甲板上待到日落,,,好感＋＋，倾向：开放,CVE_A1_F_G_20&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,只待一刻钟，公务还压着,,,好感＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_3,让别的干员带她去,,,好感下降，倾向：孤僻,CVE_A1_F_L_12&CVE_A1_Growth|12_L_2,,,,,
12,15,1,0,0,4,time_summer&CVP_A1_T|101_E_0,热得没人愿意动的下午，她从食堂弄来了两份冰镇的东西，一份塞进你手里，一份自己捧着，坐在办公室门口的台阶上。,坐到她旁边一起吃完,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3,问她这是从哪弄来的,,,倾向：开放，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|13_G_2,让她别在台阶上坐着,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_2,,,,,
13,15,1,0,0,4,time_autumn&CVP_A1_T|101_E_0,天黑得越来越早了。她说不喜欢这个季节，因为等你忙完的时候，外面已经黑透了，什么也做不了。,那就把公务提前，天黑前收工一次,,,好感＋＋，倾向：勤劳,CVE_A1_F_G_20&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,带她去看夜里的甲板,,,好感＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3,告诉她季节就是这样,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_3,,,,,
14,15,1,0,0,4,time_winter&CVP_A1_T|101_E_0,供暖检修的那个晚上，走廊冷得能看见白气。她抱着毯子出现在办公室门口，说房间里待不住。,让她在办公室的沙发上睡,,,好感＋＋，照料＋,CVE_A1_F_G_20&CVE_A1_Growth|20_G_3&CVE_A1_Growth|11_L_1,找后勤要个暖炉送到她那儿,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,陪她回去，两个人一起挨过这一夜,,,好感＋，倾向：坚强,CVE_A1_F_G_16&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_2,,,,,
15,15,1,0,0,4,,季月交替的这几天，罗德岛上下都在忙着换季的调度。她被人抱着从一个部门送到另一个部门，一天见了十几张面孔。,抽空把她接回身边,,,好感＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_3,由着她被大家轮流照看,,,倾向：开放，倾向：热情,CVE_A1_F_G_10&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,定下一个固定的看护安排,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,,,,,
16,15,1,0,0,5,,她病了。不重，但烧得人蔫蔫的，一整天没什么精神，医疗部说观察两天就好。,把公务搬到床边处理,,,好感＋＋，照料＋＋，倾向：懒散,CVE_A1_F_G_22&CVE_A1_Growth|20_G_5&CVE_A1_Growth|10_G_1&CVE_A1_Growth|10_L_1,每隔两个小时来看一次,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,交给医疗部就好,,,好感下降，倾向：坚强,CVE_A1_F_L_16&CVE_A1_Growth|11_G_3,,,,,
17,15,1,0,0,4,,几个干员趁着休息日一起来看她，带了一堆乱七八糟的东西：手工的玩偶、外面带回来的小石头、还有一包不知道能不能吃的糖。,陪着一起闹一下午,,,好感＋，倾向：热情,CVE_A1_F_G_16&CVE_A1_Growth|12_G_3&CVE_A1_Growth|13_G_1,替她收下，然后送客,,,照料＋，倾向：孤僻,CVE_A1_F_G_8&CVE_A1_Growth|12_L_2&CVE_A1_Growth|20_G_2,让她自己决定留下谁的东西,,,信赖＋，倾向：开放,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|13_G_3,,,,,
18,15,1,0,0,4,,舰船夜里穿过一段颠簸的路。整层楼的东西都在响，她被晃醒了好几次，最后一次干脆睁着眼等到了天亮。,过去陪她，一直到船平稳下来,,,好感＋＋，照料＋,CVE_A1_F_G_20&CVE_A1_Growth|20_G_3&CVE_A1_Growth|11_L_1,让人把她那边的东西都固定好,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_3,让她习惯，这船本来就在动,,,好感小降，倾向：坚强,CVE_A1_F_L_10&CVE_A1_Growth|11_G_3,,,,,
19,15,1,0,0,4,,半层楼的电路跳了闸。黑下来的那一瞬间，她的动静停了一下，然后你听见她在叫你的方向摸索着过来。,出声让她找到你,,,好感＋＋，信赖＋,CVE_A1_F_G_20&CVE_A1_X_G_5&CVE_A1_Growth|11_L_1,打起应急灯，把她抱起来,,,照料＋＋，好感＋,CVE_A1_F_G_16&CVE_A1_Growth|20_G_4,先去看电路，回头再管她,,,好感下降，倾向：勤劳,CVE_A1_F_L_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_2,,,,,
20,15,1,0,0,4,CVP_A1_T|101_E_0,她做了个东西送给你。歪歪扭扭，看不太出是什么，但每一处都粘得很用力，边角还压了两遍。,猜一猜这是什么，猜错也认真猜,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A1_Growth|13_G_1,把它摆在办公桌上,,,好感＋＋，信赖＋,CVE_A1_F_G_18&CVE_A1_X_G_5,夸两句就收进抽屉,,,好感小降，倾向：羞耻,CVE_A1_F_L_10&CVE_A1_Growth|13_L_2,,,,,
21,15,1,0,0,4,CVP_A1_T|101_E_0,她开始学你说话了。语气、停顿、连皱眉的样子都学，被人指出来还不承认，说自己本来就是这样。,顺着她演下去,,,好感＋＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,告诉她可以学，但要有自己的样子,,,倾向：坚强，信赖＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|11_G_3,让她别学了,,,好感下降，倾向：羞耻,CVE_A1_F_L_14&CVE_A1_Growth|13_L_3,,,,,
22,15,1,0,0,4,CVP_A1_T|101_E_0,走廊上遇见你的时候她愣了一下，因为这个时间你本该在办公室。她说：你今天是不是又没吃晚饭。,被她说中，跟她一起去食堂,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3,说等会儿就去吃,,,好感小降，倾向：勤劳,CVE_A1_F_L_8&CVE_A1_Growth|10_G_3,让她别管大人的事,,,好感下降，倾向：孤僻,CVE_A1_F_L_16&CVE_A1_Growth|12_L_3&CVE_A1_Growth|11_G_1,,,,,
23,15,1,0,0,4,,她的东西丢了一件。不是值钱的东西，但她翻遍了能翻的地方，最后蹲在走廊尽头不肯回去。,陪她把整层楼再找一遍,,,好感＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_3,让广播帮忙问一声,,,倾向：开放，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|13_G_3&CVE_A1_Growth|10_G_2,告诉她丢了就丢了,,,好感下降，倾向：坚强,CVE_A1_F_L_14&CVE_A1_Growth|11_G_4,,,,,
24,15,1,0,0,4,CVP_A1_T|101_E_0,食堂今天的菜她一口没动，只是低头拨来拨去。问了两遍才说：今天不太想吃东西，没有别的原因。,不追问，陪她坐着,,,信赖＋＋，倾向：坚强,CVE_A1_F_G_14&CVE_A1_X_G_5&CVE_A1_Growth|11_G_2,让厨房另做一份她爱吃的,,,照料＋＋，好感＋,CVE_A1_F_G_16&CVE_A1_Growth|20_G_4,问到底是怎么回事,,,好感＋，倾向：开放,CVE_A1_F_G_12&CVE_A1_Growth|13_G_3,,,,,
25,15,1,0,0,4,,医疗部的例行检查排到了她。这次的项目多，抽血、量身高、还要在一台会响的机器前站着不动。,全程陪着，一项一项过,,,好感＋＋，照料＋,CVE_A1_F_G_18&CVE_A1_Growth|20_G_4,只在抽血那一项过去,,,好感＋，倾向：坚强,CVE_A1_F_G_10&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_2,让医疗部按流程做完就行,,,好感小降，倾向：勤劳,CVE_A1_F_L_10&CVE_A1_Growth|10_G_2,,,,,
26,15,1,0,0,4,CVP_A1_T|101_E_0,她在走廊上撞见你加班。已经过了熄灯时间，她抱着毯子站在门口，说要陪你一起熬。,让她在旁边睡，你继续做,,,好感＋，倾向：勤劳,CVE_A1_F_G_16&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,干脆收工，送她回去睡,,,好感＋＋，信赖＋，倾向：懒散,CVE_A1_F_G_20&CVE_A1_X_G_5&CVE_A1_Growth|20_G_2&CVE_A1_Growth|10_L_2,让她回去，这里不需要人陪,,,好感下降，倾向：孤僻,CVE_A1_F_L_14&CVE_A1_Growth|12_L_3&CVE_A1_Growth|11_G_1,,,,,
27,15,1,0,0,4,,罗德岛今天停靠补给。舷梯放下的时候，外面的风灌进来，带着一股跟舰内完全不一样的味道。她被那股风吸引住了。,抱着她在舷梯口站一会儿,,,好感＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3,告诉她外面有什么,,,倾向：勤劳，信赖＋,CVE_A1_F_G_10&CVE_A1_X_G_4&CVE_A1_Growth|10_G_3,把她带离风口,,,照料＋，倾向：脆弱,CVE_A1_F_G_8&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3,,,,,
28,15,1,0,0,4,CVP_A1_T|101_E_0,她攒了一整天的话要跟你说，结果一开口就被公务打断了三次。第四次的时候，她说算了，不重要。,把门关上，让她从头说,,,好感＋＋，信赖＋＋,CVE_A1_F_G_22&CVE_A1_X_G_6&CVE_A1_Growth|13_G_2,跟她约一个不会被打断的时间,,,信赖＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|10_G_2,顺着她说的，那就下次吧,,,好感下降，倾向：孤僻,CVE_A1_F_L_16&CVE_A1_Growth|12_L_3,,,,,
29,15,1,0,0,4,,有干员在食堂议论：孩子在罗德岛长大，到底是幸运还是不幸。这话被她听见了，她端着盘子站在原地没动。,当场把这话接过来说清楚,,,好感＋＋，倾向：坚强,CVE_A1_F_G_20&CVE_A1_Growth|11_G_3&CVE_A1_Growth|12_G_1,先带她走，回头再谈,,,好感＋，倾向：孤僻,CVE_A1_F_G_12&CVE_A1_Growth|12_L_2,让她自己去想这个问题的答案,,,信赖＋，倾向：坚强,CVE_A1_F_G_8&CVE_A1_X_G_5&CVE_A1_Growth|11_G_4,,,,,
30,15,1,0,0,5,CVP_A1_Growth|22_GE_10&CVP_A1_T|101_E_0,她已经很久没主动来找过你了。今天在走廊上遇见，她只是点了点头就走过去，走出很远才回头看了一眼。,追上去，跟她走完这段路,,,好感＋＋，信赖＋,CVE_A1_F_G_22&CVE_A1_X_G_5&CVE_A1_Growth|12_G_2,当晚去她那儿一趟,,,好感＋，照料＋,CVE_A1_F_G_16&CVE_A1_Growth|20_G_3,由她去，孩子大了都这样,,,好感下降，倾向：孤僻,CVE_A1_F_L_18&CVE_A1_Growth|12_L_4,,,,,
