cid,department,subject,sub_key,once,weight,premise,text,option_1,option_1_premise,option_1_reason,option_1_tip,option_1_effect,option_2,option_2_premise,option_2_reason,option_2_tip,option_2_effect,option_3,option_3_premise,option_3_reason,option_3_tip,option_3_effect,option_4,option_4_premise,option_4_reason,option_4_tip,option_4_effect
事件uid（文件名自动加前缀）,部门id（Facility.csv中type为-1的区块cid，15为教育区）,事件主体（0无主体的部门事务/1角色）,分类内子桶键（养成填成长阶段素质id：0全成长阶段/101婴儿/102幼女/103萝莉/104少女）,是否里程碑（仅作者标注，不影响触发）,入队权重,触发前提，&连接,事件正文,选项1文本，空则该选项不存在,选项1前提，&连接，不满足则置灰,选项1前提不满足时显示的原因,选项1的后果提示（只写方向不写数值）,选项1结算，&连接，复用CVE token,选项2文本，空则该选项不存在,选项2前提，&连接，不满足则置灰,选项2前提不满足时显示的原因,选项2的后果提示（只写方向不写数值）,选项2结算，&连接，复用CVE token,选项3文本，空则该选项不存在,选项3前提，&连接，不满足则置灰,选项3前提不满足时显示的原因,选项3的后果提示（只写方向不写数值）,选项3结算，&连接，复用CVE token,选项4文本，空则该选项不存在,选项4前提，&连接，不满足则置灰,选项4前提不满足时显示的原因,选项4的后果提示（只写方向不写数值）,选项4结算，&连接，复用CVE token
str,int,int,int,int,int,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
婴儿期养成事件,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,1,101,0,10,,深夜里，育儿室方向传来断断续续的哭声。你放下手里的文件走过去，看见她攥着小拳头，在襁褓里蹬着腿，脸憋得通红。哭声不像是饿了，也不像是不舒服，更像是醒来发现四下无人。,抱起来，一下一下轻轻拍着背,,,好感＋，倾向：脆弱,CVE_A1_F_G_15&CVE_A1_X_G_2&CVE_A1_Growth|11_L_1&CVE_A1_Growth|20_G_2,守在旁边，等她自己哭累了睡,,,好感小降，倾向：坚强,CVE_A1_F_L_5&CVE_A1_Growth|11_G_1,在旁边低声念手里的文件给她听,,,倾向：勤劳,CVE_A1_F_G_5&CVE_A1_Growth|10_G_1&CVE_A1_Growth|20_G_1,整夜陪着她，什么也不做,CVP_A1_F_GE_200,她对你还不够依赖,好感＋＋，照料＋＋,CVE_A1_F_G_30&CVE_A1_X_G_4&CVE_A1_Growth|11_L_1&CVE_A1_Growth|12_G_1&CVE_A1_Growth|20_G_5
2,15,1,101,1,20,,你进育儿室的时候，正看见她整个人翻了过来，趴在毯子上，抬起头茫然地四处张望。这是她第一次自己翻身。她看见你，愣了一下，然后咧开没有牙的嘴笑了。,蹲下去，跟她额头贴额头,,,好感＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_2,把毯子铺得更宽一些，让她多翻几次,,,倾向：勤劳,CVE_A1_F_G_8&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_1,叫上母亲一起来看,,,好感＋，照料＋,CVE_A1_F_G_12&CVE_A1_X_G_2&CVE_A1_Growth|12_G_1&CVE_A1_Growth|20_G_3,,,,,
3,15,1,101,1,20,,今天抱她的时候，她伸手抓住了你的衣领，怎么也不肯松开。换了别人来抱，她就哭。护理的干员笑着说，这孩子开始认人了。,那就一直抱着，直到她睡着,,,好感＋＋，倾向：脆弱,CVE_A1_F_G_25&CVE_A1_X_G_3&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3,把她交给别人，让她习惯更多人,,,好感小降，倾向：热情,CVE_A1_F_L_8&CVE_A1_Growth|12_G_2&CVE_A1_Growth|11_G_1,抱着她去见几个熟悉的干员,,,倾向：热情，倾向：开放,CVE_A1_F_G_10&CVE_A1_Growth|12_G_2&CVE_A1_Growth|13_G_1&CVE_A1_Growth|20_G_2,,,,,
4,15,1,101,1,15,,断奶的日子到了。她抱着空掉的奶瓶不撒手，眼睛红红地看着你，像是在问为什么。,耐心地一点一点喂她辅食,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_15&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,狠下心，一次断干净,,,好感小降，倾向：坚强,CVE_A1_F_L_10&CVE_A1_Growth|11_G_3,让母亲陪着她一起过这几天,,,好感＋，照料＋,CVE_A1_F_G_10&CVE_A1_X_G_2&CVE_A1_Growth|11_L_1&CVE_A1_Growth|20_G_3,,,,,
5,15,1,101,1,20,CVP_A1_Growth|3_L_35,育儿室的灯调得很暗。你俯下身的时候，她忽然睁开了眼睛，黑亮的一小片，直直地对着你的方向。护理的干员说，这个月龄能看清的距离，差不多就是抱着的时候脸对脸那么远。,把脸凑近一点，让她看清你,,,好感＋，倾向：热情,CVE_A1_F_G_18&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_2,退开半步，别让她被吓到,,,照料＋，倾向：羞耻,CVE_A1_F_G_8&CVE_A1_Growth|13_L_1&CVE_A1_Growth|20_G_1,叫护理的干员一起来看,,,好感＋，倾向：开放,CVE_A1_F_G_10&CVE_A1_Growth|13_G_2&CVE_A1_Growth|12_G_1,,,,,
6,15,1,101,1,20,CVP_A1_Growth|3_L_35,你伸手去理她的襁褓，指头刚碰到掌心，那只小手就攥住了，攥得意外地紧。你试着抽了一下，没抽动，她也没醒。,就这样让她攥着，站到手酸,,,好感＋＋，倾向：脆弱,CVE_A1_F_G_22&CVE_A1_X_G_3&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3,轻轻把手指抽出来，替她掖好被子,,,照料＋，倾向：坚强,CVE_A1_F_G_8&CVE_A1_Growth|11_G_1&CVE_A1_Growth|20_G_2,换一根手指给她，看她换不换,,,倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_2,,,,,
7,15,1,101,1,18,CVP_A1_Growth|3_L_35,你试着叫了几声她的名字。前几次她都没什么反应，这一次，她的眼珠慢慢转了过来，落在你脸上，停住了。,一遍一遍地念，念到她笑出声,,,好感＋＋，倾向：热情,CVE_A1_F_G_20&CVE_A1_Growth|12_G_3&CVE_A1_Growth|20_G_2,换着别的词试，看她认的是不是名字,,,倾向：勤劳,CVE_A1_F_G_8&CVE_A1_Growth|10_G_3,记下来，写进她的成长档案,,,照料＋，倾向：勤劳,CVE_A1_F_G_6&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_3,,,,,
8,15,1,101,1,18,CVP_A1_Growth|3_L_35,她今天笑了。不是那种睡着时无意识的抽动，是看着你，眼睛先弯起来，然后整张脸都皱成一团的那种笑。,做鬼脸，逗她再笑一次,,,好感＋，倾向：开放,CVE_A1_F_G_18&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_1,把这一幕拍下来,,,好感＋，照料＋,CVE_A1_F_G_12&CVE_A1_Growth|20_G_3,只是看着，什么也不做,,,信赖＋，倾向：孤僻,CVE_A1_F_G_8&CVE_A1_X_G_3&CVE_A1_Growth|12_L_1,,,,,
9,15,1,101,0,11,CVP_A1_Growth|3_L_35,她把白天睡成了黑夜。日头正高的时候睡得踏实，到了后半夜反而精神，睁着眼睛在襁褓里蹬来蹬去，谁抱都不肯合眼。,白天把她抱到亮处，硬扳过来,,,好感小降，倾向：勤劳,CVE_A1_F_L_6&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,陪她熬，反正公务也在夜里,,,好感＋＋，照料＋,CVE_A1_F_G_20&CVE_A1_X_G_3&CVE_A1_Growth|20_G_3,交给夜班的保育员，你去睡,,,好感小降，倾向：坚强,CVE_A1_F_L_8&CVE_A1_Growth|11_G_2,,,,,
10,15,1,101,1,15,CVP_A1_Growth|3_L_35,第一次给她洗澡。水温试了三遍，她还是在碰到水面的一瞬间僵住了，然后放声大哭，两只手死死抓着你的袖子。,抱着她，让她先只泡着脚,,,照料＋＋，倾向：脆弱，倾向：羞耻,CVE_A1_F_G_15&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_4&CVE_A1_Growth|13_L_1,速战速决，哭就哭吧,,,好感下降，倾向：坚强,CVE_A1_F_L_12&CVE_A1_Growth|11_G_3,在水里放个会浮的小玩意分她的神,,,好感＋，倾向：开放,CVE_A1_F_G_12&CVE_A1_Growth|13_G_2&CVE_A1_Growth|20_G_2,,,,,
11,15,1,101,0,10,CVP_A1_Growth|3_L_35,她的指甲长了，睡着的时候会在自己脸上挠出细红的印子。保育员递来一把小剪子，说这活儿得趁她睡熟了做。,屏住呼吸，一根一根剪完,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,给她套上小手套算了,,,照料＋,CVE_A1_F_G_6&CVE_A1_Growth|20_G_2,交给更有经验的保育员来,,,倾向：孤僻,CVE_A1_F_G_3&CVE_A1_Growth|12_L_1&CVE_A1_Growth|20_G_1,,,,,
12,15,1,101,0,9,CVP_A1_Growth|3_L_35,育儿室的顶灯换了一盏亮的。她一整个下午都仰着头看那片光，你把她抱开，她就扭着脖子找回去。,抱着她转一圈，让她看个够,,,好感＋，倾向：开放,CVE_A1_F_G_12&CVE_A1_Growth|13_G_2&CVE_A1_Growth|20_G_2,把灯调暗，怕伤了眼睛,,,照料＋，倾向：脆弱,CVE_A1_F_G_8&CVE_A1_Growth|11_L_1&CVE_A1_Growth|20_G_3,在她床边挂一串会转的小灯,,,好感＋，倾向：热情,CVE_A1_F_G_14&CVE_A1_Growth|12_G_2,,,,,
13,15,1,101,0,10,CVP_A1_Growth|3_L_35,刚喂完奶，她就把大半口吐了出来，顺着下巴流进了你的袖口。她自己被这动静吓了一跳，愣了两秒才开始哭。,先给她拍嗝，再换掉两个人的衣服,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,抱起来哄，衣服等会儿再说,,,好感＋，倾向：脆弱,CVE_A1_F_G_16&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_2,叫保育员来收拾，你回去处理公务,,,好感小降，倾向：孤僻,CVE_A1_F_L_8&CVE_A1_Growth|12_L_2,,,,,
14,15,1,101,1,15,CVP_A1_Growth|3_L_35,今天是她第一次被抱出育儿室。走廊的风一吹，她整个人绷紧了，小手在空中乱抓，抓到你的衣领才安静下来。,抱着她把这一层走完,,,好感＋，倾向：开放,CVE_A1_F_G_16&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_1,只走到门口就回去,,,照料＋，倾向：脆弱，倾向：羞耻,CVE_A1_F_G_8&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_2&CVE_A1_Growth|13_L_2,把她裹严实些，再往外走远一点,,,照料＋＋，倾向：坚强,CVE_A1_F_G_12&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_3,,,,,
15,15,1,101,0,9,CVP_A1_Growth|3_L_35,你在育儿室处理文件，念出声只是为了不打瞌睡。念到一半才发现，她没睡，正安安静静地听着，每停一句就动一下。,继续念下去，直到她睡着,,,好感＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,换成随口编的故事,,,好感＋，倾向：热情,CVE_A1_F_G_16&CVE_A1_Growth|12_G_2,收起文件，专心陪她,,,信赖＋，照料＋,CVE_A1_F_G_12&CVE_A1_X_G_4&CVE_A1_Growth|20_G_3,,,,,
16,15,1,101,0,9,CVP_A1_Growth|3_L_35,她打了个响亮的嗝，把自己吓得一哆嗦，随即警惕地环顾四周，像是在找那个发出怪声的家伙。,忍着笑，给她拍拍背,,,照料＋，倾向：热情,CVE_A1_F_G_12&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_2,笑出声，被她瞪了一眼,,,好感＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_2,学着她的样子也打一个,,,好感＋，倾向：开放,CVE_A1_F_G_10&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_1,,,,,
17,15,1,101,0,11,CVP_A1_Growth|3_GE_30&CVP_A1_Growth|3_L_75,最近她学会了一件事：只要一被放回床上就哭，一抱起来就停。保育员说，这叫抱睡成瘾，再惯下去谁也脱不了身。,抱着睡就抱着睡，你不嫌累,,,好感＋＋，倾向：脆弱，倾向：懒散,CVE_A1_F_G_20&CVE_A1_Growth|11_L_3&CVE_A1_Growth|20_G_3&CVE_A1_Growth|10_L_2,放下后守在床边，手搭着她,,,照料＋＋，倾向：坚强,CVE_A1_F_G_10&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_4,狠心放下，让她哭累了自己睡,,,好感下降，倾向：坚强,CVE_A1_F_L_12&CVE_A1_Growth|11_G_4,,,,,
18,15,1,101,0,10,CVP_A1_Growth|3_GE_30&CVP_A1_Growth|3_L_75,育儿室里新旧玩偶摆了一排，她谁也不要，只肯抱那只掉了半只耳朵的旧兔子。保育员想拿去洗，被她哭着抢了回来。,由着她，脏了就趁她睡着时洗,,,照料＋，倾向：脆弱,CVE_A1_F_G_14&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_3,找一只一模一样的换给她,,,好感＋，倾向：勤劳,CVE_A1_F_G_10&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_2,试着让她多接受一个新玩具,,,倾向：开放，好感小降,CVE_A1_F_L_5&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_1,,,,,
19,15,1,101,0,10,CVP_A1_Growth|3_GE_30&CVP_A1_Growth|3_L_75,几个干员听说育儿室有孩子，特地绕路过来看。她被一圈陌生的脸围住，先是发愣，随后瘪起嘴，眼看就要哭。,抱起来挡在怀里，请他们改天再来,,,好感＋，倾向：孤僻，倾向：羞耻,CVE_A1_F_G_16&CVE_A1_Growth|12_L_2&CVE_A1_Growth|20_G_2&CVE_A1_Growth|13_L_2,一个一个介绍给她听,,,倾向：开放，倾向：热情,CVE_A1_F_G_10&CVE_A1_Growth|13_G_3&CVE_A1_Growth|12_G_2,让她们一个一个轮流抱,,,好感小降，倾向：开放,CVE_A1_F_L_6&CVE_A1_Growth|13_G_4&CVE_A1_Growth|11_G_1,,,,,
20,15,1,101,0,10,CVP_A1_Growth|3_GE_30&CVP_A1_Growth|3_L_75,她开始长牙了。这几天见什么咬什么，咬玩具、咬毯子角，今天连你的手指也没放过，牙床磨得你生疼。,给她一个能咬的胶环,,,照料＋＋，倾向：勤劳,CVE_A1_F_G_12&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_4,由她咬着，就当止痒,,,好感＋，倾向：脆弱,CVE_A1_F_G_16&CVE_A1_Growth|11_L_1&CVE_A1_Growth|20_G_2,每次咬人就把手抽走，让她记住,,,好感小降，倾向：坚强,CVE_A1_F_L_6&CVE_A1_Growth|11_G_2&CVE_A1_Growth|10_G_1,,,,,
21,15,1,101,1,20,CVP_A1_Growth|3_GE_50,你把玩具放在离她一臂远的地方，本来只是想看看她够不够得着。结果她整个人趴下去，手脚并用地挪了半尺，虽然歪歪扭扭，但那确实是在爬。,把玩具再往后挪一点，让她多爬两步,,,倾向：勤劳，倾向：坚强,CVE_A1_F_G_10&CVE_A1_Growth|10_G_3&CVE_A1_Growth|11_G_2,马上把玩具递到她手里,,,好感＋＋，倾向：脆弱,CVE_A1_F_G_20&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_2,在地上铺开垫子，让她随便爬,,,照料＋＋，倾向：开放,CVE_A1_F_G_14&CVE_A1_Growth|13_G_2&CVE_A1_Growth|20_G_4,,,,,
22,15,1,101,1,20,CVP_A1_Growth|3_GE_50,她扶着床沿站起来了。两条腿抖得厉害，手指关节因为用力发白，但她就是不肯坐下，仰着头等你看过来。,在她面前蹲下，张开手接着,,,好感＋＋，信赖＋,CVE_A1_F_G_22&CVE_A1_X_G_4&CVE_A1_Growth|12_G_2,站远一点，看她能撑多久,,,倾向：坚强,CVE_A1_F_G_8&CVE_A1_Growth|11_G_3&CVE_A1_Growth|10_G_1,赶紧扶住她，怕摔着,,,照料＋＋，倾向：脆弱,CVE_A1_F_G_14&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_4,,,,,
23,15,1,101,0,12,CVP_A1_Growth|3_GE_50,她扶着墙一路挪到了门口，回头冲你笑，像是在等一句夸奖。再往前就是走廊的台阶了。,跟在半步之外，随时能接住,,,照料＋＋，倾向：坚强,CVE_A1_F_G_14&CVE_A1_Growth|11_G_2&CVE_A1_Growth|20_G_3,抱起来，今天就到这里,,,好感＋，倾向：脆弱，倾向：羞耻,CVE_A1_F_G_12&CVE_A1_Growth|11_L_2&CVE_A1_Growth|20_G_2&CVE_A1_Growth|13_L_2,在台阶前放几只玩偶挡着,,,倾向：勤劳，照料＋,CVE_A1_F_G_8&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,,,,,
24,15,1,101,1,25,CVP_A1_Growth|3_GE_50,她发出了一个音。含糊、走调、更像是打了个哈欠，但在场的三个人都听见了那个音的形状——她在叫你。,把她高高举起来,,,好感＋＋，倾向：热情,CVE_A1_F_G_25&CVE_A1_X_G_4&CVE_A1_Growth|12_G_3,蹲下来，一字一句地教她再叫一次,,,倾向：勤劳，好感＋,CVE_A1_F_G_18&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,什么也没说，只是把她抱紧了,,,信赖＋＋,CVE_A1_F_G_20&CVE_A1_X_G_6&CVE_A1_Growth|11_L_1,叫上所有听见的人一起作证,CVP_A1_F_GE_300,她还没跟你亲近到愿意在人前叫,好感＋，倾向：开放,CVE_A1_F_G_15&CVE_A1_Growth|13_G_4&CVE_A1_Growth|12_G_2
25,15,1,101,0,11,CVP_A1_Growth|3_GE_50,她开始用手指点东西了。点灯、点门、点你搁在桌上的杯子，点完就回头看你，非要你说出那是什么才罢休。,一样一样地念给她听,,,倾向：勤劳，好感＋,CVE_A1_F_G_14&CVE_A1_Growth|10_G_3&CVE_A1_Growth|20_G_2,把她抱到那些东西跟前，让她摸,,,倾向：开放，照料＋,CVE_A1_F_G_12&CVE_A1_Growth|13_G_3&CVE_A1_Growth|20_G_2,反问她那是什么，看她怎么答,,,倾向：勤劳，好感小降,CVE_A1_F_L_4&CVE_A1_Growth|10_G_4,,,,,
26,15,1,101,0,10,CVP_A1_Growth|3_GE_50,她伸手去够桌角的墨水瓶。你说了句不可以，她的手停在半空，看了你两秒，然后慢慢缩了回去——她听懂了。,夸她一句，把瓶子挪远,,,好感＋，倾向：勤劳,CVE_A1_F_G_14&CVE_A1_Growth|10_G_2&CVE_A1_Growth|20_G_2,板着脸再说一遍，让规矩立住,,,好感小降，倾向：坚强,CVE_A1_F_L_6&CVE_A1_Growth|11_G_3&CVE_A1_Growth|10_G_1,换一个能给她玩的东西塞过去,,,照料＋，倾向：热情,CVE_A1_F_G_12&CVE_A1_Growth|12_G_2&CVE_A1_Growth|20_G_3,,,,,
