1000,hypnosis_roleplay,0,CVP_A2_Roleplay|1_E_0,{TargetName}的眼睛在{Name}的指令下缓缓睁开，瞳孔中仍带着催眠的恍惚。\n她眨了眨眼，眼神中的迷茫渐渐被妻子对丈夫的柔情所取代，神情逐渐变得柔和，脸上浮现出妻子见到丈夫时特有的甜蜜微笑。\n{TargetName}轻咬下唇，眼神含情脉脉地望着{Name}，手指不自觉地玩弄着自己的发丝，展现出妻子对丈夫的娇羞与期待。\n她的身体姿态完全变了，举手投足间充满了对丈夫的依恋与亲密，完全沉浸在妻子的角色中。\n{TargetName}轻轻整理着自己的{TargetUpClothName}，手指在胸前的布料上游走，眼神中满是对丈夫的邀请与期待。\n她的舌尖轻舔嘴唇，让它们变得湿润而红艳，喉咙中发出细微的呢喃，像是在呼唤丈夫的名字。


1000,hypnosis_roleplay,0,CVP_A2_Roleplay|1_E_0,{TargetName}的意识在催眠暗示中慢慢恢复，眼神从茫然逐渐变得充满爱意。\n她的肢体语言完全改变，举手投足间流露出妻子对丈夫特有的亲密与依恋。\n{TargetName}柔情似水地注视着{Name}，眼中闪烁着对"丈夫"的爱慕与渴望。\n她的手指不自觉地梳理着自己的发丝，时而轻咬下唇，展现出已婚女性特有的成熟魅力与娇羞。\n{TargetName}轻抚自己的{TargetUpClothName}，似乎在考虑是否要为"丈夫"展示更多。\n她的身体微微前倾，仿佛随时准备投入"丈夫"的怀抱，完全沉浸在作为{Name}妻子的角色中。
1001,hypnosis_roleplay,0,CVP_A2_Roleplay|1_E_0,{TargetName}在催眠的作用下睁开双眼，眼神逐渐从迷茫转为温柔。\n她的嘴角勾起甜蜜的微笑，脸颊泛起幸福的红晕，完全以妻子的姿态面对着{Name}。\n{TargetName}娴熟地整理着自己的衣着，指尖时而划过{TargetUpClothName}的边缘，挑逗般地暗示着什么。\n她的身体姿态优雅又亲密，不时扭动腰肢，用眼神传递着对"丈夫"的邀请。\n{TargetName}的呼吸逐渐加快，胸口随着呼吸微微起伏，散发出妻子对丈夫独有的情欲气息。\n她轻舔嘴唇使其变得湿润红艳，喉间发出细微的呢喃，像是在渴望丈夫的亲近与爱抚。
1002,hypnosis_roleplay,0,CVP_A2_Roleplay|1_E_0,{TargetName}在催眠暗示下缓缓抬起头，眼中的空洞逐渐被妻子的温情取代。\n她的表情变得妩媚动人，一颦一笑间都流露出对"丈夫"的深情与依赖。\n{TargetName}优雅地调整坐姿，微微挺起胸膛，让{TargetUpClothName}下的曲线更加明显。\n她的手指有意无意地抚过自己的锁骨，继而滑向领口，眼中闪烁着引诱"丈夫"的欲望火花。\n{TargetName}的双腿交叠在一起轻轻摩擦，身体语言传递着对亲密接触的渴望。\n她的喉咙发出轻柔的哼声，像是在向"丈夫"表达自己已经准备好接受他的疼爱。
1003,hypnosis_roleplay,0,CVP_A2_Roleplay|2_E_0,{TargetName}的眼神在催眠的引导下逐渐清晰，却带着与平日不同的亲昵光芒。\n她的身体语言变得保护又宠溺，举手投足间流露出姐姐对弟弟特有的亲密与照顾。\n{TargetName}温柔地望着{Name}，眼中既有姐姐的关怀，又隐藏着超越兄妹的暧昧情愫。\n她不自觉地靠近{Name}，手指轻轻整理着"弟弟"的衣领，动作亲昵又带着占有欲。\n{TargetName}的{TargetUpClothName}因前倾的姿势而勾勒出诱人曲线，她似乎毫不在意这种暴露在"弟弟"面前。\n她的嘴唇微微张开，呼吸变得急促，仿佛对即将发生的禁忌关系既期待又紧张。
1004,hypnosis_roleplay,0,CVP_A2_Roleplay|2_E_0,{TargetName}在催眠的影响下醒来，眼中闪烁着对"弟弟"的宠爱与渴望。\n她的动作变得既成熟又充满教导意味，完全沉浸在作为{Name}姐姐的角色中。\n{TargetName}轻抚自己的头发，眼神中混合着姐姐的关切和女人对男人的欲望。\n她的双手不经意地抚过自己的{TargetUpClothName}和{TargetDownClothName}，调整着衣物以展现最吸引"弟弟"的姿态。\n{TargetName}的舌尖轻舔上唇，眼中闪烁着引诱的光芒，像是在暗示将教导"弟弟"成人世界的秘密。\n她的身体姿态既有成熟女性的妩媚，又带着对"弟弟"特有的保护欲，完全陷入姐弟乱伦的背德想象中。
1005,hypnosis_roleplay,0,CVP_A2_Roleplay|2_E_0,{TargetName}在催眠的指引下睁开双眼，眼神从迷茫转为对"弟弟"的关爱。\n她的表情变得温


cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,
