cid,type_id,adv_id,premise,context
组件id,组件类型名,组件限定的剧情npcid,前提id,组件内容
str,str,int,str,str
0,0,0,0,1
组件配置数据,,,,

100,breast,0,high_1,柔软弹性触感细腻，随呼吸微微起伏的{breast_s}
101,breast,0,high_1,圆润饱满形状优美，皮肤光滑细腻的{breast_s}
102,breast,0,high_1,白皙柔嫩触感温热，散发迷人体香的{breast_s}
103,breast,0,high_1,形状优美富有弹性，轻触即有柔软回应的{breast_s}
104,breast,0,high_1,肌肤光滑手感细腻，轮廓分明诱人的{breast_s}
105,breast,0,high_1,温暖柔软充满弹性，触碰引起轻微颤抖的{breast_s}
106,breast,0,high_1,轮廓分明肌肤细腻，乳尖挺立敏感的{breast_s}
107,breast,0,high_1,丰满圆润手感极佳，轻触即能感受温热的{breast_s}
108,breast,0,high_1,皮肤光滑散发香气，形状完美的{breast_s}
109,breast,0,high_1,弹性十足轮廓优美，触感让人沉迷的{breast_s}
110,breast,0,high_1,肌肤细腻触感柔嫩，随动作轻微摇晃的{breast_s}
111,breast,0,high_1,形状姣好皮肤滑腻，乳晕粉嫩诱人的{breast_s}
112,breast,0,high_1,柔软温热触感舒适，轻抚即能引起战栗的{breast_s}
113,breast,0,high_1,圆润饱满充满弹性，轻轻接触便有回应的{breast_s}
114,breast,0,high_1,细腻光滑手感极佳，挺立时更显诱人的{breast_s}
115,breast,0,high_1,弹性惊人形状完美，随呼吸起伏的{breast_s}
116,breast,0,high_1,肌肤娇嫩触感柔滑，散发诱人体香的{breast_s}
117,breast,0,high_1,丰满圆润触感绝佳，富有弹性的{breast_s}
118,breast,0,high_1,皮肤光洁轮廓优美，轻触便有回应的{breast_s}
119,breast,0,high_1,柔软温热富有弹性，形状姣好完美的{breast_s}

1000,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,表面光滑平坦，稚嫩粉色乳头点缀其上的{breast_s}
1001,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,小小身躯上毫无凸起，两点娇嫩乳珠的{breast_s}
1002,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,皮肤细腻平滑，乳头细小粉嫩的{breast_s}
1003,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,肌肤稚嫩光滑，乳晕浅粉娇小的{breast_s}
1004,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,表面平整无隆起，只有两点可爱乳头的{breast_s}
1005,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,肤色白皙细嫩，两颗粉色珠子般乳头的{breast_s}
1006,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,表面平整无起伏，乳晕小巧娇嫩的{breast_s}
1007,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,白皙光洁的肌肤上，乳头如豌豆般娇小的{breast_s}
1008,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,肤质细腻如镜面，乳头稚嫩粉红的{breast_s}
1009,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|121_E_1,表面平整细腻，乳头娇小可爱的{breast_s}

1010,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,表面柔软微微隆起，乳头娇小粉嫩的{breast_s}
1011,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,小巧如蚕豆般轮廓，温热柔软的{breast_s}
1012,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,肌肤细腻微小起伏，乳晕粉嫩娇小的{breast_s}
1013,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,表面柔软略有弧度，乳头如樱桃般的{breast_s}
1014,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,轮廓小巧玲珑，柔软温暖的{breast_s}
1015,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,幼嫩肌肤微微鼓起，乳头稚嫩可爱的{breast_s}
1016,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,柔软触感温热细腻，娇嫩的{breast_s}
1017,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,形状如小半个山丘般娇小，乳头粉红的{breast_s}
1018,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,皮肤光滑细腻微凸，乳晕浅粉的{breast_s}
1019,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|122_E_1,轮廓娇小触感柔嫩，乳头如珍珠般的{breast_s}

1020,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|123_E_1,形状美好发育匀称，形状适中柔软的{breast_s}
1021,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|123_E_1,手感柔软大小适中，弹性十足的{breast_s}
1022,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|123_E_1,形状优美尺寸普通，乳头粉嫩挺立的{breast_s}
1023,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|123_E_1,肌肤细腻发育匀称，乳晕适中娇嫩的{breast_s}
1024,breast,0,CVP_A2_T|102_E_1&CVP_A2_T|123_E_1,手感舒适标准大小，温热柔软弹性好的{breast_s}
